model_id,vpuid,level,site_no,model_kind,state_abbr,state_resolved,basin_area_sqkm,n_hrus,n_channels,n_ls_units,n_subbasins,n_catchments,n_lakes,dem_resolution_m,generation_wall_min
0310/huc8/03100101,0310,huc8,03100101,huc8,,N,,94303,8181,9341,,,,,67.58333333333333
0204/usgs_station/01480095,0204,huc12,01480095,usgs_station,DE,Y,25.250900047331932,909,49,48,1,48,,29.733820855707243,
1605/usgs_station/10348850,1605,huc12,10348850,usgs_station,NV,Y,49.05890005981741,769,39,39,2,39,,30.064437861711948,0.18333333333333332
1707/usgs_station/14013500,1707,huc12,14013500,usgs_station,WA,Y,51.206600023191974,2344,379,378,1,378,,30.033528365787433,0.95
0308/usgs_station/02239501,0308,huc12,02239501,usgs_station,FL,Y,52.63599994870866,473,45,53,4,53,4,30.01016003299642,0.13333333333333333
0712/usgs_station/05536265,0712,huc12,05536265,usgs_station,IL,Y,58.936100039158895,1573,206,205,8,205,,29.921826471866037,
1709/usgs_station/14161500,1709,huc12,14161500,usgs_station,OR,Y,63.66760006557462,1316,790,760,8,760,,29.995589204588864,0.4666666666666667
0508/huc12_outlet/050800010801,0508,huc12,050800010801,huc12_outlet,,N,65.96529990210622,824,43,43,1,43,,29.894008172086526,
0514/usgs_station/03302300,0514,huc12,03302300,usgs_station,IN,Y,67.93560010040355,9439,1659,1625,4,1625,,30.052629431229903,
0310/usgs_station/02294760,0310,huc12,02294760,usgs_station,FL,Y,75.37840016582275,1052,34,35,12,35,1,30.090757481837667,0.4
1706/usgs_station/13329500,1706,huc12,13329500,usgs_station,OR,Y,82.1688999148543,1453,533,527,1,527,,29.987009412503127,
0109/usgs_station/01115185,0109,huc12,01115185,usgs_station,RI,Y,85.34380014136453,3999,332,353,1,353,4,29.879916067101885,
0509/usgs_station/03262001,0509,huc12,03262001,usgs_station,KY,Y,85.50109994140756,6469,770,750,1,750,,30.02890581278087,
0109/usgs_station/01109090,0109,huc12,01109090,usgs_station,MA,Y,89.7420000198878,4578,291,313,1,313,4,29.879916067101885,
0713/usgs_station/05580950,0713,huc12,05580950,usgs_station,IL,Y,94.97540006260034,2553,94,94,3,94,,29.926309829057026,
1711/usgs_station/12096865,1711,huc12,12096865,usgs_station,WA,Y,97.06319996102793,4638,1147,1120,2,1120,,29.866750516731546,2.4833333333333334
