file,line,action,old,new,reason,context
.claude/skills/swatgenx/SKILL.md,55,review,,,unmapped,- **Phase 1 (done):** all model-path construction routes through the central helpers; no hardcoded `/huc12/`.
MODFLOW/MODGenX/archive/MODFLOW_PSO.py,310,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VPUID/0000/huc12/')
MODFLOW/MODGenX/archive/clean_up.py,8,review,,,unmapped,"path_to_model = os.path.join(f'/data/SWATGenXApp/GenXAppData/{username}/', f""SWATplus_by_VPUID/0000/huc12/{NAME}/{MODEL_NAME}"")"
MODFLOW/MODGenX/archive/clean_up.py,18,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VPUID/0000/huc12/')
ModelProcessing/test_swatmodels_v1.py,18,review,,,unmapped,"simulation_path = f""${SWATGENX_USER_PATH}/{VPUID}/huc12/{model}/SWAT_MODEL/Scenarios/Default/TxtInOut/simulation.out"""
SWATGenX/NSRDB_elev_correction.py,35,review,,,unmapped,"path = f""{base_path}/{VPUID}/huc12/{NAME}/PRISM"""
SWATGenX/NSRDB_elev_correction.py,38,review,,,unmapped,"if os.path.exists(f""{base_path}/{VPUID}/huc12/{NAME}""):"
SWATGenX/NSRDB_elev_correction.py,39,review,,,unmapped,"#os.rmdir(f""{base_path}/{VPUID}/huc12/{NAME}"")"
SWATGenX/NSRDB_elev_correction.py,40,review,,,unmapped,"os.system(f""rm -rf {base_path}/{VPUID}/huc12/{NAME}"")"
SWATGenX/NSRDB_elev_correction.py,60,review,,,unmapped,"path = f""{base_path}/{VPUID}/huc12/{NAME}/SWAT_MODEL/Scenarios/Default/TxtInOut"""
SWATGenX/tests/test_climate_check.py,135,review,,,unmapped,"path = f""${SWATGENX_USER_PATH}/SWATplus_by_VPUID/{VPUID}/huc12/{station_no}/PRISM/"""
publication/analysis/legacy-huc12-path-audit-summary.md,1,review,,,unmapped,# Legacy `/huc12/` path audit summary
publication/analysis/legacy-huc12-path-audit-summary.md,9,review,,,unmapped,Legacy model workspace keys `{vpuid}/huc12/{site}` → kind-specific levels:
publication/analysis/legacy-huc12-path-audit-summary.md,19,replace,0310/huc12/02297600,0310/usgs_station/02297600,model_path,- Short `model_id` keys: `0310/huc12/02297600` → `0310/usgs_station/02297600`
publication/analysis/legacy-huc12-path-audit-summary.md,20,review,,,unmapped,- Full workspace paths: `SWATplus_by_VPUID/{vpuid}/huc12/{site}`
publication/analysis/legacy-huc12-path-audit-summary.md,21,review,,,unmapped,- Floodplain asset paths: `floodplain/huc12/{site}` → `floodplain/{kind}/{site}`
publication/analysis/legacy-huc12-path-audit-summary.md,25,review,,,unmapped,## Intentionally left as `/huc12/`
publication/analysis/legacy-huc12-path-audit-summary.md,29,skip,,,api_or_migration,"| **Flood Explorer API** | `/api/flood/huc12/…`, `/api/flood/explorer/huc12/…` | HUC12 *watershed* endpoints, not model level dirs |"
publication/analysis/legacy-huc12-path-audit-summary.md,31,review,,,unmapped,| **GenXAppData gwflow tree** | `GenXAppData/…/0000/huc12/{name}` | Separate MODFLOW/gwflow data layout |
publication/analysis/legacy-huc12-path-audit-summary.md,33,review,,,unmapped,"| **Dev one-offs** | `NSRDB_elev_correction.py`, `test_climate_check.py` | Parameterized `{VPUID}/huc12/{NAME}` dev paths — update when those scripts are next touched |"
publication/analysis/legacy-huc12-path-audit-summary.md,53,review,,,unmapped,2. Run `scripts/migrate_legacy_huc12_dirs.py --apply` for any remaining on-disk `Users/.../huc12/` trees.
publication/analysis/legacy-huc12-path-audit.csv,2,review,,,unmapped,".claude/skills/swatgenx/SKILL.md,55,review,,,unmapped,- **Phase 1 (done):** all model-path construction routes through the central helpers; no hardcoded `/huc12/`."
publication/analysis/legacy-huc12-path-audit.csv,3,review,,,unmapped,"MODFLOW/MODGenX/archive/MODFLOW_PSO.py,310,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VPUID/0000/huc12/')"
publication/analysis/legacy-huc12-path-audit.csv,4,review,,,unmapped,"MODFLOW/MODGenX/archive/clean_up.py,8,review,,,unmapped,""path_to_model = os.path.join(f'/data/SWATGenXApp/GenXAppData/{username}/', f""""SWATplus_by_VPUID/0000/huc12/{NAME}/{MODEL_NAME}"""")"""
publication/analysis/legacy-huc12-path-audit.csv,5,review,,,unmapped,"MODFLOW/MODGenX/archive/clean_up.py,18,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VPUID/0000/huc12/')"
publication/analysis/legacy-huc12-path-audit.csv,6,review,,,unmapped,"ModelProcessing/test_swatmodels_v1.py,18,review,,,unmapped,""simulation_path = f""""${SWATGENX_USER_PATH}/{VPUID}/huc12/{model}/SWAT_MODEL/Scenarios/Default/TxtInOut/simulation.out"""""""
publication/analysis/legacy-huc12-path-audit.csv,7,review,,,unmapped,"SWATGenX/NSRDB_elev_correction.py,35,review,,,unmapped,""path = f""""{base_path}/{VPUID}/huc12/{NAME}/PRISM"""""""
publication/analysis/legacy-huc12-path-audit.csv,8,review,,,unmapped,"SWATGenX/NSRDB_elev_correction.py,38,review,,,unmapped,""if os.path.exists(f""""{base_path}/{VPUID}/huc12/{NAME}""""):"""
publication/analysis/legacy-huc12-path-audit.csv,9,review,,,unmapped,"SWATGenX/NSRDB_elev_correction.py,39,review,,,unmapped,""#os.rmdir(f""""{base_path}/{VPUID}/huc12/{NAME}"""")"""
publication/analysis/legacy-huc12-path-audit.csv,10,review,,,unmapped,"SWATGenX/NSRDB_elev_correction.py,40,review,,,unmapped,""os.system(f""""rm -rf {base_path}/{VPUID}/huc12/{NAME}"""")"""
