catalog_model_id,site_no,station_name,production_gis_channel,v3_gis_channel,same_gis_as_production,v1b_nhdplusid,mapping_method,assignment_class,calibration_eligible,swat_nhd_ratio,notes
03100101,02293681,LAKE HAMILTON NEAR LAKE HAMILTON FL,965,1018,False,15000700011475,lake_outlet_replacement,lake_outlet_review,False,1.0309645934130984,Mapped at downstream step 1 to NHD 15000700083706 (ref 15000700011475).
03100101,02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,1008,1008,True,15000700023411,exact_crosswalk,canal_or_artificial_review,False,0.12479951480948939,
03100101,02293986,PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL,481,6643,False,15000700071069,exact_crosswalk,canal_or_artificial_review,False,0.9935619038732787,
03100101,02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,470,470,True,15000700022809,exact_crosswalk,canal_or_artificial_review,False,1.046360085016463,
03100101,02294068,LULU LAKE OUTLET AT ELOISE FL,1415,1446,False,15000700070958,exact_crosswalk,lake_outlet_review,False,0.7927718134016436,
03100101,02294161,PEACE CREEK NEAR BARTOW FL,451,451,True,15000700010442,lake_outlet_replacement,lake_outlet_review,False,1.1720862280437894,Mapped at downstream step 1 to NHD 15000700010307 (ref 15000700010442).
03100101,02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,947,947,True,15000700057875,exact_crosswalk,tributary_clean,True,1.1373948943860086,
03100101,02294260,LAKE PARKER OUTLET AT LAKELAND FL,1392,1392,True,15000700021204,lake_outlet_replacement,lake_outlet_review,False,1.2199605022733666,Mapped at downstream step 1 to NHD 15000700093457 (ref 15000700021204).
03100101,02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,1392,1392,True,15000700093457,exact_crosswalk,lake_outlet_review,False,1.169979946469084,
03100101,02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,897,770,False,15000700045993,lake_outlet_replacement,lake_outlet_review,False,2.478510629770857,Mapped at downstream step 8 to NHD 15000700045991 (ref 15000700045993).
03100101,02294330,LAKE LENA RUN NEAR AUBURNDALE FL,2232,2072,False,15000700046384,exact_crosswalk,lake_outlet_review,False,1.3044969261771397,
03100101,02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",1163,1181,False,15000700057695,exact_crosswalk,canal_or_artificial_review,False,1.4724923666127523,
03100101,02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,755,770,False,15000700045991,exact_crosswalk,tributary_clean,True,1.1895284286986043,
03100101,02294650,"PEACE RIVER AT SR 60 AT BARTOW, FL",437,439,False,15000700034172,exact_crosswalk,mainstem_known_nhd_offset,True,1.1724387032098351,
03100101,02294655,PEACE RIVER NEAR BARTOW FL,429,427,False,15000700058476,lake_outlet_replacement,lake_outlet_review,False,1.2094336978428593,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).
03100101,02294705,PEACE RV DISTRIBUTARY AT DOVER SINK NR BARTOW FL,429,427,False,15000700058476,lake_outlet_replacement,lake_outlet_review,False,1.2094336978428593,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).
03100101,02294747,SIXMILE CREEK AT BARTOW FL,2896,427,False,15000700058475,exact_crosswalk,tributary_clean,True,1.1738640535010803,
03100101,02294760,BARBER BRANCH NEAR HOMELAND FL,427,6981,False,15000700046375,exact_crosswalk,tributary_clean,True,1.2005658318101937,
03100101,02294775,PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL,2615,427,False,15000700058476,lake_outlet_replacement,lake_outlet_review,False,1.2094336978428593,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).
03100101,02294781,PEACE RIVER NEAR HOMELAND FL,422,422,True,15000700060284,exact_crosswalk,mainstem_known_nhd_offset,True,1.1711088821338298,
03100101,02294898,PEACE RIVER AT FORT MEADE FL,399,399,True,15000700046661,exact_crosswalk,mainstem_known_nhd_offset,True,1.1680602812221952,
03100101,02295013,BOWLEGS CREEK NEAR FORT MEADE FL,968,968,True,15000700071244,exact_crosswalk,tributary_clean,True,0.925209607231251,
03100101,02295163,WHIDDEN CREEK NEAR FORT MEADE FL,1501,1409,False,15000700058472,lake_outlet_replacement,lake_outlet_review,False,1.106775542614321,Mapped at downstream step 1 to NHD 15000700058625 (ref 15000700058472).
03100101,02295194,PEACE RIVER AT BOWLING GREEN FL,332,332,True,15000700070531,exact_crosswalk,mainstem_known_nhd_offset,True,1.1455948705059908,
03100101,02295203,PEACE RIVER AT SH 664A NEAR BOWLING GREEN FL,322,322,True,15000700022334,exact_crosswalk,mainstem_known_nhd_offset,True,1.1449489360143044,
03100101,02295420,PAYNE CREEK NEAR BOWLING GREEN FL,792,792,True,15000700094341,exact_crosswalk,tributary_clean,True,1.2754790761379629,
03100101,02295435,HOG BRANCH NEAR WACHULA FL,1893,1893,True,15000700058459,exact_crosswalk,tributary_clean,True,1.044200607732704,
03100101,02295440,PEACE RIVER AT STATE HWY 664A NEAR WAUCHULA FL,4746,293,False,15000700082634,exact_crosswalk,mainstem_known_nhd_offset,True,1.156748331386213,
03100101,02295520,LITTLE CHARLIE CREEK NEAR BOWLING GREEN FL,1044,1020,False,15000700083080,downstream_replacement,tributary_clean,True,1.1623234608206239,Mapped at downstream step 1 to NHD 15000700083077 (ref 15000700083080).
