site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
11337080,1802,649,750,67752.0
11455420,1802,649,750,67752.0
380626121383801,1802,649,750,67752.0
380626121383802,1802,649,750,67752.0
380626121383803,1802,649,750,67752.0
380629121385202,1802,649,750,67752.0
380629121385203,1802,649,750,67752.0
11447810,1802,565,674,60528.1
11447890,1802,565,674,60528.1
11447905,1802,565,674,60528.1
11447500,1802,562,673,60413.1
11447650,1802,562,673,60413.1
11425500,1802,558,668,59934.3
11426000,1802,558,668,59934.3
13153778,1704,370,733,68281.7
13153779,1704,370,733,68281.7
13153776,1704,368,735,68529.0
13135000,1704,367,736,68767.2
13153000,1704,367,736,68767.2
13153501,1704,367,736,68767.2
1315377299,1704,367,736,68767.2
13153773,1704,367,736,68767.2
09163500,1401,364,300,25531.1
11312676,1804,352,436,40395.6
11312685,1804,352,436,40395.6
11313440,1804,352,436,40395.6
11313452,1804,352,436,40395.6
11313460,1804,352,436,40395.6
11337190,1804,352,436,40395.6
09153000,1401,350,282,24046.1
09106200,1401,339,267,22968.5
09106485,1401,339,267,22968.5
09106000,1401,337,266,22821.8
09106150,1401,337,266,22821.8
09095500,1401,318,237,20805.2
13133500,1704,314,641,60383.3
13134000,1704,314,641,60383.3
13134500,1704,314,641,60383.3
13134520,1704,314,641,60383.3
13134550,1704,314,641,60383.3
13134554,1704,314,641,60383.3
13134556,1704,314,641,60383.3
13134560,1704,314,641,60383.3
13134570,1704,314,641,60383.3
1313457010,1704,314,641,60383.3
09093700,1401,311,219,19202.2
09092570,1401,302,209,18269.5
09092600,1401,302,209,18269.5
13290000,1705,302,1101,93078.5
13290200,1705,302,1103,93332.3
09092500,1401,300,208,18084.5
14211720,1709,300,376,29003.2
14211805,1709,300,376,29003.2
453027122400000,1709,300,376,29003.2
09087600,1401,296,197,17129.3
09088600,1401,296,197,17129.3
14211315,1709,295,374,28688.6
13269000,1705,287,979,84247.8
09085100,1401,285,180,15861.8
09085150,1401,285,180,15861.8
09085160,1401,285,180,15861.8
393259107194801,1401,285,180,15861.8
14207700,1709,283,370,28445.3
14207740,1709,283,370,28445.3
14207770,1709,283,370,28445.3
11311300,1804,277,354,33393.5
13094000,1704,276,567,53978.4
13095360,1704,276,567,53978.4
11304810,1804,273,346,32713.0
13093150,1704,267,552,52624.0
13093383,1704,267,552,52624.0
13093384,1704,267,552,52624.0
13093385,1704,267,552,52624.0
13093397,1704,267,552,52624.0
06763980,1019,266,607,57984.9
06763990,1019,266,607,57984.9
06764000,1019,266,607,57984.9
06760500,1019,262,518,48673.9
06759910,1019,261,462,43189.5
06760000,1019,261,462,43189.5
06759500,1019,259,423,39055.9
11303500,1804,256,303,29501.3
06758500,1019,256,374,34256.3
06757000,1019,255,366,33664.9
08356000,1302,255,508,51592.1
08356500,1302,255,508,51592.1
08357000,1302,255,508,51592.1
08357050,1302,255,508,51592.1
13091733,1704,255,543,51678.8
08358500,1302,254,506,51519.5
334334106544910,1302,254,506,51519.5
13090000,1704,254,542,51585.2
13090370,1704,254,542,51585.2
13090500,1704,254,542,51585.2
13090999,1704,254,542,51585.2
13091500,1704,254,542,51585.2
334606106531010,1302,254,509,51769.2
08358400,1302,252,510,52017.3
06756995,1019,249,345,31658.7
06764880,1019,249,580,55529.9
06754000,1019,248,313,28553.5
08355050,1302,248,498,50462.7
08354400,1302,247,495,50180.9
08354500,1302,247,495,50180.9
08354800,1302,247,495,50180.9
08354900,1302,247,495,50180.9
08355000,1302,247,495,50180.9
13087000,1704,245,532,50536.3
13087500,1704,245,532,50536.3
130875048,1704,245,532,50536.3
130875049,1704,245,532,50536.3
13087995,1704,245,532,50536.3
13088000,1704,245,532,50536.3
13085500,1704,238,526,49569.8
13085800,1704,238,526,49569.8
13086000,1704,238,526,49772.4
13086500,1704,238,526,49772.4
13082060,1704,228,484,45813.4
08359500,1302,227,467,48225.7
13082000,1704,225,479,45310.4
13080000,1704,224,474,44840.8
13080500,1704,224,474,44840.8
13081000,1704,224,474,44840.8
13081500,1704,224,474,44840.8
06765000,1019,222,549,52683.5
11389000,1802,221,416,37908.3
11389350,1802,221,416,37908.3
11389390,1802,221,416,37908.3
11389470,1802,221,416,37908.3
11389500,1802,221,416,37908.3
11390480,1802,221,416,37908.3
11390500,1802,221,416,37908.3
11391000,1802,221,416,37908.3
11391002,1802,221,416,37908.3
11391020,1802,221,416,37908.3
11391021,1802,221,416,37908.3
06684000,1018,221,575,63737.7
12395500,1701,220,777,62571.6
06683000,1018,220,574,63562.9
06684498,1018,220,590,65588.5
06684499,1018,220,590,65588.5
06684500,1018,220,590,65588.5
08332050,1302,219,288,29204.5
06680500,1018,219,574,63394.5
06681998,1018,219,574,63394.5
06681999,1018,219,574,63394.5
06682000,1018,219,574,63394.5
08331990,1302,218,287,29135.1
08332000,1302,218,287,29135.1
08332010,1302,218,287,29135.1
14198000,1709,217,306,23951.2
12395950,1701,217,779,62922.6
14128860,1707,217,903,75906.6
14128600,1707,217,903,75906.6
453845121562000,1707,217,903,75906.6
08331510,1302,214,275,27666.7
411403112200801,1602,214,301,31964.5
412522112053801,1602,214,301,31964.5
08331160,1302,213,261,26165.1
08330875,1302,212,258,25782.7
08330915,1302,212,258,25782.7
08330940,1302,212,258,25782.7
08331105,1302,212,258,25782.7
08331130,1302,212,258,25782.7
08331140,1302,212,258,25782.7
345703106404010,1302,212,258,25782.7
345705106405810,1302,212,258,25782.7
345705106410810,1302,212,258,25782.7
345902106410701,1302,212,258,25782.7
345904106411501,1302,212,258,25782.7
345906106412601,1302,212,258,25782.7
11421700,1802,211,175,15320.2
11425000,1802,211,175,15320.2
11425100,1802,211,175,15320.2
12391950,1701,210,723,57301.2
12392000,1701,210,723,57301.2
07135500,1102,210,702,64310.6
06679000,1018,209,564,62329.0
12391400,1701,207,713,56478.6
13076400,1704,206,409,38800.1
13077000,1704,206,409,38800.1
12391000,1701,206,694,54911.5
07134990,1102,206,673,61588.0
09071100,1401,205,137,11798.8
09071750,1401,205,137,11798.8
09072500,1401,205,137,11798.8
06679500,1018,205,552,60610.9
07134180,1102,205,663,60801.1
13076500,1704,204,408,38752.1
06294500,1008,204,544,59314.7
06294700,1008,204,544,59314.7
14197900,1709,202,269,21552.6
07122390,1102,202,578,52003.7
07133000,1102,202,578,52003.7
12389000,1701,202,659,52328.1
09070500,1401,200,133,11385.1
06288500,1008,200,524,57412.8
07122200,1102,198,541,48257.8
07130500,1102,198,541,48257.8
13213100,1705,198,673,58056.2
12396455,1701,197,694,56746.9
12396500,1701,197,694,56746.9
14113290,1707,197,874,73450.3
11290500,1804,194,268,26343.0
07122105,1102,194,515,45867.9
07124000,1102,194,515,45867.9
06672500,1018,194,509,56118.9
06673000,1018,194,509,56118.9
06673500,1018,194,509,56118.9
06674500,1018,194,509,56118.9
06672000,1018,190,499,54877.2
08330150,1302,189,254,25328.0
08331118,1302,189,254,25328.0
350141106400810,1302,189,254,25328.0
350142106402810,1302,189,254,25328.0
350143106402301,1302,189,254,25328.0
350145106400810,1302,189,254,25328.0
350147106402810,1302,189,254,25328.0
14105700,1707,189,857,72189.6
453606121101000,1707,189,857,72189.6
14192015,1709,188,234,19102.1
06670900,1018,188,486,53493.2
14191000,1709,187,232,18932.5
06657000,1018,187,485,53281.6
09328920,1406,185,440,36975.2
12398500,1701,185,643,53084.4
12398560,1701,185,643,53084.4
12398600,1701,185,643,53084.4
06686000,1018,179,536,60662.1
08329835,1302,177,252,25063.4
08329838,1302,177,252,25063.4
08329839,1302,177,252,25063.4
08329840,1302,177,252,25063.4
08329860,1302,177,252,25063.4
08329865,1302,177,252,25063.4
08329938,1302,177,252,25063.4
08329939,1302,177,252,25063.4
08330000,1302,177,252,25063.4
350359106394410,1302,177,252,25063.4
350402106392810,1302,177,252,25063.4
350516106410003,1302,177,252,25063.4
350521106405503,1302,177,252,25063.4
350530106404803,1302,177,252,25063.4
06288400,1008,177,487,53692.0
13343500,1706,176,903,71872.2
06287800,1008,175,468,52041.4
453712121071200,1707,174,808,67341.2
13352600,1706,174,909,74138.0
11383800,1802,173,328,28199.3
454249120423500,1707,173,807,67211.6
13069532,1704,171,339,32327.5
06286490,1008,171,458,51105.4
06286500,1008,171,458,51105.4
06287000,1008,171,458,51105.4
13353000,1706,169,864,71307.6
13353010,1706,169,864,71307.6
13069500,1704,168,325,30999.5
13062000,1704,167,317,30139.9
13062500,1704,167,317,30139.9
13062504,1704,167,317,30139.9
06439300,1012,166,577,62509.6
06438500,1012,164,499,55756.5
06286250,1008,163,446,49732.7
07122060,1102,160,356,31424.5
06686500,1018,160,498,56331.9
07123000,1102,159,355,31278.2
13343595,1706,159,858,68116.0
13343600,1706,159,858,68116.0
09315000,1406,158,346,27844.8
09315005,1406,158,346,27844.8
07120500,1102,156,346,30701.1
06721000,1019,154,139,13112.3
11378000,1802,154,270,23123.2
11378500,1802,154,270,23123.2
06765500,1019,154,490,48151.5
06765710,1019,154,490,48151.5
07119700,1102,152,320,28169.9
12473560,1702,152,700,63880.5
12514000,1702,152,700,63880.5
12514400,1702,152,700,63880.5
13343860,1706,151,852,67702.8
09060799,1401,149,86,7694.4
395430106470301,1401,149,86,7694.4
11377100,1802,149,259,22204.5
11377200,1802,149,259,22204.5
06687498,1018,149,480,54381.4
06687499,1018,149,480,54381.4
06687500,1018,149,480,54381.4
12473860,1702,149,708,64823.2
12473880,1702,149,708,64823.2
12473900,1702,149,708,64823.2
12513700,1702,149,708,64823.2
