usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,wbdUpstreamHu12AreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
02293681,LAKE HAMILTON NEAR LAKE HAMILTON FL,1018,970,126.94,78.53,53.09,392.56,1.6165,2.3909,swat_nhd_ok
02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,1008,960,9.8,78.53,150.22,392.56,0.1248,0.0652,assignment_outlier_low
02293986,PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL,6643,5774,0.14,381.12,414.4,593.05,0.0004,0.0003,assignment_outlier_low
02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,470,443,404.85,386.91,419.58,593.05,1.0464,0.9649,swat_nhd_ok
02294068,LULU LAKE OUTLET AT ELOISE FL,1446,1361,29.98,38.68,59.57,82.82,0.775,0.5033,swat_nhd_ok
02294161,PEACE CREEK NEAR BARTOW FL,451,429,590.62,514.37,530.43,593.05,1.1482,1.1135,swat_nhd_ok
02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,947,900,120.73,106.14,137.27,159.47,1.1374,0.8795,swat_nhd_ok
02294260,LAKE PARKER OUTLET AT LAKELAND FL,1392,1315,61.04,52.17,159.47,159.47,1.17,0.3828,swat_nhd_ok
02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,1392,1315,61.04,52.34,159.47,159.47,1.1662,0.3828,swat_nhd_ok
02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,770,733,335.26,135.27,157.99,159.47,2.4785,2.122,swat_nhd_moderate
02294330,LAKE LENA RUN NEAR AUBURNDALE FL,2072,1889,63.59,48.74,55.43,54.9,1.3045,1.1472,swat_nhd_ok
02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",1181,1120,48.53,37.67,48.69,369.92,1.2883,0.9967,swat_nhd_ok
02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,770,733,335.26,288.06,349.65,369.92,1.1639,0.9588,swat_nhd_ok
02294650,"PEACE RIVER AT SR 60 AT BARTOW, FL",439,417,987.62,856.95,1010.1,1448.27,1.1525,0.9778,swat_nhd_ok
02294655,PEACE RIVER NEAR BARTOW FL,427,405,1046.57,865.34,1023.05,1448.27,1.2094,1.023,swat_nhd_ok
02294705,PEACE RV DISTRIBUTARY AT DOVER SINK NR BARTOW FL,427,405,1046.57,865.34,1448.27,1448.27,1.2094,0.7226,swat_nhd_ok
02294747,SIXMILE CREEK AT BARTOW FL,427,405,1046.57,891.56,1448.27,1448.27,1.1739,0.7226,swat_nhd_ok
02294760,BARBER BRANCH NEAR HOMELAND FL,6981,6074,4.87,891.56,83.82,83.82,0.0055,0.0581,assignment_outlier_low
02294775,PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL,427,405,1046.57,891.56,1025.64,1448.27,1.1739,1.0204,swat_nhd_ok
02294781,PEACE RIVER NEAR HOMELAND FL,422,400,1066.47,910.65,1064.49,1448.27,1.1711,1.0019,swat_nhd_ok
02294898,PEACE RIVER AT FORT MEADE FL,399,379,1162.67,995.39,1243.19,1448.27,1.1681,0.9352,swat_nhd_ok
02295013,BOWLEGS CREEK NEAR FORT MEADE FL,968,921,123.18,133.14,122.25,165.33,0.9252,1.0077,swat_nhd_ok
02295163,WHIDDEN CREEK NEAR FORT MEADE FL,1409,1329,126.51,113.01,111.37,57.74,1.1195,1.136,swat_nhd_ok
02295194,PEACE RIVER AT BOWLING GREEN FL,332,328,1537.73,1342.3,1587.66,2028.35,1.1456,0.9686,swat_nhd_ok
02295203,PEACE RIVER AT SH 664A NEAR BOWLING GREEN FL,322,318,1548.04,1353.98,1590.25,2028.35,1.1433,0.9735,swat_nhd_ok
02295420,PAYNE CREEK NEAR BOWLING GREEN FL,792,754,231.22,181.28,313.39,312.43,1.2755,0.7378,swat_nhd_ok
02295435,HOG BRANCH NEAR WACHULA FL,1893,1739,13.73,13.59,13.75,2028.35,1.0103,0.9982,swat_nhd_ok
02295440,PEACE RIVER AT STATE HWY 664A NEAR WAUCHULA FL,293,289,1818.91,1665.69,1952.85,2028.35,1.092,0.9314,swat_nhd_ok
02295520,LITTLE CHARLIE CREEK NEAR BOWLING GREEN FL,1020,972,57.28,49.28,121.85,121.85,1.1623,0.4701,swat_nhd_ok
02295521,LT CHARLIE CR BL PARKER BRANCH NR BOWLING GREEN FL,3144,2777,9.47,49.28,121.85,121.85,0.1921,0.0777,assignment_outlier_low
02295580,LITTLE CHARLIE CREEK NEAR MOUTH NEAR WAUCHULA FL,686,653,110.72,92.5,121.85,121.85,1.197,0.9086,swat_nhd_ok
02295607,PEACE R AT WAUCHULA FL,281,277,1949.98,1684.14,2092.71,2028.35,1.1579,0.9318,swat_nhd_ok
02295637,"PEACE RIVER AT US 17 AT ZOLFO SPRINGS, FL",269,265,2001.16,1731.62,2139.33,2190.9,1.1557,0.9354,swat_nhd_ok
02295755,HICKORY CREEK NEAR ONA FL,2092,1907,7.62,9.61,9.71,2190.9,0.7932,0.7848,swat_nhd_ok
02295798,PEACE RIVER AT PEACE RIVER RANCH NR BUCHANAN FL,249,245,2167.13,1897.45,3257.2,3257.2,1.1421,0.6653,swat_nhd_ok
02295850,OAK CREEK NEAR ONA FL,922,876,60.19,53.59,38.85,58.1,1.1231,1.5492,swat_nhd_ok
02296057,BUCKHORN CREEK NEAR GRIFFINS CORNER FL,1033,985,41.42,44.01,45.32,47.12,0.9412,0.9139,swat_nhd_ok
02296180,LITTLE CHARLEY BOWLEGS CREEK NEAR CREWSVILLE FL,2548,2277,46.28,40.83,54.91,94.62,1.1337,0.843,swat_nhd_ok
02296191,"L CHARLEY BOWLEGS C AT SFL RD, NEAR SEBRING FL",1938,1778,89.29,80.99,79.25,94.62,1.1024,1.1267,swat_nhd_ok
02296207,L CHARLEY BOWLEGS CR AT COTT RD NEAR SEBRING FL,1881,1729,94.87,86.57,98.68,94.62,1.0958,0.9614,swat_nhd_ok
02296222,LITTLE CHARLEY BOWLEGS C AB CT NEAR SEBRING FL,1725,1592,103.86,95.58,108.52,168.95,1.0866,0.9571,swat_nhd_ok
02296223,LITTLE CHARLEY BOWLEGS CREEK NEAR SEBRING FL,1725,1592,103.86,95.58,108.52,168.95,1.0866,0.9571,swat_nhd_ok
02296260,CHARLIE CREEK NEAR CREWSVILLE FL,650,617,492.29,474.07,497.28,553.29,1.0384,0.99,swat_nhd_ok
02296389,OAK CREEK NEAR GARDNER FL,598,565,732.11,140.64,168.61,173.93,5.2054,4.3421,assignment_outlier_high
02296500,CHARLIE CREEK NEAR GARDNER FL,532,502,870.02,805.46,854.7,864.26,1.0802,1.0179,swat_nhd_ok
02296525,PEACE RIVER BELOW CHARLIE CREEK NEAR GARDNER FL,242,238,3228.51,2880.54,3257.2,3257.2,1.1208,0.9912,swat_nhd_ok
02296750,"PEACE RIVER AT SR 70 AT ARCADIA, FL",220,216,3415.87,3036.01,3540.51,3831.92,1.1251,0.9648,swat_nhd_ok
02297000,10D JOSHUA CREEK NEAR ARCADIA FL,769,732,183.19,174.14,332.46,332.46,1.052,0.551,swat_nhd_ok
02297100,JOSHUA CREEK AT NOCATEE FL,625,592,312.12,289.74,341.88,332.46,1.0773,0.913,swat_nhd_ok
02297105,PEACE RIVER AT NOCATEE FL,214,210,3754.94,3364.44,4325.28,3831.92,1.1161,0.8681,swat_nhd_ok
02297153,WEST FORK HORSE CREEK NEAR MYAKKA HEAD FL,632,599,87.72,24.4,34.96,100.5,3.5957,2.5088,swat_nhd_moderate
02297155,HORSE CREEK NEAR MYAKKA HEAD FL,603,570,125.58,89.11,108.78,300.91,1.4093,1.1545,swat_nhd_ok
02297220,BRUSHY CREEK NEAR LILLY FL,903,857,101.44,98.41,123.8,224.36,1.0307,0.8193,swat_nhd_ok
02297251,HORSE CREEK NEAR LIMESTONE FL,499,469,327.86,288.9,336.7,436.08,1.1348,0.9738,swat_nhd_ok
02297272,BRANDY BRANCH AT PINE LEVEL FL,1279,1208,41.39,38.65,39.11,42.95,1.0707,1.0582,swat_nhd_ok
02297290,BUZZARD ROOST BRANCH NEAR PINE LEVEL FL,945,898,74.07,72.68,74.33,75.43,1.0191,0.9964,swat_nhd_ok
02297310,"HORSE CREEK AT SR 72 NEAR ARCADIA, FL",1307,1235,23.72,516.24,564.62,627.96,0.046,0.042,assignment_outlier_low
02297345,PEACE RIVER AT PLATT FL,183,179,4463.27,4010.05,4599.15,4599.15,1.113,0.9705,swat_nhd_ok
02297350,PEACE RIVER NR PEACE RIVER HEIGHTS NR FT. OGDEN FL,166,162,4468.19,4021.36,4610.18,4599.15,1.1111,0.9692,swat_nhd_ok
02297460,PEACE RIVER AT HARBOUR HEIGHTS FL,59,59,4595.75,4131.6,4843.28,5746.51,1.1123,0.9489,swat_nhd_ok
02297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,2718,2418,165.61,153.72,198.16,198.16,1.0774,0.8357,swat_nhd_ok
02297635,SHELL CREEK ON CR 764 NEAR PUNTA GORDA FL,1863,1715,221.57,202.59,233.36,247.11,1.0937,0.9495,swat_nhd_ok
02297733,MOSSY GULLY TRIB AT ST HWY 70 NEAR ARCADIA FL,7776,6789,0.3,0.31,17.2,639.85,0.9704,0.0175,swat_nhd_ok
02297875,COW SLOUGH NEAR ARCADIA FL,9192,7982,67.04,66.77,37.3,168.45,1.004,1.7975,swat_nhd_ok
02298110,PRAIRIE CREEK UPSTREAM OF SR 31 NEAR FT OGDEN FL,933,887,161.13,413.39,639.85,639.85,0.3898,0.2518,swat_nhd_moderate
02298123,PRAIRIE CREEK NEAR FORT OGDEN FL,775,738,206.18,613.85,603.47,983.56,0.3359,0.3417,swat_nhd_moderate
02298124,PRAIRIE CREEK DOWNSTREAM NEAR FT OGDEN FL,679,646,651.37,626.39,631.96,983.56,1.0399,1.0307,swat_nhd_ok
02298170,PRAIRIE CREEK ON CR 764 NEAR PUNTA GORDA FL,536,506,720.84,692.46,673.4,983.56,1.041,1.0705,swat_nhd_ok
02298202,SHELL CREEK NEAR PUNTA GORDA FL,450,428,977.24,929.9,966.07,983.56,1.0509,1.0116,swat_nhd_ok
02298300,PEACE RIVER AT PUNTA GORDA FL,38,38,5755.82,5229.5,5956.97,5942.17,1.1006,0.9662,swat_nhd_ok
274319081452000,ESTECH POND CSA OUTFALL NEAR FT. MEADE FL,7579,6617,0.1,0.1,0.31,57.16,1.0134,0.3117,swat_nhd_ok
280242081531600,TENOROC DITCH (SITE 20) NEAR LAKELAND FL,5304,4617,7.88,7.95,159.47,159.47,0.9913,0.0494,swat_nhd_ok
280441081520200,TENOROC DITCH (SITE 17B) NEAR LAKELAND FL,9317,8083,13.74,8.94,159.47,159.47,1.538,0.0862,swat_nhd_ok
280531081520500,TENOROC DITCH ABV STR (SITE 17A) NEAR LAKELAND FL,3582,3157,5.56,4.62,159.47,159.47,1.2041,0.0349,swat_nhd_ok
280531081520501,TENOROC DITCH BEL STR (SITE 17A) NEAR LAKELAND FL,3582,3157,5.56,4.62,159.47,159.47,1.2041,0.0349,swat_nhd_ok
280557081512300,TENOROC DITCH (SITE 13) NEAR LAKELAND FL,5157,4492,2.04,2.04,159.47,159.47,1.0,0.0128,swat_nhd_ok
