usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
02293681,LAKE HAMILTON NEAR LAKE HAMILTON FL,965,918.0,132.44,128.91,392.56,1.0274,0.3374,swat_nhd_ok
02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,1008,960.0,9.8,78.53,392.56,0.1248,0.025,assignment_outlier_low
02293986,PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL,481,451.0,399.07,381.12,593.05,1.0471,0.6729,swat_nhd_ok
02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,470,443.0,404.85,386.91,593.05,1.0464,0.6827,swat_nhd_ok
02294068,LULU LAKE OUTLET AT ELOISE FL,1415,1334.0,30.84,38.68,82.82,0.7973,0.3724,swat_nhd_ok
02294161,PEACE CREEK NEAR BARTOW FL,451,429.0,590.62,514.37,593.05,1.1482,0.9959,swat_nhd_ok
02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,947,900.0,120.73,106.14,159.47,1.1374,0.757,swat_nhd_ok
02294260,LAKE PARKER OUTLET AT LAKELAND FL,1392,1315.0,61.04,52.17,159.47,1.17,0.3828,swat_nhd_ok
02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,1392,1315.0,61.04,52.34,159.47,1.1662,0.3828,swat_nhd_ok
02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,897,,,135.27,159.47,,,missing_chandeg
02294330,LAKE LENA RUN NEAR AUBURNDALE FL,2232,2019.0,59.84,48.74,54.9,1.2276,1.0899,swat_nhd_ok
02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",1163,,,37.67,369.92,,,missing_chandeg
02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,755,718.0,335.7,288.06,369.92,1.1654,0.9075,swat_nhd_ok
02294650,"PEACE RIVER AT SR 60 AT BARTOW, FL",437,415.0,1002.2,856.95,1448.27,1.1695,0.692,swat_nhd_ok
02294655,PEACE RIVER NEAR BARTOW FL,429,407.0,1010.57,865.34,1448.27,1.1678,0.6978,swat_nhd_ok
02294705,PEACE RV DISTRIBUTARY AT DOVER SINK NR BARTOW FL,429,407.0,1010.57,865.34,1448.27,1.1678,0.6978,swat_nhd_ok
02294747,SIXMILE CREEK AT BARTOW FL,2896,2563.0,22.98,891.56,1448.27,0.0258,0.0159,assignment_outlier_low
02294760,BARBER BRANCH NEAR HOMELAND FL,427,405.0,1046.57,891.56,83.82,1.1739,12.4861,swat_nhd_ok
02294775,PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL,2615,2332.0,23.01,891.56,1448.27,0.0258,0.0159,assignment_outlier_low
02294781,PEACE RIVER NEAR HOMELAND FL,422,400.0,1066.47,910.65,1448.27,1.1711,0.7364,swat_nhd_ok
02294898,PEACE RIVER AT FORT MEADE FL,399,379.0,1162.67,995.39,1448.27,1.1681,0.8028,swat_nhd_ok
02295013,BOWLEGS CREEK NEAR FORT MEADE FL,968,921.0,123.18,133.14,165.33,0.9252,0.7451,swat_nhd_ok
02295163,WHIDDEN CREEK NEAR FORT MEADE FL,1501,,,113.01,57.74,,,missing_chandeg
02295194,PEACE RIVER AT BOWLING GREEN FL,332,328.0,1537.73,1342.3,2028.35,1.1456,0.7581,swat_nhd_ok
02295203,PEACE RIVER AT SH 664A NEAR BOWLING GREEN FL,322,318.0,1548.04,1353.98,2028.35,1.1433,0.7632,swat_nhd_ok
02295420,PAYNE CREEK NEAR BOWLING GREEN FL,792,754.0,231.22,181.28,312.43,1.2755,0.7401,swat_nhd_ok
02295435,HOG BRANCH NEAR WACHULA FL,1893,1739.0,13.73,14.43,2028.35,0.9513,0.0068,swat_nhd_ok
02295440,PEACE RIVER AT STATE HWY 664A NEAR WAUCHULA FL,4746,4147.0,1.76,1665.69,2028.35,0.0011,0.0009,assignment_outlier_low
02295520,LITTLE CHARLIE CREEK NEAR BOWLING GREEN FL,1044,995.0,56.45,49.28,121.85,1.1455,0.4633,swat_nhd_ok
02295521,LT CHARLIE CR BL PARKER BRANCH NR BOWLING GREEN FL,1044,995.0,56.45,49.28,121.85,1.1455,0.4633,swat_nhd_ok
02295580,LITTLE CHARLIE CREEK NEAR MOUTH NEAR WAUCHULA FL,695,661.0,110.72,92.5,121.85,1.197,0.9086,swat_nhd_ok
02295607,PEACE R AT WAUCHULA FL,281,277.0,1949.98,1684.14,2028.35,1.1579,0.9614,swat_nhd_ok
02295637,"PEACE RIVER AT US 17 AT ZOLFO SPRINGS, FL",269,265.0,2001.16,1731.62,2190.9,1.1557,0.9134,swat_nhd_ok
02295755,HICKORY CREEK NEAR ONA FL,1709,1577.0,11.34,11.36,2190.9,0.9985,0.0052,swat_nhd_ok
02295798,PEACE RIVER AT PEACE RIVER RANCH NR BUCHANAN FL,249,245.0,2167.13,1897.45,3257.2,1.1421,0.6653,swat_nhd_ok
02295850,OAK CREEK NEAR ONA FL,922,876.0,60.19,58.98,58.1,1.0204,1.036,swat_nhd_ok
02296057,BUCKHORN CREEK NEAR GRIFFINS CORNER FL,1033,985.0,41.42,44.01,47.12,0.9412,0.8791,swat_nhd_ok
02296180,LITTLE CHARLEY BOWLEGS CREEK NEAR CREWSVILLE FL,2242,2027.0,49.18,40.83,94.62,1.2045,0.5197,swat_nhd_ok
02296191,"L CHARLEY BOWLEGS C AT SFL RD, NEAR SEBRING FL",1938,1778.0,89.29,86.57,94.62,1.0314,0.9437,swat_nhd_ok
02296207,L CHARLEY BOWLEGS CR AT COTT RD NEAR SEBRING FL,1881,1729.0,94.87,86.57,94.62,1.0958,1.0026,swat_nhd_ok
02296222,LITTLE CHARLEY BOWLEGS C AB CT NEAR SEBRING FL,1725,1592.0,103.86,95.58,168.95,1.0866,0.6147,swat_nhd_ok
02296223,LITTLE CHARLEY BOWLEGS CREEK NEAR SEBRING FL,1725,1592.0,103.86,95.58,168.95,1.0866,0.6147,swat_nhd_ok
02296260,CHARLIE CREEK NEAR CREWSVILLE FL,636,603.0,498.14,474.07,553.29,1.0508,0.9003,swat_nhd_ok
02296389,OAK CREEK NEAR GARDNER FL,1038,989.0,176.08,140.64,173.93,1.252,1.0124,swat_nhd_ok
02296500,CHARLIE CREEK NEAR GARDNER FL,535,505.0,862.79,805.46,864.26,1.0712,0.9983,swat_nhd_ok
02296525,PEACE RIVER BELOW CHARLIE CREEK NEAR GARDNER FL,242,238.0,3228.51,2880.54,3257.2,1.1208,0.9912,swat_nhd_ok
02296750,"PEACE RIVER AT SR 70 AT ARCADIA, FL",222,218.0,3405.59,3036.01,3831.92,1.1217,0.8887,swat_nhd_ok
02297000,10D JOSHUA CREEK NEAR ARCADIA FL,722,686.0,184.38,174.14,332.46,1.0588,0.5546,swat_nhd_ok
02297100,JOSHUA CREEK AT NOCATEE FL,625,592.0,312.12,289.74,332.46,1.0773,0.9388,swat_nhd_ok
02297105,PEACE RIVER AT NOCATEE FL,215,211.0,3440.72,3364.44,3831.92,1.0227,0.8979,swat_nhd_ok
02297153,WEST FORK HORSE CREEK NEAR MYAKKA HEAD FL,632,599.0,87.72,83.63,100.5,1.0488,0.8728,swat_nhd_ok
02297155,HORSE CREEK NEAR MYAKKA HEAD FL,603,570.0,125.58,89.11,300.91,1.4093,0.4173,swat_nhd_ok
02297220,BRUSHY CREEK NEAR LILLY FL,903,857.0,101.44,98.41,224.36,1.0307,0.4521,swat_nhd_ok
02297251,HORSE CREEK NEAR LIMESTONE FL,491,461.0,329.48,288.9,436.08,1.1405,0.7555,swat_nhd_ok
02297272,BRANDY BRANCH AT PINE LEVEL FL,1220,1157.0,41.9,38.65,42.95,1.0841,0.9757,swat_nhd_ok
02297290,BUZZARD ROOST BRANCH NEAR PINE LEVEL FL,886,840.0,74.22,72.68,75.43,1.0212,0.9839,swat_nhd_ok
02297310,"HORSE CREEK AT SR 72 NEAR ARCADIA, FL",333,329.0,565.74,516.24,627.96,1.0959,0.9009,swat_nhd_ok
02297345,PEACE RIVER AT PLATT FL,181,177.0,4465.82,4010.05,4599.15,1.1137,0.971,swat_nhd_ok
02297350,PEACE RIVER NR PEACE RIVER HEIGHTS NR FT. OGDEN FL,166,162.0,4468.19,4021.36,4599.15,1.1111,0.9715,swat_nhd_ok
02297460,PEACE RIVER AT HARBOUR HEIGHTS FL,58,58.0,4596.79,4131.6,5746.51,1.1126,0.7999,swat_nhd_ok
02297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,2718,2418.0,165.61,153.72,198.16,1.0774,0.8357,swat_nhd_ok
02297635,SHELL CREEK ON CR 764 NEAR PUNTA GORDA FL,1863,1715.0,221.57,202.59,247.11,1.0937,0.8966,swat_nhd_ok
02297733,MOSSY GULLY TRIB AT ST HWY 70 NEAR ARCADIA FL,7776,6789.0,0.3,0.31,639.85,0.9704,0.0005,swat_nhd_ok
02297875,COW SLOUGH NEAR ARCADIA FL,6331,5494.0,67.49,67.22,168.45,1.004,0.4006,swat_nhd_ok
02298110,PRAIRIE CREEK UPSTREAM OF SR 31 NEAR FT OGDEN FL,772,735.0,429.87,413.39,639.85,1.0399,0.6718,swat_nhd_ok
02298123,PRAIRIE CREEK NEAR FORT OGDEN FL,683,650.0,639.73,614.73,983.56,1.0407,0.6504,swat_nhd_ok
02298124,PRAIRIE CREEK DOWNSTREAM NEAR FT OGDEN FL,699,665.0,639.69,626.39,983.56,1.0212,0.6504,swat_nhd_ok
02298170,PRAIRIE CREEK ON CR 764 NEAR PUNTA GORDA FL,533,503.0,723.56,695.18,983.56,1.0408,0.7356,swat_nhd_ok
02298202,SHELL CREEK NEAR PUNTA GORDA FL,450,428.0,977.24,929.9,983.56,1.0509,0.9936,swat_nhd_ok
02298300,PEACE RIVER AT PUNTA GORDA FL,38,38.0,5755.82,5229.5,5942.17,1.1006,0.9686,swat_nhd_ok
274319081452000,ESTECH POND CSA OUTFALL NEAR FT. MEADE FL,765,728.0,161.88,172.48,57.16,0.9385,2.832,swat_nhd_ok
280242081531600,TENOROC DITCH (SITE 20) NEAR LAKELAND FL,5304,4617.0,7.88,7.95,159.47,0.9913,0.0494,swat_nhd_ok
280441081520200,TENOROC DITCH (SITE 17B) NEAR LAKELAND FL,9317,8083.0,13.74,8.94,159.47,1.538,0.0862,swat_nhd_ok
280531081520500,TENOROC DITCH ABV STR (SITE 17A) NEAR LAKELAND FL,3582,3157.0,5.56,4.62,159.47,1.2041,0.0349,swat_nhd_ok
280531081520501,TENOROC DITCH BEL STR (SITE 17A) NEAR LAKELAND FL,3582,3157.0,5.56,4.62,159.47,1.2041,0.0349,swat_nhd_ok
280557081512300,TENOROC DITCH (SITE 13) NEAR LAKELAND FL,5157,4492.0,2.04,2.04,159.47,1.0,0.0128,swat_nhd_ok
