vpuid,site_no,nwis_drain_area_km2,wbd_upstream_hu12_area_sqkm,wbd_over_nwis_ratio,wbd_minus_nwis_pct
0310,02293681,53.0948,392.5604,7.3936,639.36
0310,02293694,150.2193,392.5604,2.6132,161.32
0310,02293986,414.3981,593.0547,1.4311,43.11
0310,02293987,419.5781,593.0547,1.4135,41.35
0310,02294068,59.5697,82.8201,1.3903,39.03
0310,02294161,530.4296,593.0547,1.1181,11.81
0310,02294217,137.2694,159.4731,1.1618,16.18
0310,02294290,157.9893,159.4731,1.0094,0.94
0310,02294330,55.4257,54.9007,0.9905,-0.95
0310,02294405,48.6918,369.9184,7.5971,659.71
0310,02294491,349.6484,369.9184,1.058,5.8
0310,02294650,1010.0954,1448.2658,1.4338,43.38
0310,02294655,1023.0453,1448.2658,1.4156,41.56
0310,02294775,1025.6353,1448.2658,1.4121,41.21
0310,02294781,1064.4851,1448.2658,1.3605,36.05
0310,02294898,1243.1943,1448.2658,1.165,16.5
0310,02295013,122.2474,165.3287,1.3524,35.24
0310,02295163,111.3695,57.7377,0.5184,-48.16
0310,02295194,1587.6627,2028.3491,1.2776,27.76
0310,02295203,1590.2527,2028.3491,1.2755,27.55
0310,02295420,313.3886,312.43,0.9969,-0.31
0310,02295435,13.7528,2028.3491,147.4859,14648.59
0310,02295440,1952.851,2028.3491,1.0387,3.87
0310,02295607,2092.7104,2028.3491,0.9692,-3.08
0310,02295637,2139.3302,2190.9026,1.0241,2.41
0310,02295755,9.7125,2190.9026,225.5766,22457.66
0310,02295850,38.8498,58.0973,1.4954,49.54
0310,02296057,45.3248,47.1216,1.0396,3.96
0310,02296180,54.9077,94.619,1.7232,72.32
0310,02296191,79.2536,94.619,1.1939,19.39
0310,02296207,98.6785,94.619,0.9589,-4.11
0310,02296222,108.5205,168.955,1.5569,55.69
0310,02296223,108.5205,168.955,1.5569,55.69
0310,02296260,497.2777,553.2881,1.1126,11.26
0310,02296389,168.6082,173.9311,1.0316,3.16
0310,02296500,854.6961,864.2574,1.0112,1.12
0310,02296750,3540.5137,3831.9243,1.0823,8.23
0310,02297100,341.8784,332.4607,0.9725,-2.75
0310,02297105,4325.2801,3831.9243,0.8859,-11.41
0310,02297153,34.9648,100.4982,2.8743,187.43
0310,02297155,108.7795,300.9085,2.7662,176.62
0310,02297220,123.8014,224.3569,1.8122,81.22
0310,02297251,336.6985,436.0803,1.2952,29.52
0310,02297272,39.1088,42.9466,1.0981,9.81
0310,02297290,74.3327,75.4336,1.0148,1.48
0310,02297310,564.6174,627.956,1.1122,11.22
0310,02297350,4610.1788,4599.1512,0.9976,-0.24
0310,02297460,4843.2778,5746.5091,1.1865,18.65
0310,02297635,233.3579,247.1134,1.0589,5.89
0310,02297733,17.1975,639.8452,37.2057,3620.57
0310,02297875,37.2958,168.4532,4.5167,351.67
0310,02298123,603.4672,983.562,1.6299,62.99
0310,02298124,631.9571,983.562,1.5564,55.64
0310,02298170,673.3969,983.562,1.4606,46.06
0310,02298202,966.0656,983.562,1.0181,1.81
0310,02298300,5956.9727,5942.1729,0.9975,-0.25
0310,02298488,75.6277,74.1206,0.9801,-1.99
0310,02298492,15.6694,313.9774,20.0376,1903.76
0310,02298495,10.1787,313.9774,30.8467,2984.67
0310,02298527,22.5588,87.515,3.8794,287.94
0310,02298530,17.068,87.515,5.1274,412.74
0310,02298556,223.516,313.9774,1.4047,40.47
0310,02298608,323.7485,471.7317,1.4571,45.71
0310,02298700,427.348,471.7317,1.1039,10.39
0310,02298760,51.7998,75.55,1.4585,45.85
0310,02298805,567.2074,625.3238,1.1025,10.25
0310,02298830,593.1073,625.3238,1.0543,5.43
0310,02298850,621.5971,625.3238,1.006,0.6
0310,02298880,655.267,710.3454,1.0841,8.41
0310,02298900,668.2169,710.3454,1.063,6.3
0310,02298928,0.518,911.5991,1759.8519,175885.19
0310,02298955,732.9666,911.5991,1.2437,24.37
0310,02299120,82.8796,97.5917,1.1775,17.75
0310,02299160,85.9876,97.5917,1.135,13.5
0310,02299230,927.2157,1465.499,1.5805,58.05
0310,02299360,62.1597,186.8328,3.0057,200.57
0310,02299410,94.5346,174.8141,1.8492,84.92
0310,02299450,209.789,495.8961,2.3638,136.38
0310,02299455,223.257,495.8961,2.2212,122.12
0310,02299470,239.5739,495.8961,2.0699,106.99
0310,02299472,221.962,495.8961,2.2341,123.41
0310,02299484,233.0989,495.8961,2.1274,112.74
0310,02299496,1502.1931,1557.2842,1.0367,3.67
0310,02299680,7.252,59.1334,8.1541,715.41
0310,02299681,4.403,80.8852,18.3706,1737.06
0310,02299684,8.806,80.8852,9.1853,818.53
0310,02299700,98.4195,151.1506,1.5358,53.58
0310,02299710,101.2685,151.1506,1.4926,49.26
0310,02299727,166.5362,151.1506,0.9076,-9.24
0310,02299737,39.8858,333.8271,8.3696,736.96
0310,02299741,12.3542,333.8271,27.0212,2602.12
0310,02299742,0.9065,333.8271,368.261,36726.1
0310,02299750,62.1597,220.5837,3.5487,254.87
0310,02299780,80.5486,220.5837,2.7385,173.85
0310,02299861,12.7168,74.6249,5.8682,486.82
0310,02299950,169.1262,251.0931,1.4846,48.46
0310,02300000,225.588,251.0931,1.1131,11.31
0310,023000095,354.8284,404.9012,1.1411,14.11
0310,02300017,36.2598,111.9772,3.0882,208.82
0310,02300018,131.0534,154.1451,1.1762,17.62
0310,02300029,52.0588,122.7064,2.3571,135.71
0310,02300032,66.8217,122.7064,1.8363,83.63
0310,02300033,66.3296,122.7064,1.8499,84.99
0310,02300034,6.216,122.7064,19.7405,1874.05
0310,023000355,24.1646,122.7064,5.0779,407.79
0310,023000358,117.3265,122.7064,1.0459,4.59
0310,02300036,11.1369,122.7064,11.018,1001.8
0310,02300037,2.4346,217.3329,89.2688,8826.88
0310,02300038,9.7902,217.3329,22.1991,2119.91
0310,02300039,2.9526,217.3329,73.6076,7260.76
0310,02300044,155.1403,217.3329,1.4009,40.09
0310,02300050,6.993,217.3329,31.0788,3007.88
0310,02300056,18.7256,217.3329,11.6062,1060.62
0310,02300062,6.475,217.3329,33.5651,3256.51
0310,02300064,214.969,217.3329,1.011,1.1
0310,02300075,32.3749,47.7246,1.4741,47.41
0310,02300082,46.1018,47.7246,1.0352,3.52
0310,02300092,15.7989,97.7217,6.1853,518.53
0310,02300096,24.3459,97.7217,4.0139,301.39
0310,02300100,81.3256,97.7217,1.2016,20.16
0310,02300130,20.3573,234.2883,11.5088,1050.88
0310,02300210,55.4257,100.7379,1.8175,81.75
0310,02300300,99.4555,100.7379,1.0129,1.29
0310,02300430,9.324,403.3707,43.2618,4226.18
0310,02300500,385.9082,403.3707,1.0453,4.53
0310,02300530,20.9789,535.3333,25.5177,2451.77
0310,02300546,528.3576,586.577,1.1102,11.02
0310,02300700,75.3687,104.205,1.3826,38.26
0310,02300703,94.0166,104.205,1.1084,10.84
0310,02300705,101.7865,104.205,1.0238,2.38
0310,02300882,101.0095,317.0658,3.139,213.9
0310,02300930,67.0807,63.9033,0.9526,-4.74
0310,02300978,81.3256,102.5185,1.2606,26.06
0310,02300995,8.4693,317.0658,37.4372,3643.72
0310,02301000,349.6484,317.0658,0.9068,-9.32
0310,02301150,188.0331,230.3228,1.2249,22.49
0310,02301300,277.1287,358.3351,1.293,29.3
0310,02301314,9.5571,358.3351,37.4943,3649.43
0310,02301325,675.9869,914.4806,1.3528,35.28
0310,02301328,717.4267,914.4806,1.2747,27.47
0310,02301350,22.4034,59.4554,2.6539,165.39
0310,02301400,36.7778,110.4999,3.0045,200.45
0310,02301500,867.646,914.4806,1.054,5.4
0310,02301638,973.8355,1040.3536,1.0683,6.83
0310,02301695,18.4407,1040.3536,56.4161,5541.61
0310,02301718,1072.2551,1040.3536,0.9702,-2.98
0310,02301719,1085.205,1040.3536,0.9587,-4.13
0310,02301721,1082.615,1040.3536,0.961,-3.9
0310,02301738,7.511,107.2764,14.2826,1328.26
0310,02301740,15.773,107.2764,6.8013,580.13
0310,02301745,5.18,107.2764,20.7098,1970.98
0310,02301750,41.6988,107.2764,2.5726,157.26
0310,02301780,41.4398,102.9805,2.4851,148.51
0310,02301793,3.7814,102.9805,27.2335,2623.35
