key	Time_of_writing	station	time_step	stage	MODEL_NAME	NSE	MPE	PBIAS	RMSE	KGE
cache	2026-06-14 00:31:21	2	Daily	calibration	cache	0.627	67.493	2.774	78.354	0.767
cache	2026-06-14 00:31:21	2	Monthly	calibration	cache	0.817	45.498	2.774	1128.397	0.899
cache	2026-06-14 00:32:01	2	Daily	calibration	cache	0.700	62.251	-3.029	70.326	0.688
cache	2026-06-14 00:32:01	2	Monthly	calibration	cache	0.857	46.386	-3.029	997.334	0.850
cache	2026-06-14 00:32:42	2	Daily	calibration	cache	0.730	60.625	-2.795	66.645	0.718
cache	2026-06-14 00:32:42	2	Monthly	calibration	cache	0.880	43.960	-2.795	912.304	0.876
cache	2026-06-14 00:33:22	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:33:22	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:34:02	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:34:02	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:34:42	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:34:42	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:35:23	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:35:23	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:36:03	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:36:03	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:36:44	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:36:44	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:37:23	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:37:23	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:38:03	2	Daily	calibration	cache	0.770	60.586	0.189	61.480	0.785
cache	2026-06-14 00:38:03	2	Monthly	calibration	cache	0.904	43.062	0.189	814.779	0.919
cache	2026-06-14 00:38:43	2	Daily	calibration	cache	0.783	60.442	1.293	59.826	0.817
cache	2026-06-14 00:38:43	2	Monthly	calibration	cache	0.899	43.717	1.293	836.174	0.927
cache	2026-06-14 00:39:23	2	Daily	calibration	cache	0.782	60.837	2.142	59.923	0.830
cache	2026-06-14 00:39:23	2	Monthly	calibration	cache	0.905	43.948	2.142	813.698	0.932
cache	2026-06-14 00:40:03	2	Daily	calibration	cache	0.782	60.083	0.546	59.954	0.807
cache	2026-06-14 00:40:03	2	Monthly	calibration	cache	0.908	43.308	0.546	799.527	0.924
cache	2026-06-14 00:40:43	2	Daily	calibration	cache	0.793	60.161	1.920	58.373	0.823
cache	2026-06-14 00:40:43	2	Monthly	calibration	cache	0.907	43.612	1.920	802.124	0.936
cache	2026-06-14 00:41:24	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:41:24	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:42:05	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:42:05	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:42:46	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:42:46	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:43:27	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:43:27	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:44:08	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:44:08	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:44:49	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:44:49	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:45:30	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:45:30	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:46:11	2	Daily	calibration	cache	0.791	59.551	1.648	58.678	0.832
cache	2026-06-14 00:46:11	2	Monthly	calibration	cache	0.926	43.565	1.648	716.768	0.943
cache	2026-06-14 00:46:52	2	Daily	calibration	cache	0.790	59.119	1.084	58.763	0.817
cache	2026-06-14 00:46:52	2	Monthly	calibration	cache	0.929	42.869	1.084	700.314	0.939
cache	2026-06-14 00:47:33	2	Daily	calibration	cache	0.790	59.119	1.084	58.763	0.817
cache	2026-06-14 00:47:33	2	Monthly	calibration	cache	0.929	42.869	1.084	700.314	0.939
cache	2026-06-14 00:48:14	2	Daily	calibration	cache	0.794	59.409	1.675	58.259	0.830
cache	2026-06-14 00:48:14	2	Monthly	calibration	cache	0.931	42.604	1.675	689.982	0.939
cache	2026-06-14 00:48:56	2	Daily	calibration	cache	0.795	59.297	2.247	58.058	0.842
cache	2026-06-14 00:48:56	2	Monthly	calibration	cache	0.932	42.649	2.247	688.571	0.939
cache	2026-06-14 00:49:37	2	Daily	calibration	cache	0.797	59.277	2.137	57.757	0.837
cache	2026-06-14 00:49:37	2	Monthly	calibration	cache	0.931	42.686	2.137	691.397	0.941
cache	2026-06-14 00:50:18	2	Daily	calibration	cache	0.802	59.462	1.976	57.103	0.842
cache	2026-06-14 00:50:18	2	Monthly	calibration	cache	0.931	42.629	1.976	690.933	0.943
cache	2026-06-14 00:50:59	2	Daily	calibration	cache	0.802	59.386	2.608	57.061	0.850
cache	2026-06-14 00:50:59	2	Monthly	calibration	cache	0.933	42.726	2.608	683.825	0.945
cache	2026-06-14 00:51:40	2	Daily	calibration	cache	0.803	59.195	2.256	56.976	0.851
cache	2026-06-14 00:51:40	2	Monthly	calibration	cache	0.933	42.469	2.256	681.193	0.944
cache	2026-06-14 00:52:21	2	Daily	calibration	cache	0.805	58.842	1.609	56.618	0.849
cache	2026-06-14 00:52:21	2	Monthly	calibration	cache	0.932	42.110	1.609	686.341	0.942
cache	2026-06-14 00:53:02	2	Daily	calibration	cache	0.806	58.799	1.609	56.516	0.852
cache	2026-06-14 00:53:02	2	Monthly	calibration	cache	0.933	42.057	1.609	681.186	0.942
cache	2026-06-14 00:53:43	2	Daily	calibration	cache	0.806	58.755	1.615	56.460	0.854
cache	2026-06-14 00:53:43	2	Monthly	calibration	cache	0.934	42.009	1.615	677.560	0.942
cache	2026-06-14 00:54:24	2	Daily	calibration	cache	0.807	58.835	1.447	56.365	0.852
cache	2026-06-14 00:54:24	2	Monthly	calibration	cache	0.934	41.944	1.447	677.587	0.940
cache	2026-06-14 00:55:05	2	Daily	calibration	cache	0.806	58.788	1.164	56.450	0.851
cache	2026-06-14 00:55:05	2	Monthly	calibration	cache	0.935	41.864	1.164	674.103	0.939
cache	2026-06-14 00:55:47	2	Daily	calibration	cache	0.807	58.909	1.164	56.353	0.843
cache	2026-06-14 00:55:47	2	Monthly	calibration	cache	0.934	41.981	1.164	676.176	0.939
cache	2026-06-14 00:56:28	2	Daily	calibration	cache	0.807	58.909	1.164	56.353	0.843
cache	2026-06-14 00:56:28	2	Monthly	calibration	cache	0.934	41.981	1.164	676.176	0.939
cache	2026-06-14 00:57:09	2	Daily	calibration	cache	0.807	58.909	1.164	56.353	0.843
cache	2026-06-14 00:57:09	2	Monthly	calibration	cache	0.934	41.981	1.164	676.176	0.939
cache	2026-06-14 00:57:50	2	Daily	calibration	cache	0.807	58.909	1.164	56.353	0.843
cache	2026-06-14 00:57:50	2	Monthly	calibration	cache	0.934	41.981	1.164	676.176	0.939
cache	2026-06-14 00:58:31	2	Daily	calibration	cache	0.807	58.923	1.155	56.313	0.843
cache	2026-06-14 00:58:31	2	Monthly	calibration	cache	0.934	41.985	1.155	676.765	0.939
cache	2026-06-14 00:59:12	2	Daily	calibration	cache	0.809	58.945	1.028	56.115	0.832
cache	2026-06-14 00:59:12	2	Monthly	calibration	cache	0.933	41.961	1.028	682.036	0.938
cache	2026-06-14 00:59:53	2	Daily	calibration	cache	0.809	58.843	1.929	56.066	0.838
cache	2026-06-14 00:59:53	2	Monthly	calibration	cache	0.933	41.924	1.929	680.012	0.942
cache	2026-06-14 01:00:34	2	Daily	calibration	cache	0.809	58.843	1.929	56.066	0.838
cache	2026-06-14 01:00:34	2	Monthly	calibration	cache	0.933	41.924	1.929	680.012	0.942
cache	2026-06-14 01:01:15	2	Daily	calibration	cache	0.809	58.891	1.180	56.081	0.839
cache	2026-06-14 01:01:15	2	Monthly	calibration	cache	0.934	41.915	1.180	677.668	0.938
cache	2026-06-14 01:01:56	2	Daily	calibration	cache	0.809	58.817	1.891	56.063	0.844
cache	2026-06-14 01:01:56	2	Monthly	calibration	cache	0.934	41.901	1.891	675.727	0.941
cache	2026-06-14 01:02:37	2	Daily	calibration	cache	0.811	58.623	1.387	55.774	0.845
cache	2026-06-14 01:02:37	2	Monthly	calibration	cache	0.934	41.867	1.387	678.304	0.941
cache	2026-06-14 01:03:19	2	Daily	calibration	cache	0.811	58.623	1.387	55.774	0.845
cache	2026-06-14 01:03:19	2	Monthly	calibration	cache	0.934	41.867	1.387	678.304	0.941
cache	2026-06-14 01:04:00	2	Daily	calibration	cache	0.811	58.623	1.387	55.774	0.845
cache	2026-06-14 01:04:00	2	Monthly	calibration	cache	0.934	41.867	1.387	678.304	0.941
cache	2026-06-14 01:04:41	2	Daily	calibration	cache	0.811	58.623	1.387	55.774	0.845
