iteration,global_best_score
0,-1.4436733256603125
1,-1.5563077291099763
2,-1.6103179107453807
3,-1.6747787608239646
4,-1.6747787608239646
5,-1.6747787608239646
6,-1.6747787608239646
7,-1.6747787608239646
8,-1.6747787608239646
9,-1.6747787608239646
10,-1.6747787608239646
11,-1.6818765669550664
12,-1.686517644000127
13,-1.689577524674136
14,-1.7003474712192543
15,-1.7168452675574235
16,-1.7168452675574235
17,-1.7168452675574235
18,-1.7168452675574235
19,-1.7168452675574235
20,-1.7168452675574235
21,-1.7168452675574235
22,-1.7168452675574235
23,-1.7196016965149785
24,-1.7196016965149785
25,-1.725254309702805
26,-1.7269497939812095
27,-1.7285046261019907
28,-1.7331627080827654
29,-1.734864431016467
30,-1.7359649754844213
31,-1.737423003515707
32,-1.7391429544849055
33,-1.7402370622895924
34,-1.7408836529728213
35,-1.7409778182113094
36,-1.741234892897113
37,-1.741234892897113
38,-1.741234892897113
39,-1.741234892897113
40,-1.741394010451827
41,-1.7417189534541
42,-1.7424475353617606
43,-1.7424475353617606
44,-1.742802980229699
45,-1.7433069608010405
46,-1.7447654714945953
47,-1.7447654714945953
48,-1.7447654714945953
49,-1.7447654714945953
50,-1.7448532549065017
