key	Time_of_writing	station	time_step	stage	MODEL_NAME	NSE	MPE	PBIAS	RMSE	KGE
cache	2026-06-14 00:10:18	2	Daily	calibration	cache	0.627	67.493	2.774	78.354	0.767
cache	2026-06-14 00:10:18	2	Monthly	calibration	cache	0.817	45.498	2.774	1128.397	0.899
cache	2026-06-14 00:10:58	2	Daily	calibration	cache	0.729	60.249	-2.509	66.787	0.715
cache	2026-06-14 00:10:58	2	Monthly	calibration	cache	0.899	43.234	-2.509	839.418	0.871
cache	2026-06-14 00:11:37	2	Daily	calibration	cache	0.758	61.025	-1.202	63.129	0.763
cache	2026-06-14 00:11:37	2	Monthly	calibration	cache	0.912	42.266	-1.202	783.266	0.909
cache	2026-06-14 00:12:16	2	Daily	calibration	cache	0.758	61.025	-1.202	63.129	0.763
cache	2026-06-14 00:12:16	2	Monthly	calibration	cache	0.912	42.266	-1.202	783.266	0.909
cache	2026-06-14 00:12:55	2	Daily	calibration	cache	0.788	60.092	1.581	59.105	0.804
cache	2026-06-14 00:12:55	2	Monthly	calibration	cache	0.903	43.508	1.581	822.800	0.933
cache	2026-06-14 00:13:35	2	Daily	calibration	cache	0.790	61.809	3.181	58.729	0.818
cache	2026-06-14 00:13:35	2	Monthly	calibration	cache	0.922	42.524	3.181	737.196	0.937
cache	2026-06-14 00:14:14	2	Daily	calibration	cache	0.790	61.809	3.181	58.729	0.818
cache	2026-06-14 00:14:14	2	Monthly	calibration	cache	0.922	42.524	3.181	737.196	0.937
cache	2026-06-14 00:14:54	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:14:54	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:15:33	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:15:33	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:16:13	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:16:13	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:16:52	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:16:52	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:17:31	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:17:31	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:18:11	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:18:11	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:18:50	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:18:50	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:19:30	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:19:30	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:20:09	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:20:09	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:20:48	2	Daily	calibration	cache	0.795	60.151	1.703	58.038	0.821
cache	2026-06-14 00:20:48	2	Monthly	calibration	cache	0.927	42.524	1.703	710.481	0.934
cache	2026-06-14 00:21:28	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:21:28	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:22:07	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:22:07	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:22:47	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:22:47	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:23:26	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:23:26	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:24:06	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:24:06	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:24:45	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:24:45	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:25:24	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:25:24	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:26:04	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:26:04	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:26:43	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:26:43	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:27:23	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:27:23	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
cache	2026-06-14 00:28:02	2	Daily	calibration	cache	0.799	61.125	5.262	57.452	0.840
cache	2026-06-14 00:28:02	2	Monthly	calibration	cache	0.928	42.940	5.262	707.471	0.933
4bb14c0b-d714-4e07-a5f3-f8382b2c2bd2	2026-06-14 00:28:31	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.583	59.398	-5.836	127.313	0.572
4bb14c0b-d714-4e07-a5f3-f8382b2c2bd2	2026-06-14 00:28:31	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.876	38.278	-5.836	1201.565	0.864
369c2ff2-bcc5-42c8-be47-8e056a4a1f50	2026-06-14 00:28:34	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.540	58.821	-9.173	133.701	0.537
369c2ff2-bcc5-42c8-be47-8e056a4a1f50	2026-06-14 00:28:34	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.886	36.990	-9.173	1149.948	0.834
21c1e0f7-449f-420a-b393-2c9e9335e18f	2026-06-14 00:28:36	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.680	54.815	-3.637	111.580	0.641
21c1e0f7-449f-420a-b393-2c9e9335e18f	2026-06-14 00:28:36	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.896	37.618	-3.637	1099.919	0.872
81a9ca3f-8dfe-4076-a3bd-84e7d8d8baae	2026-06-14 00:28:38	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.744	51.697	0.018	99.792	0.773
81a9ca3f-8dfe-4076-a3bd-84e7d8d8baae	2026-06-14 00:28:38	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.943	32.261	0.018	816.780	0.954
e89a55a9-1a85-4e5f-bcde-668647ae4f9b	2026-06-14 00:28:40	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.752	52.196	2.339	98.219	0.759
e89a55a9-1a85-4e5f-bcde-668647ae4f9b	2026-06-14 00:28:40	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.945	33.279	2.339	802.231	0.957
48217aa7-f8c2-4e0e-a3de-51a33c2327a8	2026-06-14 00:28:42	2_14161500	Daily	verification	SWAT_MODEL_Web_Application	0.752	52.196	2.339	98.219	0.759
48217aa7-f8c2-4e0e-a3de-51a33c2327a8	2026-06-14 00:28:42	2_14161500	Monthly	verification	SWAT_MODEL_Web_Application	0.945	33.279	2.339	802.231	0.957
