iteration,global_best_score
0,-1.4436733256603125
1,-1.6275566763937954
2,-1.6695436338749308
3,-1.6695436338749308
4,-1.690283959173478
5,-1.7122097451174905
6,-1.7122097451174905
7,-1.7226815251866316
8,-1.7226815251866316
9,-1.7226815251866316
10,-1.7226815251866316
11,-1.7226815251866316
12,-1.7226815251866316
13,-1.7226815251866316
14,-1.7226815251866316
15,-1.7226815251866316
16,-1.7226815251866316
17,-1.7274036610564822
18,-1.7274036610564822
19,-1.7274036610564822
20,-1.7274036610564822
21,-1.7274036610564822
22,-1.7274036610564822
23,-1.7274036610564822
24,-1.7274036610564822
25,-1.7274036610564822
26,-1.7274036610564822
