vpu,states,name,vintage_filename,vintage_in_filename,wbd_loaddate,area_km2,reach_count,reaches_per_km2,total_len_km,density_km_per_km2,source_scales_finest,source_scales
0101,"CN,ME",St. John,20220901,True,2019-10-15T17:01:06+00:00,36485.3,41917,1.149,,,24000,24000:133|100000:6
0105,"CN,ME",Maine Coastal,20230713,True,2020-12-09T09:41:52+00:00,29957.3,38845,1.297,,,24000,24000:115|100000:8
0106,"MA,ME,NH",Saco,20230713,True,2020-12-16T11:42:51+00:00,12568.1,33914,2.698,,,5000,5000:2|24000:121|100000:9
0108,"CN,CT,MA,ME,NH,VT",Connecticut,20220324,True,2020-12-16T11:42:48+00:00,29173.8,104740,3.59,,,4800,4800:1|5000:1|24000:111|25000:8|100000:21
0109,"MA,RI",Massachusetts-Rhode Island Coastal,20230713,True,2021-01-25T09:57:16+00:00,18397.0,65569,3.564,,,2400,2400:1|24000:148|25000:5|100000:10
0110,"CT,MA,NY,RI",Connecticut Coastal,20220323,True,2021-05-17T14:04:06+00:00,12561.6,76164,6.063,,,2400,2400:1|24000:122|25000:4|100000:18
0204,"DE,MD,NJ,NY,PA,VA",Delaware-Mid Atlantic Coastal,20220324,True,2020-11-03T11:01:54+00:00,46680.1,311116,6.665,,,2400,2400:4|5000:1|9999:1|24000:158|99999:3|100000:45
0205,"MD,NY,PA",Susquehanna,20220323,True,2021-01-07T13:33:54+00:00,71224.2,122906,1.726,,,2400,2400:9|24000:169|100000:36
0207,"DC,MD,PA,VA,WV",Potomac,20220324,True,2020-11-03T11:02:04+00:00,38018.6,100634,2.647,,,4800,4800:1|24000:89|100000:21
0208,"DE,MD,VA,WV",Lower Chesapeake,20220324,True,2020-11-03T11:01:41+00:00,53570.4,196027,3.659,,,24000,24000:147|100000:35
0302,NC,Neuse-Pamlico,None,False,2017-08-25T15:13:07+00:00,36985.2,123395,3.336,,,24000,24000:96|100000:21
0303,NC,Cape Fear,None,False,2017-08-10T20:27:33+00:00,23847.2,89678,3.761,,,24000,24000:65|100000:16
0304,"NC,SC,VA",Pee Dee,None,False,2017-08-10T20:27:31+00:00,48857.9,180427,3.693,,,24000,24000:89|100000:18
0306,"GA,NC,SC",Ogeechee-Savannah,None,False,2017-07-23T21:17:37+00:00,43806.4,117720,2.687,,,24000,24000:96|100000:21
0308,FL,St. Johns,None,False,2017-07-11T11:21:23+00:00,31559.8,64247,2.036,,,2000,2000:2|2400:7|12000:77|24000:309|40000:16|100000:28|2000000:1
0310,FL,Peace-Tampa Bay,None,False,2017-07-11T11:21:21+00:00,27562.7,96077,3.486,,,2400,2400:8|12000:88|24000:325|40000:12|100000:28|2000000:1
0313,"AL,FL,GA",Apalachicola,None,False,2017-06-30T11:00:10+00:00,53422.2,106235,1.989,,,4800,4800:1|12000:23|24000:171|100000:34
0314,"AL,FL",Choctawhatchee-Escambia,None,False,2017-09-08T13:01:35+00:00,40426.3,113421,2.806,,,4800,4800:2|12000:67|24000:245|100000:37
0315,"AL,GA,TN",Alabama,None,False,2017-08-04T12:39:23+00:00,58896.5,163574,2.777,,,24000,24000:99|100000:36
0403,"MI,WI",Northwestern Lake Michigan,None,False,2019-04-02T12:17:54+00:00,53659.2,53834,1.003,,,2400,2400:1|24000:230|100000:35
0408,MI,Southwestern Lake Huron-Lake Huron,None,False,2019-10-31T11:11:40+00:00,23665.8,25406,1.074,,,24000,24000:124|100000:15
0409,"CN,MI",St. Clair-Detroit,None,False,2019-12-27T14:51:20+00:00,19098.7,37607,1.969,,,24000,24000:100|100000:8
0430,"CN,ME,NH,NY,VT",Middle Saint Lawrence River,None,False,2019-10-22T10:21:05+00:00,34774.6,116911,3.362,,,24000,24000:124|100000:8
0502,"MD,PA,WV",Monongahela,None,False,2012-06-11T07:54:59+00:00,19104.3,34582,1.81,,,2400,2400:1|24000:58|100000:16|250000:2
0503,"OH,PA,WV",Upper Ohio,None,False,2017-04-19T09:51:31+00:00,34687.2,75104,2.165,,,2400,2400:1|24000:126|100000:31
0504,OH,Muskingum,None,False,2017-04-18T14:42:24+00:00,20849.4,41649,1.998,,,24000,24000:54|100000:17
0509,"IN,KY,OH,WV",Middle Ohio,None,False,2017-05-19T13:12:46+00:00,23054.7,109287,4.74,,,1200,1200:1|2400:7|12000:222|24000:164|40000:2|100000:26
0510,"KY,VA",Kentucky-Licking,None,False,2017-04-24T11:44:59+00:00,27638.7,74582,2.698,,,1200,1200:4|2400:7|12000:1234|24000:349|40000:1|100000:22
0512,"IL,IN,OH",Wabash,None,False,2017-05-24T11:33:48+00:00,85349.1,1532101,17.951,,,1200,1200:23|2400:5|12000:8|24000:218|100000:53
0514,"IL,IN,KY",Lower Ohio,None,False,2017-05-24T11:33:50+00:00,32633.7,296920,9.099,,,1200,1200:10|2400:15|4800:1|12000:1028|24000:431|25402:4|100000:42
0601,"GA,KY,NC,SC,TN,VA,WV",Upper Tennessee,20220418,True,2021-02-01T10:10:15+00:00,44787.9,268831,6.002,,,2400,2400:1|4800:11|12000:24|24000:201|100000:31
0602,"AL,GA,NC,TN",Middle Tennessee-Hiwassee,20220418,True,2021-02-02T09:10:33+00:00,13365.7,37460,2.803,,,24000,24000:64|100000:7
0708,"IA,IL,MN,MO",Upper Mississippi-Iowa-Skunk-Wapsipinicon,None,False,2012-06-11T07:54:59+00:00,59402.8,88888,1.496,,,24000,24000:121|40000:4|100000:32
0710,"IA,MN,MO",Des Moines,None,False,2016-12-22T17:41:06+00:00,37442.4,46333,1.237,,,24000,24000:103|40000:5|100000:28
0712,"IL,IN,MI,WI",Upper Illinois,None,False,2017-02-13T19:27:45+00:00,28314.2,249122,8.798,,,1200,1200:11|2400:1|4800:1|24000:103|100000:20
0713,IL,Lower Illinois,None,False,2017-02-13T19:27:39+00:00,46353.9,115014,2.481,,,1200,1200:4|24000:112|100000:18
0802,"AR,MO,MS",Lower Mississippi-St. Francis,None,False,2018-05-21T11:38:45+00:00,41892.4,112077,2.675,,,2400,2400:3|4800:5|12000:1|24000:152|100000:29
0807,"LA,MS",Lower Mississippi-Lake Maurepas,None,False,2017-10-16T01:33:31+00:00,15074.4,34477,2.287,,,2400,2400:6|24000:117|100000:18
0809,"LA,MS",Lower Mississippi,None,False,2017-10-16T01:33:31+00:00,29240.2,46555,1.592,,,2400,2400:6|4800:4|24000:120|100000:13
0903,"CN,MI,MN,WI",Western Lake Superior,None,False,2012-06-11T07:54:58+00:00,25428.6,107133,4.213,,,24000,24000:84|40000:2|100000:23
1003,MT,Missouri-Marias,None,False,2016-10-07T20:07:08+00:00,51433.4,92676,1.802,,,4000,4000:2|4500:12|5000:1|6000:1|8000:1|12000:7|24000:90|100000:19
1004,MT,Missouri-Marias,None,False,2016-10-07T20:07:08+00:00,51433.4,168386,3.274,,,4500,4500:18|5000:2|6000:2|10000:1|24000:84|100000:19
1008,"CO,NE,WY",North Platte,None,False,2016-12-01T14:55:10+00:00,80472.0,183885,2.285,,,4000,4000:5|24000:124|100000:34
1012,"MT,ND,SD,WY",Missouri-Little Missouri,None,False,2012-06-11T07:54:59+00:00,44637.9,328260,7.354,,,4000,4000:1|12000:2|24000:127|100000:17
1014,"IA,MN,NE,SD",Missouri-Big Sioux,None,False,2016-10-06T05:10:08+00:00,37994.9,120880,3.181,,,12000,12000:2|24000:73|100000:25
1018,"CO,NE,WY",North Platte,None,False,2016-12-01T14:55:10+00:00,80472.0,201926,2.509,,,12000,12000:2|24000:110|100000:15
1101,"AR,MO",Upper White,None,False,2017-04-17T09:00:59+00:00,57880.3,119071,2.057,,,24000,24000:121|100000:34|250000:1
1102,"CO,KS,NM",Upper Arkansas,None,False,2017-04-17T09:39:52+00:00,64556.2,217295,3.366,,,24000,24000:107|100000:27
1107,"AR,KS,MO,OK",Neosho-Verdigris,None,False,2017-04-21T13:34:23+00:00,53851.4,154447,2.868,,,12000,12000:3|24000:101|100000:26|250000:5
1201,"AR,LA,OK,TX",Red-Sulphur,None,False,2016-03-16T12:59:40+00:00,71621.0,101720,1.42,,,2400,2400:5|24000:75|100000:21|250000:6
1207,TX,Middle Brazos,None,False,2012-06-11T07:54:59+00:00,40429.7,121648,3.009,,,24000,24000:56|100000:14|250000:10
1210,TX,Lower Colorado-San Bernard Coastal,None,False,2012-06-11T07:54:59+00:00,73153.7,104977,1.435,,,24000,24000:91|100000:22|250000:22
1211,TX,Central Texas Coastal,None,False,2012-06-11T07:54:59+00:00,46360.2,108920,2.349,,,24000,24000:91|100000:22|250000:13
1306,"NM,TX",Upper Pecos,None,False,2017-09-20T20:59:52+00:00,60947.7,69731,1.144,,,24000,24000:93|100000:23|250000:6
1406,"CO,UT",Lower Green,20220414,True,2020-12-21T11:18:25+00:00,37701.5,62684,1.663,,,24000,24000:65|100000:20|124000:1
1503,"AZ,CA,MX,NV",Lower Colorado,20220901,True,2021-06-16T09:18:00+00:00,53742.7,125982,2.344,,,4800,4800:2|24000:175|50000:11|100000:22
1505,"AZ,MX",Middle Gila,20220901,True,2021-06-30T16:16:17+00:00,46572.9,142724,3.065,,,24000,24000:77|50000:3|100000:14
1506,AZ,Salt,20220901,True,2021-10-28T17:46:59+00:00,34900.9,106406,3.049,,,24000,24000:79|100000:20
1507,AZ,Lower Gila,20220901,True,2021-10-28T17:47:04+00:00,39046.2,107048,2.742,,,24000,24000:68|100000:17
