usgs_site_no,panel_role,gis_channel,stage_a_nhd_totdasqkm_zip,stage_g_streams_pkl_reach_totdasqkm,stage_e_readme_areac_km2,stage_h_rivs1_areac_km2,stage_h_sqlite_gis_channels_areac_km2,stage_h2_sqlite_channel_con_area_km2,stage_f_chandeg_km2,artifact_rivs1,artifact_sqlite,artifact_swat_plus_streams,swat_plus_streams_area_fields,pct_h_vs_a,pct_h_vs_g,pct_h_vs_f,pct_f_vs_h,fork_3b
02294650,mainstem_15_17,437,856.95,856.94659979,987.6217969,1002.2,1002.1950739859772,,1002.195074,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,16.949647003909213,16.950111039077022,0.0004915210748749497,0.000491518658957154,offset_in_rivs1_before_chandeg_export
02294760,mainstem_15_17,427,891.56,891.56249983,4.874057199999999,1046.57,1046.573170035912,,1046.57317,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,17.38637893131141,17.3860497945524,0.00030289329889419947,0.0003028942163404835,offset_in_rivs1_before_chandeg_export
02294898,mainstem_15_17,399,995.39,995.38719978,1162.6722525,1162.67,1162.6722525405032,,1162.6722525,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,16.805473231597674,16.8058018283712,0.00019373473436706814,0.00019373510969926828,offset_in_rivs1_before_chandeg_export
02295420,moderate_20_40,792,181.28,181.27969986,231.21846409999998,231.22,231.2184641211187,,231.21846409999998,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,27.548543689320386,27.54875486806756,0.0006642635595734346,0.000664259147141979,offset_in_rivs1_before_chandeg_export
02296389,moderate_20_40,1038,,,732.1145376999999,176.08,176.08357828351603,,176.0835783,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,,,0.0020321599745606214,0.002032201272141476,rivs1_matches_chandeg
02294747,outlier_low,2896,13.19,13.19030001,1046.57317,22.98,22.981320000069797,,22.98132,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,74.22289613343443,74.21893347822345,0.005743795395563727,0.005744125326369739,offset_in_rivs1_before_chandeg_export
02295440,outlier_low,4746,1.76,1.7585000000000002,1818.9124877000002,1.76,1.756580150511737,,1.7565802,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,0.0,0.08529997156666674,0.1946851046140725,0.19430681818182297,rivs1_matches_chandeg
02293694,lake_canal,1008,78.53,78.53100002,9.800630700000001,9.8,9.800630695431737,,9.800630700000001,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,87.52069272889342,87.52085164138471,0.006435300128187842,0.00643571428571752,rivs1_matches_chandeg
02294330,lake_named,2232,44.99,44.99320008,63.5854851,59.84,59.83509592075335,,59.8350959,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,33.007334963325185,32.99787499800348,0.0081960259714475,0.008195354278082417,offset_in_rivs1_before_chandeg_export
02297600,control_good,2718,153.72,153.71659989,165.60747909999998,165.61,165.60747913847447,,165.60747909999998,ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/Watershed/Shapes/rivs1.shp (8085 channels),"ok: ${SWATGENX_USER_PATH}/SWATplus_by_VPUID/0310/huc8/03100101/SWAT_MODEL_Web_Application/SWAT_MODEL_Web_Application.sqlite (gis_channels=8169, channel_con=0)",ok: no drainage-area fields (14 cols),none_expected,7.734842570908154,7.7372255947054285,0.001522213859987383,0.0015221906889897397,rivs1_matches_chandeg
