usgs_site_no,panel_role,gis_channel,nhdplusid_crosswalk,stage_a_nhd_totdasqkm_zip,stage_b_nhd_orig_upstream_areasqkm_zip,stage_c_clean_streams_upstream_areasqkm_km2,stage_g_streams_pkl_reach_totdasqkm,stage_g_note,stage_d_swatgenx_postprocessed_polygon_upstream_km2,stage_d_prime_streams_upstream_areasqkm_clean,stage_d_polygon_minus_stream_areasqkm,stage_d_upstream_n_reaches,stage_e_qswat_areac_at_assignment_km2,stage_e_note,stage_f_chandeg_km2,pct_f_vs_a,pct_d_vs_a,pct_e_vs_a,pct_f_vs_d,pct_g_vs_a,pct_e_vs_g,first_stage_swat_side_exceeds_nhd_tda,fork_classification
02294650,mainstem_15_17,437,15000700010251.0,856.95,856.95,848.14,856.94659979,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),874.22,848.14,26.08,925,1002.2,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),1002.195074,16.949072174572603,2.0152867728572237,16.949647003909213,14.638772162613522,0.00039678044226562116,16.950111039077022,E_qswat_areac_assignment,qswat_swatplus_export_or_chandeg_assignment
02294760,mainstem_15_17,427,15000700058475.0,891.56,891.56,882.76,891.56249983,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),914.81,882.76,32.05,955,1046.57,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),1046.57317,17.386734487863965,2.6077885952712103,17.38637893131141,14.403337305014151,0.00028038830813780326,17.3860497945524,E_qswat_areac_assignment,qswat_swatplus_export_or_chandeg_assignment
02294898,mainstem_15_17,399,15000700046661.0,995.39,995.39,986.58,995.38719978,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),1021.98,986.58,35.4,1029,15.13,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),1162.6722525,16.805699524809377,2.6713147610484365,98.47999276665428,13.766634621029766,0.0002813188800409989,98.47998849057493,F_chandeg,qswat_swatplus_export_or_chandeg_assignment
02295420,moderate_20_40,792,15000700094341.0,181.28,181.28,181.28,181.27969986,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),186.22,181.28,4.94,285,231.22,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),231.21846409999998,27.547696436451886,2.725066195939981,27.548543689320386,24.16414139190204,0.0001655670785565599,27.54875486806756,E_qswat_areac_assignment,qswat_swatplus_export_or_chandeg_assignment
02296389,moderate_20_40,1038,,,,,,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),,,,0,176.08,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),176.0835783,,,,,,,unknown,insufficient_data
02294747,outlier_low,2896,15000700010292.0,13.19,13.19,13.19,13.19030001,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),19.16,13.19,5.97,21,12.08,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),22.98132,74.23290371493556,45.26156178923427,8.415466262319935,19.944258872651357,0.0022745261561798956,8.417549329114916,D_watershed_polygons,assignment_outlier_not_area_pipeline
02295440,outlier_low,4746,15000700046528.0,1.76,1.76,1.76,1.7585000000000002,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),1.76,1.76,0.0,5,25.13,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),1.7565802,0.19430681818182297,0.0,1327.840909090909,0.19430681818182297,0.08522727272726334,1329.0588569803808,E_qswat_areac_assignment,assignment_outlier_not_area_pipeline
02293694,lake_canal,1008,15000700023411.0,78.53,9.82,9.82,78.53100002,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),9.82,9.82,0.0,5,209.01,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),9.800630700000001,87.51988959633262,87.49522475487076,166.1530625238762,0.19724338085538956,0.001273424169097439,166.1496733096103,E_qswat_areac_assignment,swat_below_nhd_review_assignment
02294330,lake_named,2232,15000700082515.0,44.99,44.99,44.99,44.99320008,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),44.99,44.99,0.0,29,59.84,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),59.8350959,32.99643454100911,0.0,33.007334963325185,32.99643454100911,0.007112869526559594,32.99787499800348,E_qswat_areac_assignment,qswat_swatplus_export_or_chandeg_assignment
02297600,control_good,2718,15000700021819.0,153.72,153.72,153.72,153.71659989,VAA TotDASqKm on crosswalk reach in national streams.pkl (pre-QSWAT attribute; not in SWAT_plus_streams.shp),157.23,153.72,3.51,19,165.61,from streamflow_data/README.md (rivs1 at assignment; shapes not on disk now),165.60747909999998,7.733202641165743,2.2833723653395728,7.734842570908154,5.328168352095649,0.002211885245902405,7.7372255947054285,none_exceed_before_F,both_polygon_and_export_contribute
