site_no,gis_channel,chandeg_id,swat_lcha,txtinout_chandeg_area_km2,txtinout_rout_unit_upstream_km2,nhd_totdasqkm_km2,nhd_nhdplusid,usgs_da_km2,usgs_da_source,ratio_chandeg_nhd,ratio_chandeg_usgs,ratio_routup_nhd,ratio_nhd_usgs,nhd_pick_rule,nhd_pick_dist_m,station_match_rule
02293681,965,918.0,918.0,132.44,5.77,128.91,15000700083740.0,392.56,meta_drainage_area_sqkm,1.0274,0.3374,0.0447,0.3284,da_distance,487.5,da_distance
02293694,1008,960.0,960.0,9.8,9.8,78.53,15000700023411.0,392.56,meta_drainage_area_sqkm,0.1248,0.025,0.1248,0.2,da_distance,209.0,distance_only
02293986,481,451.0,451.0,399.07,219.43,381.12,15000700011003.0,593.05,meta_drainage_area_sqkm,1.0471,0.6729,0.5757,0.6426,da_distance,6.0,da_distance
02293987,470,443.0,443.0,404.85,225.21,386.91,15000700022809.0,593.05,meta_drainage_area_sqkm,1.0464,0.6827,0.5821,0.6524,da_distance,3.7,distance_only
02294068,1415,1334.0,1334.0,30.84,2.3,38.68,15000700047004.0,82.82,meta_drainage_area_sqkm,0.7973,0.3724,0.0594,0.4671,da_distance,138.6,da_distance
02294161,451,429.0,429.0,590.62,276.24,514.37,15000700010307.0,593.05,meta_drainage_area_sqkm,1.1482,0.9959,0.5371,0.8673,da_distance,63.7,distance_only
02294217,947,900.0,900.0,120.73,0.98,106.14,15000700057875.0,159.47,meta_drainage_area_sqkm,1.1374,0.757,0.0092,0.6656,da_distance,15.9,da_distance
02294260,1392,1315.0,1315.0,61.04,2.15,52.17,15000700093457.0,159.47,meta_drainage_area_sqkm,1.17,0.3828,0.0411,0.3272,da_distance,18.2,distance_only
02294261,1392,1315.0,1315.0,61.04,2.15,52.34,15000700070386.0,159.47,meta_drainage_area_sqkm,1.1662,0.3828,0.041,0.3282,da_distance,266.8,distance_only
02294290,897,,,,,135.27,15000700045993.0,159.47,meta_drainage_area_sqkm,,,,0.8482,da_distance,11.3,distance_only
02294330,2232,2019.0,2019.0,59.84,22.77,48.74,15000700046384.0,54.9,meta_drainage_area_sqkm,1.2276,1.0899,0.4671,0.8878,da_distance,12.4,da_distance
02294405,1163,,,,,37.67,15000700021579.0,369.92,meta_drainage_area_sqkm,,,,0.1018,da_distance,439.7,da_distance
02294491,755,718.0,718.0,335.7,7.37,288.06,15000700021939.0,369.92,meta_drainage_area_sqkm,1.1654,0.9075,0.0256,0.7787,da_distance,137.7,distance_only
02294650,437,415.0,415.0,1002.2,346.78,856.95,15000700010251.0,1448.27,meta_drainage_area_sqkm,1.1695,0.692,0.4047,0.5917,da_distance,269.1,da_distance
02294655,429,407.0,407.0,1010.57,352.11,865.34,15000700058476.0,1448.27,meta_drainage_area_sqkm,1.1678,0.6978,0.4069,0.5975,distance_only,36.1,distance_only
02294705,429,407.0,407.0,1010.57,352.11,865.34,15000700058476.0,1448.27,meta_drainage_area_sqkm,1.1678,0.6978,0.4069,0.5975,distance_only,95.0,distance_only
02294747,2896,2563.0,2563.0,22.98,7.22,891.56,15000700058475.0,1448.27,meta_drainage_area_sqkm,0.0258,0.0159,0.0081,0.6156,da_distance,326.5,distance_only
02294760,427,405.0,405.0,1046.57,372.36,891.56,15000700058475.0,83.82,meta_drainage_area_sqkm,1.1739,12.4861,0.4176,10.6368,da_distance,240.8,da_distance
02294775,2615,2332.0,2332.0,23.01,7.25,891.56,15000700058475.0,1448.27,meta_drainage_area_sqkm,0.0258,0.0159,0.0081,0.6156,da_distance,130.1,distance_only
02294781,422,400.0,400.0,1066.47,392.26,910.65,15000700060284.0,1448.27,meta_drainage_area_sqkm,1.1711,0.7364,0.4307,0.6288,distance_only,15.3,distance_only
