site_no,station_name,usgs_da_km2,usgs_da_source,name_peace_river,name_tributary,name_lake_outlet,name_lake,name_canal,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,nhd_first_totdasqkm,nhd_first_streamorde,nhd_first_ftype,nhd_first_gnis,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,swat_nhd_pct_diff,assignment_class,calibration_eligible,reason_code,production_gis_channel,production_nhdplusid,production_nhd_pick_rule,v1_draft_nhdplusid,production_pick_rule,v1_draft_pick_rule,v1b_context,prod_eq_v1b,prod_eq_v1b_nhd,prod_eq_v1b_gis,v1b_changed_from_draft,audit_v1b_ratio_swat_vs_tda,audit_v1b_pct_diff_vs_tda,audit_v1b_ratio_swat_vs_orig_up,audit_prod_ratio_swat_vs_tda,audit_prod_pct_diff_vs_tda,notes,v1b_nhdplusid_p1b,v1b_pick_rule_p1b,v1_draft_context,prod_eq_draft,draft_eq_v1b,production_nhdplusid_p0,audit_v1b_usgs_site_no,audit_v1b_station_name,audit_v1b_nhdplusid_crosswalk,audit_v1b_crosswalk_snap_dist_m,audit_v1b_nhdplusid_gage_pick_500m,audit_v1b_crosswalk_eq_gage_pick,audit_v1b_nhd_gage_pick_rule,audit_v1b_swat_chandeg_km2,audit_v1b_nhd_local_areasqkm_km2,audit_v1b_nhd_totdasqkm_km2,audit_v1b_nhd_orig_upstream_catchment_sum_km2,audit_v1b_nhd_clean_upstream_catchment_sum_km2,audit_v1b_nhd_orig_upstream_waterbody_km2,audit_v1b_nhd_orig_upstream_n_reaches,audit_v1b_nhd_clean_upstream_n_reaches,audit_v1b_usgs_da_km2,audit_v1b_pct_diff_vs_local,audit_v1b_ratio_swat_vs_local,audit_v1b_pct_diff_vs_orig_up,audit_v1b_pct_diff_vs_clean_up,audit_v1b_ratio_swat_vs_clean_up,audit_prod_usgs_site_no,audit_prod_station_name,audit_prod_nhdplusid_crosswalk,audit_prod_crosswalk_snap_dist_m,audit_prod_nhdplusid_gage_pick_500m,audit_prod_crosswalk_eq_gage_pick,audit_prod_nhd_gage_pick_rule,audit_prod_swat_chandeg_km2,audit_prod_nhd_local_areasqkm_km2,audit_prod_nhd_totdasqkm_km2,audit_prod_nhd_orig_upstream_catchment_sum_km2,audit_prod_nhd_clean_upstream_catchment_sum_km2,audit_prod_nhd_orig_upstream_waterbody_km2,audit_prod_nhd_orig_upstream_n_reaches,audit_prod_nhd_clean_upstream_n_reaches,audit_prod_usgs_da_km2,audit_prod_pct_diff_vs_local,audit_prod_ratio_swat_vs_local,audit_prod_pct_diff_vs_orig_up,audit_prod_ratio_swat_vs_orig_up,audit_prod_pct_diff_vs_clean_up,audit_prod_ratio_swat_vs_clean_up
02293681,LAKE HAMILTON NEAR LAKE HAMILTON FL,53.094756261888,nwis_contrib_drain_area_km2,False,False,False,True,False,15000700011475,nhd_first_v1b_levelpath,lake_related,,558,True,78.53100002,3,336,Peace Creek Drainage Canal,1018,970.0,lake_outlet_replacement,15000700083706,1,True,123.13099995,126.9437013,1.0309645934130984,3.0964593413098465,lake_outlet_review,False,lake_outlet_manual_review,1018,15000700023411,da_distance,15000700023411,da_distance,nhd_first_distance_fallback,lake_related,False,False,True,True,,,,,,Mapped at downstream step 1 to NHD 15000700083706 (ref 15000700011475).,15000700011475,nhd_first_v1b_levelpath,lake_related,True,False,15000700023411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,150.219310399488,nwis_drain_area_km2,False,True,False,False,True,15000700023411,nhd_first_v1b_gnis,canal,Peace Creek Drainage Canal,336,False,78.53100002,3,336,Peace Creek Drainage Canal,1008,960.0,exact_crosswalk,15000700023411,0,True,78.53100002,9.8006307,0.1247995148094893,-87.52004851905106,canal_or_artificial_review,False,canal_or_artificial_manual_review,1008,15000700023411,da_distance,15000700023411,da_distance,nhd_first_canal_ftype,canal,True,True,True,False,0.1248,87.52,0.998,0.1248,87.52,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700023411,nhd_first_v1b_gnis,canal,True,True,15000700023411,02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,15000700023411.0,1.7,15000700023411.0,True,da_distance,9.8,0.8,78.53,9.82,9.82,0.0,5.0,5.0,392.56,1125.08,12.2508,0.2,0.2,0.998,02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,15000700023411.0,1.7,15000700023411.0,True,da_distance,9.8,0.8,78.53,9.82,9.82,0.0,5.0,5.0,392.56,1125.08,12.2508,0.2,0.998,0.2,0.998
02293986,PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL,414.39809765376,nwis_drain_area_km2,False,True,False,False,True,15000700071069,nhd_first_v1b_levelpath,canal,,460,False,0.14489998,1,460,,6643,5774.0,exact_crosswalk,15000700071069,0,True,0.14489998,0.1439671,0.9935619038732788,-0.6438096126721513,canal_or_artificial_review,False,canal_or_artificial_manual_review,6643,15000700011003,da_distance,15000700071069,da_distance,nhd_first_canal_ftype,canal,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700071069,nhd_first_v1b_levelpath,canal,False,True,15000700011003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,419.578073874432,nwis_drain_area_km2,False,True,False,False,True,15000700022809,nhd_first_v1b_gnis,canal,Peace Creek,558,True,386.91189983,4,558,Peace Creek,470,443.0,exact_crosswalk,15000700022809,0,True,386.91189983,404.8491684,1.046360085016463,4.6360085016463,canal_or_artificial_review,False,canal_or_artificial_manual_review,470,15000700022809,da_distance,15000700022809,da_distance,nhd_first_distance_fallback,canal,True,True,True,False,1.0464,4.64,1.0805,1.0464,4.64,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700022809,nhd_first_v1b_gnis,canal,True,True,15000700022809,02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,15000700022809.0,1.4,15000700022809.0,True,da_distance,404.85,1.37,386.91,374.7,367.05,51.64,371.0,365.0,593.05,29451.03,295.5103,8.05,10.3,1.103,02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,15000700022809.0,1.4,15000700022809.0,True,da_distance,404.85,1.37,386.91,374.7,367.05,51.64,371.0,365.0,593.05,29451.03,295.5103,8.05,1.0805,10.3,1.103
02294068,LULU LAKE OUTLET AT ELOISE FL,59.569726537728,nwis_drain_area_km2,False,False,True,True,False,15000700070958,nhd_first_v1b_levelpath,lake_outlet,,336,False,37.81499997,2,336,,1446,1361.0,exact_crosswalk,15000700070958,0,True,37.81499997,29.9786661,0.7927718134016436,-20.72281865983564,lake_outlet_review,False,lake_outlet_manual_review,1446,15000700047004,da_distance,15000700070958,da_distance,nhd_first_lake_outlet_nearest,lake_outlet,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700070958,nhd_first_v1b_levelpath,lake_outlet,False,True,15000700047004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294161,PEACE CREEK NEAR BARTOW FL,530.4295649968128,nwis_drain_area_km2,False,True,False,False,False,15000700010442,nhd_first_v1b_gnis,tributary,Peace Creek,558,True,503.90429993,4,558,Peace Creek,451,429.0,lake_outlet_replacement,15000700010307,1,True,503.90429993,590.6192902,1.1720862280437894,17.208622804378944,lake_outlet_review,False,lake_outlet_manual_review,451,15000700010307,da_distance,15000700010442,da_distance,nhd_first_tributary_local_gnis,tributary,False,False,True,False,1.1482,14.82,1.1482,1.1482,14.82,Mapped at downstream step 1 to NHD 15000700010307 (ref 15000700010442).,15000700010442,nhd_first_v1b_gnis,tributary,False,True,15000700010307,02294161,PEACE CREEK NEAR BARTOW FL,15000700010307.0,75.8,15000700010307.0,True,da_distance,590.62,4.8,514.37,514.37,506.32,68.86,504.0,496.0,593.05,12204.57,123.0457,14.82,16.65,1.1665,02294161,PEACE CREEK NEAR BARTOW FL,15000700010307.0,75.8,15000700010307.0,True,da_distance,590.62,4.8,514.37,514.37,506.32,68.86,504.0,496.0,593.05,12204.57,123.0457,14.82,1.1482,16.65,1.1665
02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,137.26936984780798,nwis_drain_area_km2,False,True,False,False,False,15000700057875,nhd_first_v1b_gnis,tributary,Saddle Creek,558,True,106.14489989,4,558,Saddle Creek,947,900.0,exact_crosswalk,15000700057875,0,True,106.14489989,120.7286672,1.1373948943860086,13.739489438600852,tributary_clean,True,calibration_ready,947,15000700057875,da_distance,15000700057875,da_distance,nhd_first_tributary_local_gnis,tributary,True,True,True,False,1.1374,13.74,1.1374,1.1374,13.74,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700057875,nhd_first_v1b_gnis,tributary,True,True,15000700057875,02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,15000700057875.0,123.7,15000700057875.0,True,da_distance,120.73,0.47,106.14,106.14,106.14,18.3,203.0,202.0,159.47,25586.95,256.8695,13.74,13.74,1.1374,02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,15000700057875.0,123.7,15000700057875.0,True,da_distance,120.73,0.47,106.14,106.14,106.14,18.3,203.0,202.0,159.47,25586.95,256.8695,13.74,1.1374,13.74,1.1374
02294260,LAKE PARKER OUTLET AT LAKELAND FL,159.4730888687525,wbd_upstream_hu12_area_sqkm,False,False,True,True,False,15000700021204,nhd_first_v1b_levelpath,lake_outlet,,558,True,50.03610001,3,558,,1392,1315.0,lake_outlet_replacement,15000700093457,1,True,50.03610001,61.0420657,1.2199605022733666,21.99605022733666,lake_outlet_review,False,lake_outlet_manual_review,1392,15000700093457,da_distance,15000700021204,da_distance,nhd_first_lake_wb_link,lake_outlet,False,False,True,False,1.1701,17.01,1.1701,1.1701,17.01,Mapped at downstream step 1 to NHD 15000700093457 (ref 15000700021204).,15000700021204,nhd_first_v1b_levelpath,lake_outlet,False,True,15000700093457,02294260,LAKE PARKER OUTLET AT LAKELAND FL,15000700093457.0,32.7,15000700093457.0,True,da_distance,61.04,2.14,52.17,52.17,52.17,14.06,114.0,114.0,159.47,2752.43,28.5243,17.01,17.01,1.1701,02294260,LAKE PARKER OUTLET AT LAKELAND FL,15000700093457.0,32.7,15000700093457.0,True,da_distance,61.04,2.14,52.17,52.17,52.17,14.06,114.0,114.0,159.47,2752.43,28.5243,17.01,1.1701,17.01,1.1701
02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,159.4730888687525,wbd_upstream_hu12_area_sqkm,False,False,True,True,False,15000700093457,nhd_first_v1b_levelpath,lake_outlet,,336,False,52.17359997,3,336,,1392,1315.0,exact_crosswalk,15000700093457,0,True,52.17359997,61.0420657,1.169979946469084,16.997994646908403,lake_outlet_review,False,lake_outlet_manual_review,1392,15000700070386,da_distance,15000700093457,da_distance,nhd_first_lake_outlet_nearest,lake_outlet,False,False,True,False,1.1701,17.01,1.1701,1.1701,17.01,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700093457,nhd_first_v1b_levelpath,lake_outlet,False,True,15000700070386,02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,15000700093457.0,32.7,15000700070386.0,False,da_distance,61.04,2.14,52.17,52.17,52.17,14.06,114.0,114.0,159.47,2752.43,28.5243,17.01,17.01,1.1701,02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,15000700093457.0,32.7,15000700070386.0,False,da_distance,61.04,2.14,52.17,52.17,52.17,14.06,114.0,114.0,159.47,2752.43,28.5243,17.01,1.1701,17.01,1.1701
02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,157.989274730496,nwis_drain_area_km2,False,True,False,False,False,15000700045993,nhd_first_v1b_gnis,tributary,Saddle Creek,558,True,135.26619994,4,558,Saddle Creek,770,733.0,lake_outlet_replacement,15000700045991,8,True,135.26619994,335.25871440000003,2.478510629770857,147.85106297708566,lake_outlet_review,False,lake_outlet_manual_review,770,15000700045993,da_distance,15000700045993,da_distance,nhd_first_tributary_local_gnis,tributary,True,True,True,False,,,,,,Mapped at downstream step 8 to NHD 15000700045991 (ref 15000700045993).,15000700045993,nhd_first_v1b_gnis,tributary,True,True,15000700045993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
