usgs_site_no,n_candidates_500m,assigned_gis_channel,assigned_chandeg_km2,assigned_nhd_totdasqkm,pct_assigned_vs_nhd_tda,usgs_da_km2,usgs_da_source,nhd_gage_pick_id,nhd_gage_pick_totdasqkm,nhd_gage_pick_rule,nhd_local_pick_id,nhd_local_pick_areasqkm,nhd_local_pick_rule,readme_match_rule,assigned_eq_nhd_gage_pick,distance_only_gis,distance_only_km2,distance_only_pct_vs_nhd,distance_only_rule,match_usgs_areac_gis,match_usgs_areac_km2,match_usgs_areac_pct_vs_nhd,match_usgs_areac_rule,min_areac_in_band_gis,min_areac_in_band_km2,min_areac_in_band_pct_vs_nhd,min_areac_in_band_rule,match_nhd_tda_at_crosswalk_gis,match_nhd_tda_at_crosswalk_km2,match_nhd_tda_at_crosswalk_pct_vs_nhd,match_nhd_tda_at_crosswalk_rule,nhd_gage_pick_gis_gis,nhd_gage_pick_gis_km2,nhd_gage_pick_gis_pct_vs_nhd,nhd_gage_pick_gis_rule,nhd_local_pick_gis_gis,nhd_local_pick_gis_km2,nhd_local_pick_gis_pct_vs_nhd,nhd_local_pick_gis_rule,best_alternate_strategy,best_alternate_pct_vs_nhd
02293681,2,965,132.4416161,128.90979999,2.7397576524623957,392.5603807388909,meta_drainage_area_sqkm,15000700083740,128.90979999,da_distance,15000700011475,3.7289000100000003,local_da_distance,da_distance,True,1018,126.94370129999999,2.8691348527180893,distance_only,990,132.0604201,2.748286290215228,match_usgs_areac,1018,126.94370129999999,2.8691348527180893,min_areac_in_band,990,132.0604201,2.748286290215228,match_nhd_tda_at_crosswalk,1018,126.94370129999999,2.8691348527180893,nhd_gage_pick_fallback_dist,1018,126.94370129999999,2.8691348527180893,nhd_local_pick_fallback_dist,,
02293694,1,1008,9.800630700000001,78.53100002,87.52004851905106,392.5603807388909,meta_drainage_area_sqkm,15000700023411,78.53100002,da_distance,15000700023411,0.79580003,local_da_distance,,True,1008,9.800630700000001,87.52004851905106,distance_only,1008,9.800630700000001,87.52004851905106,match_usgs_areac,1008,9.800630700000001,87.52004851905106,min_areac_in_band,1008,9.800630700000001,87.52004851905106,match_nhd_tda_at_crosswalk,1008,9.800630700000001,87.52004851905106,nhd_gage_pick_gis,1008,9.800630700000001,87.52004851905106,nhd_local_pick_gis,,
02293986,5,481,399.0714684,381.1186998,4.710545194822795,593.0547223889886,meta_drainage_area_sqkm,15000700011003,381.1186998,da_distance,15000700011003,1.0726,local_da_distance,da_distance,True,6075,0.14396710000000001,0.7807582054800939,distance_only,481,399.0714684,4.710545194822795,match_usgs_areac,7559,0.0534218,2.5149279251561762,min_areac_in_band,6643,0.14396710000000001,0.6438096126721322,match_nhd_tda_at_crosswalk,481,399.0714684,4.710545194822795,nhd_gage_pick_gis,481,399.0714684,4.710545194822795,nhd_local_pick_gis,,
02293987,2,470,404.8491684,386.91189983,4.6360085016463,593.0547223889886,meta_drainage_area_sqkm,15000700022809,386.91189983,da_distance,15000700034775,1.6366,local_da_distance,,True,9003,0.015392699999999999,5.566257668711676,distance_only,470,404.8491684,4.6360085016463,match_usgs_areac,9003,0.015392699999999999,5.566257668711676,min_areac_in_band,470,404.8491684,4.6360085016463,match_nhd_tda_at_crosswalk,470,404.8491684,4.6360085016463,nhd_gage_pick_gis,9003,0.015392699999999999,5.566257668711676,nhd_local_pick_fallback_dist,,
02294068,2,1415,30.8433744,38.68320001,20.266745274365427,82.82009317162974,meta_drainage_area_sqkm,15000700047004,38.68320001,da_distance,15000700047004,0.8682000400000001,local_da_distance,da_distance,True,1446,29.9786661,20.72281865983564,distance_only,1415,30.8433744,20.266745274365427,match_usgs_areac,1446,29.9786661,20.72281865983564,min_areac_in_band,1415,30.8433744,20.266745274365427,match_nhd_tda_at_crosswalk,1415,30.8433744,20.266745274365427,nhd_gage_pick_gis,1415,30.8433744,20.266745274365427,nhd_local_pick_gis,,
02294161,1,451,590.6192902,514.3665999,14.824580428594047,593.0547223889886,meta_drainage_area_sqkm,15000700010307,514.3665999,da_distance,15000700010442,9.27169997,local_da_distance,,True,4569,6.0266997,6.45246266454398,distance_only,4569,6.0266997,6.45246266454398,match_usgs_areac,4569,6.0266997,6.45246266454398,min_areac_in_band,4569,6.0266997,6.45246266454398,match_nhd_tda_at_crosswalk,4569,6.0266997,6.45246266454398,nhd_gage_pick_fallback_dist,4569,6.0266997,6.45246266454398,nhd_local_pick_fallback_dist,distance_only,6.45246266454398
02294217,4,947,120.7286672,106.14489989,13.739489438600852,159.4730888687525,meta_drainage_area_sqkm,15000700057875,106.14489989,da_distance,15000700057875,0.46919999,local_da_distance,da_distance,True,980,120.26326399999999,13.804085625933002,distance_only,947,120.7286672,13.739489438600852,match_usgs_areac,1037,120.20531499999998,13.807296518149927,min_areac_in_band,947,120.7286672,13.739489438600852,match_nhd_tda_at_crosswalk,947,120.7286672,13.739489438600852,nhd_gage_pick_gis,947,120.7286672,13.739489438600852,nhd_local_pick_gis,,
02294260,1,1392,61.0420657,52.17359997,16.997994646908403,159.4730888687525,meta_drainage_area_sqkm,15000700093457,52.17359997,da_distance,15000700093457,2.13749996,local_da_distance,,True,1392,61.0420657,16.997994646908403,distance_only,1392,61.0420657,16.997994646908403,match_usgs_areac,1392,61.0420657,16.997994646908403,min_areac_in_band,1392,61.0420657,16.997994646908403,match_nhd_tda_at_crosswalk,1392,61.0420657,16.997994646908403,nhd_gage_pick_gis,1392,61.0420657,16.997994646908403,nhd_local_pick_gis,,
02294261,2,1392,61.0420657,52.17359997,16.997994646908403,159.4730888687525,meta_drainage_area_sqkm,15000700070386,52.34249999,da_distance,15000700093457,2.13749996,local_da_distance,,False,1357,61.207763699999994,16.937027676732477,distance_only,1357,61.207763699999994,16.937027676732477,match_usgs_areac,1392,61.0420657,16.997994646908403,min_areac_in_band,1357,61.207763699999994,16.937027676732477,match_nhd_tda_at_crosswalk,1357,61.207763699999994,16.937027676732477,nhd_gage_pick_gis,1392,61.0420657,16.997994646908403,nhd_local_pick_gis,,
02294290,1,897,,,,159.4730888687525,meta_drainage_area_sqkm,15000700045993,135.26619994,da_distance,15000700045993,9.62180003,local_da_distance,,,8819,0.01,316.66666666666663,distance_only,8819,0.01,316.66666666666663,match_usgs_areac,8819,0.01,316.66666666666663,min_areac_in_band,8819,0.01,316.66666666666663,match_nhd_tda_at_crosswalk,8819,0.01,316.66666666666663,nhd_gage_pick_fallback_dist,8819,0.01,316.66666666666663,nhd_local_pick_fallback_dist,distance_only,316.66666666666663
