catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
05536265,0712/huc12/05536265,0712/huc12/05536265 (IL),05536265,"LANSING DITCH NEAR LANSING, IL",22.89549489537024,meta_csv,22000800110401,nhd_first_v1b_levelpath,canal,North Creek,336.0,False,25.0,25.0,exact_crosswalk,22000800110401.0,0,True,38.73580005,39.8630362,1.02910062909621,canal_or_artificial_review,False,25,True,
05536265,0712/huc12/05536265,0712/huc12/05536265 (IL),05536270,"NORTH CREEK NEAR LANSING, IL",43.5118002536448,meta_csv,22000800016909,nhd_first_v1b_gnis,tributary,North Creek,460.0,False,23.0,23.0,exact_crosswalk,22000800016909.0,0,True,42.71700009,43.8454004,1.0264157199153163,tributary_clean,True,16,False,
02297600,0310/huc12/02297600,0310/huc12/02297600 (FL),02297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,198.1594209755774,wbd_upstream_hu12_area_sqkm,15000700021819,nhd_first_v1b_gnis,tributary,Shell Creek,460.0,False,2.0,2.0,exact_crosswalk,15000700021819.0,0,True,153.71659989,165.60747909999998,1.0773558562868886,tributary_clean,True,2,True,
09471300,1505/huc12/09471300,1505/huc12/09471300 (AZ),09471300,HUACHUCA CAN NR FT HUACHUCA ARIZ,8.39156147748864,meta_csv,40000400092060,nhd_first_v1b_levelpath,mainstem,,,False,341.0,341.0,exact_crosswalk,40000400092060.0,0,True,9.07609999,9.0693005,0.9992508357105484,mainstem_clean,True,317,False,
09471300,1505/huc12/09471300,1505/huc12/09471300 (AZ),09471310,"HUACHUCA CANYON NEAR FORT HUACHUCA, AZ",10.54125160906752,meta_csv,40000400091923,nhd_first_v1b_levelpath,mainstem,,,False,295.0,295.0,exact_crosswalk,40000400091923.0,0,True,11.91249993,11.9014838,0.9990752461645556,mainstem_clean,True,295,True,
09471300,1505/huc12/09471300,1505/huc12/09471300 (AZ),09471380,"UPPER BABOCOMARI RIVER NEAR HUACHUCA CITY, AZ",408.4411249999872,meta_csv,40000400091991,nhd_first_v1b_levelpath,mainstem,,,False,13.0,13.0,exact_crosswalk,40000400091991.0,0,True,417.68049999,319.3918101,0.7646797255501437,mainstem_clean,True,12,False,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151400,"LITTLE KANAWHA RIVER NR WILDCAT, WV",290.07866835763195,meta_csv,24000300035280,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558.0,True,55.0,43.0,exact_crosswalk,24000300035280.0,0,True,290.58959998,253.6297181,0.8728107204024377,mainstem_clean,True,54,False,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151500,"L KANAWHA R NR BURNSVILLE, WV",401.44815710208,meta_csv,24000300006899,nhd_first_v1b_levelpath,mainstem,Little Kanawha River,558.0,True,35.0,35.0,lake_outlet_replacement,24000300025462.0,8,True,400.38569999,385.8086122,0.9635923865653442,lake_outlet_review,False,946,False,Mapped at downstream step 8 to NHD 24000300025462 (ref 24000300006899).
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151520,"LITTLE KANAWHA RIVER BELOW BURNSVILLE DAM, WV",422.168061984768,meta_csv,24000300025462,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558.0,True,35.0,35.0,exact_crosswalk,24000300025462.0,0,True,422.86229998,385.8086122,0.912374104331948,mainstem_clean,True,35,True,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151600,"LITTLE KANAWHA RIVER AT BURNSVILLE, WV",642.317051363328,meta_csv,24000300006361,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558.0,True,27.0,27.0,lake_outlet_replacement,24000300006219.0,1,True,643.46460013,593.9554031,0.9230583982087008,lake_outlet_review,False,27,True,Mapped at downstream step 1 to NHD 24000300006219 (ref 24000300006361).
