catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
01480095,0204/huc12/01480095,0204/huc12/01480095 (DE),01480095,"LITTLE MILL CREEK NEAR NEWPORT, DE",13.57153769816064,meta_csv,10000200600345,nhd_first_v1b_levelpath,tributary,,,False,9.0,9.0,downstream_replacement,10000200679267.0,1,True,15.17289995,17.3964377,1.1465466560332789,tributary_clean,True,10,False,Mapped at downstream step 1 to NHD 10000200679267 (ref 10000200600345).
01480095,0204/huc12/01480095,0204/huc12/01480095 (DE),01480100,"LITTLE MILL CREEK AT ELSMERE, DE",17.3529203392512,meta_csv,10000200679267,nhd_first_v1b_levelpath,tributary,,,False,9.0,9.0,exact_crosswalk,10000200679267.0,0,True,17.42909996,17.3964377,0.9981259927319852,tributary_clean,True,9,True,
10348850,1605/huc12/10348850,1605/huc12/10348850 (NV),10348850,"GALENA CK AT GALENA CK STATE PARK, NV",19.91700856848384,meta_csv,70000300027136,nhd_first_v1b_levelpath,mainstem,,,False,7.0,7.0,downstream_replacement,70000300035749.0,1,True,19.49980003,21.6739089,1.1114939059198137,mainstem_known_nhd_offset,True,8,False,Mapped at downstream step 1 to NHD 70000300035749 (ref 70000300027136).
10348850,1605/huc12/10348850,1605/huc12/10348850 (NV),10348900,"GALENA CK NR STEAMBOAT, NV",22.014898937856,meta_csv,70000300035749,nhd_first_v1b_levelpath,mainstem,,,False,7.0,7.0,exact_crosswalk,70000300035749.0,0,True,21.66960008,21.6739089,1.0001988416945442,mainstem_clean,True,7,True,
14013500,1707/huc12/14013500,1707/huc12/14013500 (WA),14013500,"BLUE CREEK NEAR WALLA WALLA, WA",44.029797875712,meta_csv,55000400101691,nhd_first_v1b_gnis,tributary,Blue Creek,460.0,False,4.0,4.0,exact_crosswalk,55000400101691.0,0,True,44.27619999,44.4024834,1.002852173628914,tributary_clean,True,2,False,
02239501,0308/huc12/02239501,0308/huc12/02239501 (FL),02239501,"SILVER RIVER NEAR OCALA, FL",53.37041654588924,meta_csv,15000300040713,nhd_first_v1b_levelpath,mainstem,,558.0,True,6.0,6.0,exact_crosswalk,15000300040713.0,0,True,34.92630009,35.298496799999995,1.010656631508087,mainstem_clean,True,5,False,
02239501,0308/huc12/02239501,0308/huc12/02239501 (FL),02239510,"SILVER RIVER NEAR CONNER, FL",53.37041654588924,meta_csv,15000300024889,nhd_first_v1b_gnis,mainstem,Silver River,558.0,True,,,missing,,1,False,51.63109997,,,exclude_from_auto_calibration,False,1,False,No chandeg.con channel for reference reach or downstream walk.
02239501,0308/huc12/02239501,0308/huc12/02239501 (FL),02239600,TRIBUTARY TO SILVER RIVER AT SH 40 NEAR OCALA FL,53.37041654588924,meta_csv,15000300040713,nhd_first_v1b_levelpath,mainstem,,558.0,True,6.0,6.0,exact_crosswalk,15000300040713.0,0,True,34.92630009,35.298496799999995,1.010656631508087,mainstem_clean,True,7,False,
02239501,0308/huc12/02239501,0308/huc12/02239501 (FL),02239601,"TRIBUTARY TO SILVER RIVER BL SH 40 NR OCALA, FL",53.37041654588924,meta_csv,15000300040713,nhd_first_v1b_levelpath,mainstem,,558.0,True,6.0,6.0,exact_crosswalk,15000300040713.0,0,True,34.92630009,35.298496799999995,1.010656631508087,mainstem_clean,True,7,False,
05536265,0712/huc12/05536265,0712/huc12/05536265 (IL),05536265,"LANSING DITCH NEAR LANSING, IL",22.89549489537024,meta_csv,22000800110401,nhd_first_v1b_levelpath,canal,North Creek,336.0,False,25.0,25.0,exact_crosswalk,22000800110401.0,0,True,38.73580005,39.8630362,1.02910062909621,canal_or_artificial_review,False,25,True,
05536265,0712/huc12/05536265,0712/huc12/05536265 (IL),05536270,"NORTH CREEK NEAR LANSING, IL",43.5118002536448,meta_csv,22000800016909,nhd_first_v1b_gnis,tributary,North Creek,460.0,False,23.0,23.0,exact_crosswalk,22000800016909.0,0,True,42.71700009,43.8454004,1.0264157199153163,tributary_clean,True,16,False,
