catalog_model_id,workspace_model_id,label,vpuid,n_stations,n_production_assigned,n_v3_assigned,n_same_gis,n_changed_gis,pct_unchanged,n_exact_crosswalk,n_downstream_replacement,n_lake_outlet_replacement,n_canal_or_artificial_review,n_lake_outlet_review,n_missing_output_channel,n_calibration_ready,n_review,n_exclude,median_swat_nhd_ratio_cal_ready,n_cal_outside_half_to_double,n_cal_outside_0_8_1_25
01012515,0101/usgs_station/01012515,0101/usgs_station/01012515 (ME),0101,3,3,3,1,2,33.3,1,1,1,0,1,0,2,1,0,10.591051953382726,1,1
01073587,0106/usgs_station/01073587,0106/usgs_station/01073587 (NH),0106,2,2,2,0,2,0.0,2,0,0,0,0,0,2,0,0,0.8032163194774445,0,1
01109090,0109/usgs_station/01109090,0109/usgs_station/01109090 (MA),0109,1,1,1,0,1,0.0,1,0,0,0,0,0,1,0,0,1.000656567249874,0,0
01115185,0109/usgs_station/01115185,0109/usgs_station/01115185 (RI),0109,4,4,4,1,3,25.0,4,0,0,0,0,0,4,0,0,1.0004197949873315,0,0
01126000,0110/usgs_station/01126000,0110/usgs_station/01126000 (CT),0110,1,1,1,0,1,0.0,1,0,0,0,0,0,1,0,0,1.0013730850558311,0,0
01443900,0204/usgs_station/01443900,0204/usgs_station/01443900 (NJ),0204,4,4,4,0,4,0.0,4,0,0,0,0,0,4,0,0,0.799998983465247,1,2
01451800,0204/usgs_station/01451800,0204/usgs_station/01451800 (PA),0204,2,2,1,0,2,0.0,1,0,0,0,0,1,1,0,1,0.9993353514404008,0,0
01480095,0204/usgs_station/01480095,0204/usgs_station/01480095 (DE),0204,2,2,2,1,1,50.0,1,1,0,0,0,0,2,0,0,1.072336324382632,0,0
01625900,0207/usgs_station/01625900,0207/usgs_station/01625900 (VA),0207,1,1,0,0,1,0.0,0,0,0,0,0,1,0,0,1,,0,0
02135501,0304/usgs_station/02135501,0304/usgs_station/02135501 (SC),0304,4,4,3,1,3,25.0,3,0,0,0,0,1,3,0,1,0.9992650256856012,0,0
02197598,0306/usgs_station/02197598,0306/usgs_station/02197598 (GA),0306,2,2,2,1,1,50.0,2,0,0,0,0,0,2,0,0,0.9995442062958844,0,0
02231396,0308/usgs_station/02231396,0308/usgs_station/02231396 (FL),0308,1,1,1,1,0,100.0,1,0,0,0,0,0,1,0,0,0.8154923718824616,0,0
02234990,0308/usgs_station/02234990,0308/usgs_station/02234990 (FL),0308,3,3,3,2,1,66.7,2,1,0,0,1,0,1,2,0,0.9887900367179554,0,0
02239501,0308/usgs_station/02239501,0308/usgs_station/02239501 (FL),0308,4,4,3,0,4,0.0,3,0,0,0,0,1,3,0,1,1.010656631508087,0,0
02294217,0310/usgs_station/02294217,0310/usgs_station/02294217 (FL),0310,9,9,8,8,1,88.9,7,0,1,5,2,1,1,7,1,1.2227666881263664,0,0
02294405,0310/usgs_station/02294405,0310/usgs_station/02294405 (FL),0310,12,12,12,8,4,66.7,10,0,2,6,4,0,2,10,0,1.1816869234612737,0,0
02294760,0310/usgs_station/02294760,0310/usgs_station/02294760 (FL),0310,2,2,2,2,0,100.0,2,0,0,0,0,0,2,0,0,0.7407657668330644,1,1
02297600,0310/usgs_station/02297600,0310/usgs_station/02297600 (FL),0310,1,1,1,1,0,100.0,1,0,0,0,0,0,1,0,0,1.0773558562868886,0,0
