confidence,intervals,legibility,output_tokens,pdf,prompt_tokens,seconds,status,swl_ft,total_depth_ft,usd
0.9,4,clear,294,OR_27529_CLAC,491,13.4,ok,38.0,42.0,0.00016669999999999999
0.9,4,clear,288,OR_296007_CROO,491,5.1,ok,15.0,40.0,0.0001643
0.9,4,clear,309,OR_306910_BAKE,749,8.3,ok,10.0,48.0,0.0001985
0.9,4,clear,279,OR_37017_CLAT,491,5.6,ok,7.0,487.0,0.0001607
0.9,4,clear,283,OR_371862_Coos,491,30.6,ok,27.0,51.0,0.0001623
,0,,,OR_41444_COLU,,,error,,,0
0.95,2,clear,193,OR_537153_CURR,491,11.0,ok,10.0,40.0,0.0001263
0.95,15,clear,914,OR_616741_COOS,1007,5.2,ok,27.0,39.83,0.0004663
0.9,7,clear,427,OR_62579_DESC,491,2.6,ok,20.0,40.0,0.00021990000000000003
0.9,3,clear,230,OR_9938_BENT,491,3.6,ok,32.0,40.0,0.00014110000000000001
