confidence,intervals,legibility,output_tokens,pdf,prompt_tokens,seconds,status,swl_ft,total_depth_ft,usd
0.95,4,clear,274,OR_27529_CLAC,491,11.2,ok,4,42,0.0008323
0.9,4,clear,193,OR_296007_CROO,491,6.3,ok,15,40,0.0006298
0.9,3,clear,234,OR_306910_BAKE,749,14.8,ok,10,48,0.0008097
0.9,4,clear,268,OR_37017_CLAT,491,246.5,ok,7,48,0.0008173
0.9,4,clear,262,OR_371862_Coos,491,9.4,ok,27,51,0.0008023000000000001
0.9,3,clear,155,OR_41444_COLU,491,5.1,ok,30,40,0.0005348
1.0,0,clear,74,OR_537153_CURR,491,8.0,ok,10,40,0.0003323
1,15,clear,858,OR_616741_COOS,1007,12.4,ok,27,39.83,0.0024471000000000002
1.0,7,clear,401,OR_62579_DESC,491,10.8,ok,20,40,0.0011497999999999999
0.9,3,clear,222,OR_9938_BENT,491,8.7,ok,32,40,0.0007023000000000001
