confidence,intervals,legibility,output_tokens,pdf,prompt_tokens,seconds,status,swl_ft,total_depth_ft,usd
0.95,6,clear,358,KS_109042,491,8.2,ok,34,125,0.0010423
0.95,9,clear,271,KS_39041,491,240.5,ok,8.5,63,0.0008247999999999999
0.9,2,clear,129,KS_393129,491,5.1,ok,,94.5,0.0004698
0.9,10,clear,392,KS_40913,491,8.7,ok,84,132,0.0011273
0.9,0,poor,75,KS_429666,491,6.7,ok,21.3,30.0,0.0003348
0.95,5,clear,329,KS_484630,491,5.3,ok,35,135,0.0009697999999999998
0.95,14,clear,845,KS_533606,1007,11.5,ok,246,440,0.0024146000000000003
1,8,clear,457,KS_537160,491,8.3,ok,107,242,0.0012898
0.95,17,clear,876,KS_9395,491,15.6,ok,4,129,0.0023373
0.95,3,clear,222,KS_94831,491,8.4,ok,10,40,0.0007023000000000001
1.0,6,clear,262,KS_sid=1292660817,491,6.5,ok,31,140,0.0008023000000000001
