wl_id,location_county,completed_depth,well_log_url
306910,BAKE,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=BAKE&wl_nbr=50846
9938,BENT,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=BENT&wl_nbr=7387
27529,CLAC,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=CLAC&wl_nbr=12473
37017,CLAT,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=CLAT&wl_nbr=225
41444,COLU,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=COLU&wl_nbr=3535
616741,COOS,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=COOS&wl_nbr=58636
296007,CROO,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=CROO&wl_nbr=1255
537153,CURR,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=CURR&wl_nbr=52815
371862,Coos,51.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=COOS&wl_nbr=53394
62579,DESC,40.0,https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=DESC&wl_nbr=8117
