row,col,obs_head_m
50,15,354.0712
51,16,354.424
50,37,373.3008
50,38,365.5096
51,38,378.3488
51,39,364.4992
50,39,366.852
51,40,388.044
51,41,370.232
52,41,346.66
53,40,363.1296
52,40,374.2528
54,41,381.568
53,42,377.2736
53,41,382.236
52,44,375.4656
51,42,405.2088
51,43,380.76
50,42,368.7288
50,43,380.0648
50,44,380.2568
51,45,372.332
53,45,383.9792
52,46,371.8456
51,46,377.904
51,48,367.236
52,49,371.3216
52,48,377.284
52,47,379.8936
54,47,378.6264
54,45,383.664
57,44,368.7664
56,47,360.328
57,47,361.9
57,48,368.568
58,48,371.6056
58,47,372.0816
61,47,371.1672
62,46,361.2152
63,47,364.424
64,48,383.568
64,49,369.852
69,57,375.0336
64,51,354.04
64,56,369.328
64,57,380.9
58,54,365.2736
58,53,350.852
58,51,368.616
58,50,372.8832
58,52,369.9584
55,53,372.236
54,53,371.5408
52,51,368.4072
52,50,361.664
52,53,373.808
51,53,373.8456
52,56,398.5512
52,54,373.2736
51,57,384.2944
52,59,392.38
50,52,361.568
47,49,383.5616
47,50,381.5616
48,51,378.952
45,50,376.3216
45,52,374.616
44,52,371.044
39,50,364.712
41,53,386.8456
42,53,375.4824
39,53,376.236
39,57,379.616
39,54,378.188
39,55,387.332
38,54,378.236
39,51,376.712
38,50,379.7224
34,53,378.3216
33,53,365.4824
31,50,371.8352
32,50,389.8184
32,51,371.472
30,50,391.856
30,52,373.568
30,53,366.0816
30,55,380.52
32,55,370.328
32,54,371.948
32,56,384.472
33,57,372.424
29,59,374.708
33,62,373.9168
33,61,369.28
31,61,386.756
32,60,377.424
31,60,374.5472
35,60,385.996
36,60,374.568
36,59,378.52
35,59,381.5576
37,60,379.044
37,59,387.8456
39,59,401.856
38,59,378.092
39,61,372.8624
39,63,378.7768
35,66,383.6016
35,65,373.2968
39,64,394.14
38,65,394.9208
25,65,375.608
26,63,372.56
26,62,379.8
27,60,383.7456
26,60,389.136
23,61,384.464
22,59,350.988
17,60,388.984
17,59,377.84
17,54,379.796
13,55,396.656
10,51,388.232
13,53,383.988
14,54,380.8064
13,52,364.656
20,51,382.184
20,50,383.3656
20,53,440.7704
19,53,370.7144
20,52,381.7352
19,58,401.56
20,55,380.6872
21,54,386.7624
26,56,385.424
26,55,385.6432
26,47,365.28
25,47,376.568
26,44,361.472
26,43,370.7016
26,42,368.188
28,40,363.1504
25,40,373.4176
26,41,373.712
19,41,377.4928
20,46,375.328
23,46,381.568
21,47,384.472
22,47,375.2424
20,49,385.4136
20,47,399.472
15,47,378.568
17,47,390.6056
12,47,376.28
13,48,379.04
11,47,385.376
9,47,372.424
10,48,376.9
7,47,362.088
8,40,377.236
14,35,373.9312
13,36,381.332
12,37,380.0272
12,38,382.332
13,37,376.76
11,37,369.236
12,34,372.9792
10,34,371.9896
8,33,375.332
7,31,370.4656
10,30,375.476
9,31,368.1608
12,31,369.9416
10,31,368.856
14,32,377.3424
15,34,373.188
16,34,377.8456
17,34,365.14
17,33,363.664
18,30,365.4344
20,31,372.4656
20,30,370.4448
19,31,369.8456
19,30,375.4824
21,30,368.5304
22,30,368.332
22,33,378.2088
21,33,366.8936
22,34,365.332
21,34,370.904
20,34,366.4176
19,34,374.5408
18,33,371.6368
19,36,370.4448
25,36,371.38
26,38,372.6848
26,33,365.6952
25,34,373.0
24,34,371.0752
23,34,371.856
23,33,362.7224
23,30,344.3488
26,30,368.0
28,34,365.0376
31,32,368.284
32,34,369.0648
32,32,359.3696
32,31,373.952
32,30,367.0752
33,30,367.428
38,30,366.4344
39,30,371.044
39,31,363.52
39,32,360.044
38,32,374.664
39,33,365.044
38,34,365.2736
32,38,358.236
31,37,371.6952
33,37,371.5136
32,36,362.76
32,35,369.236
29,41,364.9688
31,40,372.5888
30,40,368.5032
32,40,371.8936
33,40,377.3424
32,41,377.808
31,43,382.2632
33,44,374.808
30,46,372.3968
29,45,384.664
29,46,378.712
29,48,379.52
28,47,380.7392
33,49,390.092
32,46,365.0712
31,46,372.3968
35,46,375.1504
34,47,374.188
37,47,378.2736
39,48,370.4928
38,47,377.616
39,46,377.1504
39,45,375.6264
37,46,376.3592
37,45,372.3592
39,44,377.284
38,43,379.6368
34,40,377.428
38,41,370.7328
38,40,374.3424
44,47,372.6744
44,46,373.8936
46,46,378.952
45,46,377.9896
45,45,375.7328
45,47,381.1608
45,48,381.0272
45,49,379.2464
46,49,383.5136
48,46,381.428
48,45,366.664
49,44,378.9792
45,44,370.5408
45,43,375.332
45,41,375.188
45,42,365.6264
45,40,369.0168
46,40,366.7496
46,39,371.664
47,40,375.5408
47,39,374.664
48,39,376.8832
48,40,363.14
50,40,371.8624
49,40,364.616
49,38,379.5304
49,39,369.4928
48,38,366.9104
48,37,366.7392
47,37,368.2256
49,37,373.6536
45,34,360.568
45,35,364.4448
46,36,371.5784
46,38,376.4928
45,37,368.236
46,37,366.1024
47,38,376.712
45,39,371.3216
44,38,377.616
44,33,358.6912
42,34,365.3216
43,32,366.1296
45,30,362.996
45,31,368.3968
45,33,370.664
49,33,365.52
48,28,368.52
48,27,367.616
47,28,363.52
46,29,369.616
45,29,364.7016
45,28,360.6536
46,27,373.5888
46,28,356.568
45,27,356.4344
48,25,359.8936
49,25,357.9312
47,24,360.4176
49,22,357.2256
48,20,356.712
45,21,356.6744
46,22,351.14
46,24,367.0272
44,24,361.5888
43,23,358.616
41,21,361.856
40,21,355.856
40,23,364.808
42,23,363.38
41,23,363.3696
39,24,362.5032
39,26,369.856
43,25,356.8832
42,28,374.092
43,28,364.616
41,29,365.568
41,27,362.9584
40,28,365.3488
38,29,367.4344
37,28,366.7768
37,27,367.9584
38,27,370.3216
38,28,370.092
39,28,366.8352
39,27,367.0168
39,25,364.1504
38,26,365.092
34,25,364.0752
35,28,369.1024
34,28,366.5888
32,28,366.2088
32,29,365.332
29,28,359.1504
30,27,359.5032
32,26,369.76
33,27,363.0648
33,25,368.1984
33,24,364.5512
32,24,369.5032
32,23,366.952
32,22,357.952
31,23,356.0752
31,24,365.4552
30,24,362.236
28,23,358.3424
30,23,354.7224
31,20,353.712
32,21,341.568
34,24,365.8852
36,23,360.284
35,23,362.7704
37,23,360.712
38,23,357.1024
38,24,367.808
39,23,358.284
39,22,364.904
38,20,360.904
39,20,366.3424
38,18,359.7704
39,15,358.4176
38,15,365.2568
37,15,359.0272
29,15,364.284
30,15,355.76
31,17,349.8456
32,17,347.7976
32,13,354.1504
31,15,355.6744
32,11,352.3424
31,11,343.9312
32,12,346.76
35,15,357.76
36,15,370.476
36,14,343.568
36,13,363.0272
37,13,358.808
38,13,361.856
37,14,361.38
37,12,359.2464
43,15,382.0752
40,14,347.616
40,15,360.2464
41,15,357.236
42,15,370.2464
45,19,353.236
45,18,360.808
44,17,353.9688
45,16,357.092
47,15,364.4928
48,15,372.3696
29,4,323.948
31,3,354.38
32,4,332.7976
31,4,335.8832
31,5,352.1712
33,3,330.76
33,2,333.5616
32,2,329.3696
32,3,339.808
34,2,338.3696
35,3,336.0168
34,4,324.9312
35,7,356.4656
35,8,353.332
36,7,339.9312
35,6,345.1984
37,7,347.236
37,8,358.0272
36,9,351.38
37,9,358.284
34,9,343.3696
31,9,348.712
32,9,347.428
31,8,351.6368
32,8,344.904
33,9,350.904
32,5,335.5992
32,6,337.284
31,6,347.38
30,9,352.284
26,9,352.8664
25,6,347.1504
25,5,359.76
24,6,347.3696
25,8,347.904
25,9,348.6472
25,10,354.5616
21,9,357.5136
21,8,351.3592
20,9,359.76
18,10,352.616
17,9,352.52
19,8,355.9208
18,5,353.092
24,5,350.616
25,4,343.1296
26,3,343.3488
26,5,348.4824
16,8,354.044
15,9,353.9584
15,10,356.2736
14,10,352.7016
13,9,356.7392
14,8,361.4824
13,8,350.2256
8,17,360.9792
9,18,364.2464
12,15,362.0168
12,16,358.712
14,15,362.76
13,16,360.5408
13,17,358.5784
12,17,361.76
12,18,358.808
16,15,362.2944
16,13,354.8456
15,15,361.76
15,14,361.5408
17,10,357.14
17,15,350.284
21,15,356.428
22,10,353.7328
23,11,349.5616
25,11,350.284
26,12,358.3696
28,15,357.3968
27,15,368.0648
26,15,355.8352
25,15,359.6264
25,14,349.3216
25,13,353.14
24,15,355.1608
26,16,365.2088
22,19,355.568
21,19,347.616
21,18,343.092
22,18,361.664
19,16,355.0376
20,15,350.1608
18,16,352.9896
18,15,355.5136
18,23,361.0272
18,24,372.5136
19,23,366.856
21,23,350.76
25,21,360.5992
25,20,354.5512
27,22,359.5992
24,23,361.904
26,25,350.4176
27,25,361.6848
25,28,366.0
27,28,370.3424
26,29,368.3904
24,29,363.5616
23,27,363.0856
20,28,364.6848
22,28,362.5136
22,27,361.428
17,28,370.616
16,28,373.664
16,24,371.5512
15,23,360.8456
13,23,366.1608
12,24,368.904
9,25,360.808
9,27,366.332
10,27,368.5616
9,29,368.7328
3,31,373.1232
6,34,360.664
4,34,371.52
4,33,370.52
4,38,362.66
5,37,378.184
4,40,375.088
5,40,379.232
5,41,377.852
3,44,380.328
4,48,369.0984
5,46,382.2904
