reach,q_m3d,baseflow_m3d
1,-0.19488560175600655,0.19488560175600655
2,1.9089793828926527,-1.9089793828926527
3,1.7707183407874094,-1.7707183407874094
4,1.9814854400791373,-1.9814854400791373
6,2.2360782114323903,-2.2360782114323903
9,6.105045489864941,-6.105045489864941
10,1.2049809696291578,-1.2049809696291578
11,2.799999393516238,-2.799999393516238
12,0.6096,-0.6096
13,1.2192,-1.2192
14,1.2192,-1.2192
15,0.6096,-0.6096
17,0.6096,-0.6096
18,4.8768,-4.8768
19,4.71570699488346,-4.71570699488346
20,6.096,-6.096
21,4.8768,-4.8768
22,2.348054946777364,-2.348054946777364
24,0.6096,-0.6096
25,0.6096,-0.6096
26,0.6096,-0.6096
27,2.6450144932973814,-2.6450144932973814
28,0.6096,-0.6096
29,0.6096,-0.6096
30,0.6096,-0.6096
31,1.2192,-1.2192
33,1.8288000000000002,-1.8288000000000002
34,0.6096,-0.6096
35,0.6096,-0.6096
36,7.315200000000001,-7.315200000000001
37,0.6096,-0.6096
38,2.2169279481077178,-2.2169279481077178
40,0.4054237218923138,-0.4054237218923138
42,0.6096,-0.6096
43,1.2192,-1.2192
45,0.6096,-0.6096
46,2.4384,-2.4384
52,0.6096,-0.6096
53,0.6096,-0.6096
54,2.9910513785141117,-2.9910513785141117
57,0.6096,-0.6096
59,4.2672,-4.2672
60,1.8288000000000002,-1.8288000000000002
61,0.6096,-0.6096
62,0.6096,-0.6096
63,0.6096,-0.6096
64,0.6096,-0.6096
65,0.6096,-0.6096
66,1.2192,-1.2192
67,0.3252446984899254,-0.3252446984899254
68,0.6096,-0.6096
69,0.6096,-0.6096
71,1.2192,-1.2192
72,0.6096,-0.6096
73,0.6096,-0.6096
75,0.6096,-0.6096
76,8.5344,-8.5344
77,0.6096,-0.6096
79,1.2192,-1.2192
81,1.8288000000000002,-1.8288000000000002
83,0.6096,-0.6096
85,2.4384,-2.4384
86,0.6096,-0.6096
87,1.8288000000000002,-1.8288000000000002
88,1.2192,-1.2192
89,1.2192,-1.2192
91,1.4224453728064401,-1.4224453728064401
92,0.6096,-0.6096
94,3.048,-3.048
95,0.6096,-0.6096
97,2.4384,-2.4384
98,0.6096,-0.6096
99,1.2192,-1.2192
101,1.2192,-1.2192
102,1.2192,-1.2192
103,0.6096,-0.6096
106,0.6096,-0.6096
107,0.6096,-0.6096
108,1.2192,-1.2192
109,1.8288000000000002,-1.8288000000000002
110,0.6096,-0.6096
112,1.2192,-1.2192
115,0.6096,-0.6096
118,1.2192,-1.2192
119,1.2192,-1.2192
122,1.2192,-1.2192
123,0.6096,-0.6096
124,0.6096,-0.6096
125,1.8288000000000002,-1.8288000000000002
129,1.2192,-1.2192
131,0.6096,-0.6096
132,0.6096,-0.6096
135,0.6096,-0.6096
136,0.6096,-0.6096
137,0.6096,-0.6096
138,1.6098376788756819,-1.6098376788756819
141,0.6096,-0.6096
142,1.2192,-1.2192
143,2.4384,-2.4384
144,0.6096,-0.6096
145,0.6096,-0.6096
146,1.8288000000000002,-1.8288000000000002
148,1.2192,-1.2192
150,2.699187348382771,-2.699187348382771
152,3.6576000000000004,-3.6576000000000004
153,0.6096,-0.6096
154,1.8288000000000002,-1.8288000000000002
156,0.6096,-0.6096
157,0.6096,-0.6096
158,1.2192,-1.2192
159,0.6096,-0.6096
161,0.6096,-0.6096
163,0.6096,-0.6096
164,2.4384,-2.4384
165,0.6096,-0.6096
166,0.6096,-0.6096
167,0.6096,-0.6096
168,0.6096,-0.6096
169,1.8288000000000002,-1.8288000000000002
170,1.8288000000000002,-1.8288000000000002
171,0.6096,-0.6096
172,0.6096,-0.6096
173,0.6096,-0.6096
174,0.6096,-0.6096
175,1.8288000000000002,-1.8288000000000002
176,1.2135026999748928,-1.2135026999748928
177,1.2192,-1.2192
178,6.7056000000000004,-6.7056000000000004
179,0.6096,-0.6096
180,0.6096,-0.6096
181,5.486400000000001,-5.486400000000001
182,0.6096,-0.6096
183,2.4384,-2.4384
184,0.6096,-0.6096
185,1.2192,-1.2192
186,1.2192,-1.2192
187,1.2192,-1.2192
188,1.8288000000000002,-1.8288000000000002
189,1.8288000000000002,-1.8288000000000002
190,1.2192,-1.2192
191,1.2192,-1.2192
192,1.8288000000000002,-1.8288000000000002
193,0.6096,-0.6096
194,1.2192,-1.2192
195,0.6096,-0.6096
196,1.2192,-1.2192
197,1.2192,-1.2192
198,1.8288000000000002,-1.8288000000000002
199,0.6096,-0.6096
200,0.6096,-0.6096
201,0.6096,-0.6096
202,0.6096,-0.6096
203,1.8288000000000002,-1.8288000000000002
204,0.6096,-0.6096
205,1.8288000000000002,-1.8288000000000002
206,0.6096,-0.6096
207,1.8288000000000002,-1.8288000000000002
208,1.2192,-1.2192
209,2.4384,-2.4384
210,1.8288000000000002,-1.8288000000000002
212,0.6096,-0.6096
213,0.6096,-0.6096
214,0.6096,-0.6096
215,0.6096,-0.6096
216,0.6096,-0.6096
217,1.2192,-1.2192
218,5.486400000000001,-5.486400000000001
219,2.4384,-2.4384
220,1.2192,-1.2192
221,0.6096,-0.6096
222,0.6096,-0.6096
