row,col,q_m3d,reach
2,32,0.6096,122
2,33,0.6096,174
3,31,0.6096,122
8,40,0.6096,25
8,41,0.6096,34
8,42,0.6096,52
8,43,0.6096,69
8,44,0.6096,97
8,45,0.6096,109
8,46,0.6096,109
9,43,0.6096,97
9,44,0.6096,97
9,45,0.6096,97
9,46,0.6096,109
9,47,0.6096,132
9,49,0.6096,106
10,28,0.6096,164
10,44,0.6096,26
10,45,0.6096,72
10,46,0.6096,110
10,48,0.6096,182
10,49,0.6096,195
11,25,0.6096,164
11,26,0.6096,164
11,27,0.6096,164
11,46,0.6096,161
11,47,0.6096,179
12,24,0.6096,136
12,28,0.6096,81
12,29,0.6096,81
13,13,0.6096,210
13,23,0.6096,68
13,29,0.6096,81
13,30,0.6096,88
13,31,0.6096,88
14,9,0.6096,199
14,10,0.6096,145
14,13,0.6096,210
14,14,0.6096,210
14,21,0.6096,46
14,22,0.6096,46
14,23,0.6096,61
14,31,0.6096,190
14,32,0.6096,190
15,10,0.6096,221
15,11,0.6096,112
15,12,0.6096,214
15,13,0.6096,125
15,14,0.6096,131
15,19,0.6096,215
15,20,0.6096,154
15,21,0.6096,46
16,9,0.6096,207
16,10,0.6096,207
16,11,0.6096,112
16,12,0.6096,125
16,13,0.6096,125
16,19,0.6096,154
16,20,0.6096,154
16,21,0.6096,46
17,10,0.6096,207
17,11,0.6096,153
17,12,0.6096,57
17,20,0.6096,38
17,29,0.6096,123
17,30,0.6096,184
18,11,0.6096,173
18,12,0.6096,43
18,20,0.6096,38
18,27,0.6096,79
18,28,0.6096,222
18,29,0.6096,87
19,12,0.6096,43
19,13,0.6096,35
19,15,0.2899993472820724,27
19,16,0.4693191325815362,27
19,17,0.1229485132096078,27
19,18,0.6096,37
19,19,0.3881279481077179,38
19,20,0.6096,38
19,27,0.6096,79
19,28,0.6096,87
19,29,0.6096,87
19,32,0.6096,103
19,33,0.6096,75
20,13,0.6096,29
20,14,0.49239852954845115,27
20,15,0.6096,27
20,17,0.39329340934694035,27
20,18,0.2674555613287734,27
20,30,0.6096,185
20,31,0.6096,185
20,33,0.6096,53
21,6,0.6096,218
21,7,0.6096,218
21,13,0.6096,24
21,33,0.6096,45
22,6,0.6096,218
22,11,0.6096,6
22,12,-0.00569730002510737,176
22,13,0.6096,9
22,14,0.6096,9
22,32,0.6096,31
23,6,0.6096,218
23,11,-0.20232178856761,6
23,12,0.6096,176
23,13,0.6096,176
23,14,0.43383791186941784,9
23,15,0.6096,9
23,16,0.6096,9
23,24,0.41346282500543596,19
23,25,0.28428048270741174,19
23,32,0.6096,31
23,33,0.6096,192
23,34,0.6096,192
23,41,0.6096,178
23,57,0.6096,159
23,58,0.6096,200
24,6,0.6096,218
24,10,0.6096,6
24,11,0.6096,6
24,15,0.6096,9
24,16,0.6096,9
24,17,-0.1059901525580594,9
24,18,0.6096,9
24,24,0.4149642805959073,19
24,25,0.2827043958998181,19
24,26,0.4257924050085049,19
24,27,0.27712914711701536,22
24,28,0.39694791708121113,22
24,32,0.6096,30
24,33,0.6096,192
24,34,0.6096,175
24,41,0.6096,178
24,57,0.6096,124
25,6,0.6096,218
25,7,0.6096,218
25,9,0.15268544007913704,4
25,10,0.6096,6
25,18,0.6096,9
25,19,0.6096,9
25,24,0.4147116137639447,19
25,25,0.280925663578143,19
25,27,0.6096,150
25,28,0.6096,22
25,29,0.5067666302265392,22
25,30,0.33819583523698127,22
25,31,0.21941541711561713,22
25,32,0.3252446984899254,67
25,33,0.6096,175
25,34,0.6096,175
25,40,0.6096,178
25,41,0.6096,178
25,57,0.6096,95
25,58,0.6096,65
26,6,0.6096,218
26,7,0.6096,218
26,8,0.6096,4
26,9,0.6096,4
26,19,0.2907977305535822,9
26,20,0.6096,10
26,22,0.4170506194030608,19
26,23,0.5626147089212336,19
26,24,0.6096,19
26,27,0.2607873483827707,150
26,32,0.6096,91
26,33,0.21533205927802815,91
26,38,0.6096,178
26,39,0.6096,178
26,40,0.6096,178
27,4,0.6096,129
27,5,0.6096,172
27,7,0.6096,3
27,8,0.6096,4
27,20,0.20052602652710314,40
27,21,0.5953809696291579,10
27,22,0.6096,19
27,28,0.6096,150
27,29,0.6096,150
27,33,0.19593993127512432,91
27,38,0.6096,178
28,4,0.6096,129
28,7,0.6096,3
28,19,0.6096,166
28,20,0.20489769536521063,40
28,22,0.42209919190305795,11
28,23,0.5491002016131797,11
28,24,0.6096,11
28,30,0.6096,150
28,33,0.40157338225328754,91
28,38,0.6096,178
29,4,0.6096,86
29,5,0.038060156044022506,3
29,6,-0.09614181525661325,3
29,7,0.6096,3
29,20,0.4517829205872188,54
29,21,0.08941935931933308,54
29,24,0.6096,11
29,25,0.6096,11
29,26,0.6096,12
29,27,0.6096,169
29,30,0.6096,188
29,31,0.6096,188
29,33,0.6096,220
29,34,0.2515192427029701,138
29,35,0.16490077736105455,138
29,38,0.6096,178
30,4,0.6096,2
30,5,0.6096,2
30,21,0.6096,54
30,22,0.6096,54
30,25,0.6096,177
30,26,0.6096,13
30,27,0.6096,169
30,28,0.6096,169
30,31,0.6096,188
30,33,0.6096,220
30,35,0.336669142426886,138
30,36,0.24714851638477123,138
30,37,0.6096,178
31,4,0.6096,2
31,5,0.6096,2
31,11,0.6096,99
31,12,0.6096,107
31,13,0.6096,146
31,14,0.6096,146
31,22,0.6096,54
31,25,0.6096,177
31,26,0.6096,13
31,27,0.6096,186
31,28,0.6096,186
31,30,0.6096,198
31,31,0.6096,198
31,36,0.6096,138
31,37,0.6096,191
32,4,0.6096,2
32,5,-0.44109487770469047,2
32,7,0.6096,59
32,8,0.6096,59
32,9,0.6096,59
32,10,0.6096,59
32,11,0.6096,99
32,14,0.6096,146
32,15,0.6096,167
32,22,0.33159670074688097,54
32,27,0.6096,14
32,28,0.6096,14
32,29,0.6096,198
32,37,0.6096,191
33,1,-0.897343519603339,1
33,2,-1.0067368394812368,1
33,3,0.6096,1
33,5,-0.697925739402657,2
33,6,0.6096,59
33,7,0.6096,59
33,8,0.6096,59
33,21,0.6096,64
33,22,0.28945239786067894,54
33,28,0.6096,15
33,29,0.6096,17
33,30,0.6096,18
33,31,0.6096,18
33,63,0.6096,219
33,64,0.6096,219
34,2,0.6096,1
34,3,-0.8998372930043715,1
34,5,-0.43896794966705927,1
34,6,0.6096,89
34,21,0.6096,66
34,30,0.6096,204
34,31,0.6096,18
34,32,0.6096,18
34,33,0.6096,18
34,34,0.6096,18
34,62,0.6096,219
34,63,0.6096,219
35,3,0.6096,1
35,4,0.6096,1
35,5,0.6096,1
35,6,0.6096,89
35,17,0.6096,206
35,20,0.6096,85
35,21,0.6096,66
35,34,0.6096,18
35,62,0.6096,135
35,63,0.6096,83
36,6,0.6096,102
36,7,0.6096,102
36,8,0.6096,141
36,9,0.6096,196
36,10,0.6096,196
36,17,0.6096,158
36,18,0.6096,158
36,19,0.6096,85
36,20,0.6096,85
36,21,0.6096,152
36,34,0.6096,18
36,35,0.6096,20
36,36,0.6096,20
36,51,0.6096,180
36,63,0.6096,77
37,17,0.6096,142
37,18,0.6096,118
37,19,0.6096,85
37,20,0.6096,152
37,35,0.6096,137
37,36,0.6096,20
37,37,0.6096,20
37,51,0.6096,216
37,63,0.6096,148
38,13,0.6096,205
38,14,0.6096,205
38,15,0.6096,205
38,16,0.6096,142
38,17,0.6096,144
38,18,0.6096,118
38,20,0.6096,152
38,21,0.6096,152
38,34,0.6096,202
38,37,0.6096,20
38,38,0.6096,20
38,51,0.6096,92
38,52,0.6096,181
38,53,0.6096,181
38,54,0.6096,181
38,55,0.6096,181
38,56,0.6096,181
38,57,0.6096,181
38,58,0.6096,181
38,59,0.6096,181
38,60,0.6096,181
38,64,0.6096,148
38,65,0.6096,171
39,16,0.6096,217
39,17,0.6096,217
39,18,0.6096,165
39,21,0.6096,152
39,38,0.6096,20
39,39,0.6096,20
39,50,0.6096,42
39,51,0.6096,62
40,20,0.6096,194
40,21,0.6096,152
40,40,0.6096,20
40,48,0.6096,33
40,49,0.6096,33
41,15,0.6096,156
41,20,0.6096,194
41,21,0.6096,208
41,22,0.6096,208
41,40,0.6096,20
41,41,0.6096,36
41,42,0.6096,21
41,43,0.6096,21
41,44,0.6096,21
41,45,0.6096,21
