channel,q_gw2stream_m3d
1,6936.890179460583
2,1118.9262403436119
3,11.785126554661545
4,2347.133095693309
5,-433.9996117717636
6,2235.8328809117475
7,517.3552553699603
8,762.7274792540383
9,-701.631615966777
10,-185.51663193736326
11,35.42585521202329
12,-312.90449741859914
13,52.53068702648994
14,42.84080487738248
15,-479.90580835380786
16,6.190206009715406
17,30.86893065238239
18,1962.2846997221768
19,3317.841926641458
20,4024.3905240000504
21,2288.047758936924
22,3125.507964927861
24,-917.1088856844373
27,4842.8701843510735
28,300.72705035163824
29,0.0
30,719.2264753770883
31,10.180875482668496
33,1762.465742385985
35,0.0
36,2838.726824810752
37,-224.44446564024037
38,1601.5259904394013
40,746.3765455318073
42,23.595032190434342
43,0.0
45,-14.006546393293066
46,300.8085792976265
47,98.44277124587047
49,16.34354460161581
51,0.0
53,10.568727785250296
54,1830.1268159071983
55,6.2124269585328005
57,0.0
61,0.0
62,-69.75078473545821
63,-146.5181480330068
64,12.888062855014432
66,578.3822414977155
67,977.5608056897703
68,0.0
70,107.3142508571525
73,-34.7790649497473
75,0.4792240171019345
76,2338.2605949146405
77,0.0
79,0.0
80,0.0
84,-27.95317587268613
85,87.67308019945942
87,0.0
89,0.0
90,0.0
91,2784.02194751567
92,273.44175529626546
93,0.0
94,0.0
96,0.0
103,0.0
104,0.0
108,0.0
112,0.0
114,99.77605790765055
117,62.877570925189765
118,0.0
119,70.83416949875794
121,55.807633319120164
125,0.0
128,195.2785063123204
136,0.0
138,3507.936779856659
143,0.0
144,0.0
151,0.0
152,626.5874801214577
155,0.0
157,0.0
162,23.375741000486787
164,0.0
178,2007.0296797387105
181,0.0
185,0.0
194,89.69159709024134
208,69.55437629458766
