,111
drn,-0.10665
ghb,-1.48107
kv,0.258557
pp_0000,-0.603088
pp_0001,0.0812379
pp_0002,-0.0683266
pp_0003,0.772181
pp_0004,-0.192124
pp_0005,-0.8
pp_0006,0.725548
pp_0007,-0.391495
pp_0008,0.0980881
pp_0009,0.744478
pp_0010,0.124468
pp_0011,0.0260656
pp_0012,-0.697596
pp_0013,0.086072
pp_0014,0.759378
pp_0015,0.342252
pp_0016,0.448941
pp_0017,0.20297
pp_0018,-0.464728
pp_0019,0.735095
pp_0020,0.270584
pp_0021,-0.00750154
pp_0022,-0.356855
pp_0023,0.8
pp_0024,-0.744872
pp_0025,-0.0642342
pp_0026,-0.481972
pp_0027,-0.593176
pp_0028,-0.225131
pp_0029,-0.8
pp_0030,-0.8
pp_0031,0.687361
pp_0032,-0.206816
pp_0033,0.00923705
pp_0034,0.496639
pp_0035,-0.735276
pp_0036,-0.358119
pp_0037,0.798912
pp_0038,0.662916
pp_0039,-0.235721
pp_0040,-0.183765
pp_0041,-0.755298
pp_0042,0.48548
pp_0043,0.351196
pp_0044,0.112015
pp_0045,-0.0322791
pp_0046,0.156518
pp_0047,-0.790976
pp_0048,-0.278503
pp_0049,0.768501
pp_0050,0.684876
pp_0051,0.39533
pp_0052,-0.551362
pp_0053,-0.708864
pp_0054,-0.251905
pp_0055,-0.344885
pp_0056,0.252312
pp_0057,-0.698218
pp_0058,-0.706551
pp_0059,-0.0991356
pp_0060,0.797699
pp_0061,0.72729
pp_0062,-0.537242
pp_0063,0.366826
pp_0064,0.683312
pp_0065,-0.787675
pp_0066,-0.477554
pp_0067,0.42332
pp_0068,0.0610019
pp_0069,0.448926
pp_0070,-0.0414111
pp_0071,-0.633742
pp_0072,-0.438766
pp_0073,-0.274773
pp_0074,0.292794
pp_0075,-0.0964093
pp_0076,0.609464
pp_0077,0.358152
pp_0078,0.0889078
pp_0079,0.447789
pp_0080,0.178694
pp_0081,-0.0234903
pp_0082,0.0775258
pp_0083,0.636785
pp_0084,0.383988
pp_0085,0.52002
pp_0086,0.285837
pp_0087,-0.414457
pp_0088,0.8
pp_0089,0.202069
pp_0090,-0.199011
pp_0091,0.0300942
pp_0092,-0.205277
pp_0093,0.647404
pp_0094,-0.331443
pp_0095,-0.0297924
pp_0096,0.616372
pp_0097,-0.311234
pp_0098,-0.500004
pp_0099,-0.435456
pp_0100,0.8
pp_0101,0.369802
pp_0102,0.720128
pp_0103,-0.12366
pp_0104,-0.480445
pp_0105,0.8
pp_0106,-0.0559343
pp_0107,0.79599
pp_0108,0.138158
pp_0109,-0.0531573
pp_0110,-0.717276
pp_0111,0.362472
pump,-1.35739
rch,0.282459
riv,-0.145708
st_g0,0.408556
st_g1,7.34379
st_g2,4.36123
st_g3,3.61877
