reach,row,col,Channel,d,gwf_q_m3d,gain_m3d,c_PFOS,load_PFOS,c_PFOA,load_PFOA,c_PFHxS,load_PFHxS,c_PFBS,load_PFBS,c_PFHxA,load_PFHxA
0,31,41,85,116.7222667053814,92.55082012812302,92.55082012812302,0.9999719969875381,0.03378010337561907,0.9996724561166251,0.03376998457067739,0.9996335883181543,0.03376867157565924,0.9990826779199771,0.03375006124431277,0.9956928979157226,0.03363555091871437
1,100,57,128,117.06716405001823,-0.0,-0.0,0.9998672841455032,-0.0,0.9989518792488787,-0.0,0.9988398475674933,-0.0,0.9972721200226002,-0.0,0.9874569557324732,-0.0
2,67,80,136,74.9025454406043,-0.0,-0.0,0.9999672836613034,-0.0,0.9996181730723974,-0.0,0.9995723887572603,-0.0,0.9989136710488717,-0.0,0.9945982959349642,-0.0
3,121,52,413,40.29540514865177,-0.0,-0.0,0.9998230467009991,-0.0,0.9979355027921897,-0.0,0.997694169547992,-0.0,0.9943174659046771,-0.0,0.9747510544579743,-0.0
4,139,96,145,58.06923493592812,-0.0,-0.0,0.9997808201464999,-0.0,0.9976960814822995,-0.0,0.9974371111649071,-0.0,0.9938667641999097,-0.0,0.971811482490288,-0.0
5,35,31,399,69.61992423277677,1351.793576374571,1351.793576374571,0.9999565261080148,0.4933832051560256,0.999511105797994,0.493163432701462,0.9994531536956365,0.49313483886436993,0.99862519904106,0.49272632218336104,0.9935238881601619,0.490209311646202
6,107,49,194,109.62922666265013,172.56114973956394,172.56114973956394,0.999379255146222,0.06294572215227391,0.9962255453104651,0.06274708630702475,0.9958898764098404,0.06272594426185513,0.9914927843152279,0.06244899420926979,0.9707976381301971,0.06114551415907298
7,23,48,183,114.71431802115364,-0.0,-0.0,0.9998964475745039,-0.0,0.9990825255763378,-0.0,0.9989821576101695,-0.0,0.9975694575569576,-0.0,0.9885405052923902,-0.0
8,77,93,245,32.77499392237507,-0.0,-0.0,0.999961657115548,-0.0,0.9995686955071297,-0.0,0.9995169643666681,-0.0,0.9987726468681732,-0.0,0.993960173014345,-0.0
9,70,57,450,18.0666938674136,392.2805479168461,392.2805479168461,0.9998481759032936,0.14316066145110615,0.9981382335209543,0.14291582779695877,0.9979006478306683,0.14288180970762046,0.9944076087996829,0.14238166799590643,0.9729290032223352,0.13930630970091074
10,42,49,206,116.71992833014671,308.39626126411343,308.39626126411343,0.9999460449741245,0.11255856193358782,0.9993973485862317,0.11249679812476054,0.9993248070465719,0.11248863251280018,0.9982720301545133,0.11237012706582869,0.9905388149201728,0.11149964051280392
11,54,26,257,24.114348105969512,29.535907314988773,29.535907314988773,0.9999970985957926,0.010780574891074802,0.9999470161068195,0.010780034971485171,0.9999391769121632,0.010779950460214892,0.9998121987315932,0.010778581558457989,0.9987658943123398,0.010767301762580115
12,146,89,272,51.64087665061236,234.3580478992731,234.3580478992731,0.9997582087685565,0.08552000449506958,0.9976222937422824,0.08533729685531632,0.997354352892698,0.08531437701083804,0.9936110554790089,0.08499417277661686,0.971855469769169,0.08313318501839673
13,39,39,364,31.323780796513976,68.91341437111556,68.91341437111556,0.9999670626930702,0.025152567760324714,0.9995853113470452,0.025142965417450914,0.99953249020613,0.02514163678636334,0.9987504403629701,0.02512196557677464,0.9934793524968997,0.024989379815034744
14,57,53,330,47.95056175067575,551.9480176611963,551.9480176611963,0.999845416986136,0.2014298839936925,0.9984815271567536,0.2011551133487054,0.9983056143758482,0.2011196737792991,0.9956925804341483,0.20059324927926517,0.9788308212137226,0.1971962619590272
15,74,13,282,19.020752012385827,-0.0,-0.0,0.99998759779337,-0.0,0.9997989201194092,-0.0,0.9997705425395594,-0.0,0.9993312204359353,-0.0,0.996061900298808,-0.0
16,88,14,591,15.592259064831673,262.5096742199303,262.5096742199303,0.9999203268255065,0.09580839712291021,0.9990869736334624,0.09572854852755214,0.9989783622845163,0.09571814181916478,0.9974292650511342,0.09556971347048918,0.9882062047393306,0.09468599643690592
