site_id,M,lat,lon,PFBS,PFHxA,PFHxS,PFOA,PFOS,n5,index_right,Channel,snap_m,f_gw,tot
MI_EGLE:36-BLMT-0010,SW,43.081061,-85.601437,3.8,1.4,1.1,2.0,0.0,4,1.0,2,240.7975725397202,0.0,8.3
MI_EGLE:36-BLMT-0020,SW,43.082707,-85.60457,3.9,1.4,1.0,1.7,0.0,4,1.0,2,547.3844538521269,0.0,8.0
MI_EGLE:36-CDC-0100,SW,43.182796,-85.611322,3.3,1.4,0.0,1.2,1.8,4,155.0,157,0.5226264076728044,0.0,7.699999999999999
MI_EGLE:36-CDC-0120,SW,43.205339,-85.58145,3.4,3.0,0.0,1.8,2.1,4,192.0,195,1.0039098266594388,0.0,10.3
MI_EGLE:36-DKC-0140,SW,43.285623,-85.53244,24.0,13.0,5.0,8.3,0.8,5,283.0,290,0.7473633683107997,0.0,51.1
MI_EGLE:36-DNR-010,SW,43.082408,-85.599832,6.7,2.7,3.5,3.5,1.5,5,1.0,2,214.52226887595097,0.0,17.9
MI_EGLE:36-DNR-020,SW,43.082962,-85.598714,7.5,4.3,3.9,4.9,1.3,5,1.0,2,198.05637450399183,0.0,21.900000000000002
MI_EGLE:36-DNR-030,SW,43.081574,-85.601296,3.8,1.6,1.0,1.2,0.0,4,1.0,2,253.8226439533382,0.0,7.6
MI_EGLE:36-FL-0010,SW,43.11220801,-85.63637764,4.7,2.0,3.0,2.6,1.6,5,340.0,348,227.01491432785687,0.0,13.9
MI_EGLE:36-GR-0160,SW,43.06351,-85.58037,1.0,1.4,0.84,1.3,1.5,5,0.0,1,446.40518729861157,0.041032009249769,6.039999999999999
MI_EGLE:36-NLL-0010,SW,43.059802,-85.581419,9.6,3.6,7.9,10.0,9.6,5,0.0,1,398.42719583662375,0.021703699387312172,40.7
MI_EGLE:36-RR-0010,SW,43.06384,-85.59145,2.6,1.8,1.5,6.4,15.0,5,0.0,1,7.023628399612214,0.5623160883812615,27.3
MI_EGLE:36-RR-0015,SW,43.072273,-85.59723,3.1,1.7,1.7,7.3,16.0,5,1.0,2,0.4310226507761384,0.5384787941561254,29.8
MI_EGLE:36-RR-0020,SW,43.082372,-85.590582,2.6,1.3,1.3,6.5,21.0,5,1.0,2,9.5903012998172,0.7193014138197186,32.7
MI_EGLE:36-RR-0050,SW,43.119888,-85.562212,2.0,1.3,1.2,3.6,9.6,5,9.0,10,11.404782319015407,0.550263074499676,17.7
MI_EGLE:36-RR-0060,SW,43.137541,-85.555807,2.8,0.8,2.0,4.0,4.8,5,10.0,11,5.8140495818141105,0.19162453699672144,14.400000000000002
MI_EGLE:36-RR-0200,SW,43.136032,-85.611068,1.6,1.0,0.59,1.5,4.8,5,14.0,15,0.5175282361512922,0.4678552124879677,9.49
MI_EGLE:36-RR-0300,SW,43.124055,-85.650928,1.3,1.2,0.59,1.8,1.4,5,17.0,18,1.157408755166901,0.0,6.29
MI_EGLE:36-RR-0600,SW,43.160595,-85.689646,1.1,1.1,0.61,1.4,1.1,5,25.0,26,0.13821682911097,0.0,5.3100000000000005
MI_EGLE:36-RRPP-0010,SW,43.078679,-85.603222,2.8,1.0,1.3,3.5,2.7,5,1.0,2,390.3019926454311,0.013808456074909839,11.3
MI_EGLE:36-UIL-0060,SW,43.19685,-85.65063,0.96,0.54,0.54,0.93,0.85,5,110.0,112,6.105215107821492,0.0,3.8200000000000003
MI_EGLE:36-URMC-0020,SW,43.126005,-85.545536,7.0,0.0,6.2,11.0,14.0,4,509.0,519,1.5812580180855496,0.2595490506127286,38.2
MI_EGLE:36-UTRR-0010,SW,43.08282,-85.598818,21.0,10.0,5.7,7.3,0.0,4,1.0,2,192.939161857248,0.0,44.0
MI_EGLE:36-VBD-0005,SW,43.30262,-85.70901,0.73,0.56,0.56,0.74,0.0,4,219.0,224,7.035229371881236,0.0,2.5900000000000003
