reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
0,0.8286675496511466,0.7115202597719669,0.7046570339681693,0.6297433238520351,0.4339438940070699,3.308532061250388,0.25046381123414885,0.21505617796644932,0.21298177588215947,0.1903391933926242,0.13115904152461808
1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,0.9272619999496968,0.8172413346461778,0.8096417552845692,0.7265814799621024,0.462254329795985,3.742980899638531,0.24773356445373387,0.21833970211418946,0.21630934728060147,0.19411840440657077,0.12349898174490447
6,0.8757426298770501,0.7610812053441857,0.7528580428537789,0.6632807072466667,0.4361008018738945,3.4890633871955763,0.2509964803422361,0.21813338448858738,0.21577654496524,0.190102796550164,0.1249907936537724
7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
9,0.8990999222504344,0.7989399336503442,0.7913406376314018,0.7073109239725265,0.47135533999474,3.668046757499447,0.24511681057832588,0.2178107277441009,0.2157389722509613,0.19283040013773137,0.1285030892888805
10,0.9237245476135586,0.7972392564028489,0.7869345024923862,0.6771001563931607,0.4051273848090129,3.590125847710967,0.2572958683892703,0.22206443178340438,0.2191941274131459,0.1886006744930331,0.1128448979211463
11,0.8756073902519846,0.7975394663794528,0.7914489531988234,0.7218197167782883,0.4298686398027038,3.6162841664112526,0.24212903354907658,0.22054114933421268,0.21885695835243105,0.19960259856863283,0.11887026019564693
12,0.8309043587899496,0.7332994090256283,0.7277249406785843,0.6645299080268223,0.462698151651115,3.419156768172099,0.2430144082671459,0.2144679108754801,0.21283754738968294,0.19435491060624396,0.13532522286144724
13,0.9088333770131094,0.7827957745785998,0.7736709080519049,0.6747413804671286,0.4379684626244987,3.5780099027352414,0.25400527156684044,0.2187796556907751,0.21622939261863564,0.18858007630200144,0.12240560382174734
14,0.8963116773382036,0.8079133594112391,0.8012124564436588,0.7271740479548717,0.5222316306633751,3.7548431718113484,0.23870815273113524,0.21516567335660497,0.2133810707351464,0.1936629613225845,0.13908214185452886
15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
16,0.9152312377238536,0.8580541680294453,0.8527916626525903,0.7933284174624393,0.6051096293572299,4.024515115225559,0.22741403908792585,0.21320684441791557,0.21189923214011697,0.19712397512463467,0.15035590922940684
17,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
21,0.93119027378954,0.8226448186488418,0.8124866362162229,0.6866223139721314,0.3154485569750989,3.5683925996018346,0.260955107320154,0.2305365218896131,0.22768981089885712,0.19241781693212387,0.08840074295925202
22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
24,0.8986601053306355,0.7824706090284379,0.7736768887770469,0.6787312565587225,0.4293498385441278,3.5628886982389707,0.2522279480060144,0.2196169106868788,0.21714876727961,0.1905002693163553,0.12050610471114143
25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
26,0.9057833702328356,0.7961314361532643,0.7878774994260889,0.6982961935339032,0.4758371375254835,3.663925636871576,0.24721663592665982,0.2172891906269793,0.2150364329170212,0.19058689033059628,0.12987085019874328
27,0.8785064666499434,0.8025314499047769,0.7964999983859897,0.7259282728829709,0.5114770304446528,3.7149432182683335,0.23647911018662793,0.2160279182621976,0.21440435333417196,0.19540763619567564,0.13768098202132692
28,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
