analyte,obs,mod,band
PFOS,5.2,63.60804359978464,MDL-10
PFOS,1100.0,165.95129508079373,>50 ng/L
PFOS,13.0,1.112787640595535,10-50
PFOS,30.0,0.9992888584960069,10-50
PFOS,4.6,11.018493593563063,MDL-10
PFOS,8.9,1552.766924733336,MDL-10
PFOS,26.0,1552.766924733336,10-50
PFOS,130.0,0.9998021199012073,>50 ng/L
PFOS,30.0,0.9999164704281858,10-50
PFOS,89.0,0.9996306787676426,>50 ng/L
PFOS,67.0,0.9998621191235741,>50 ng/L
PFOS,230.0,0.998555118364012,>50 ng/L
PFOS,64.0,1.1208122236108422,>50 ng/L
PFOS,20.0,0.5637105137193027,10-50
PFOS,32.0,227.2452803855211,10-50
PFOS,20.0,1664.0630507138583,10-50
PFOS,32.0,1659.5420520919074,10-50
PFOS,15.0,1415.764176590162,10-50
PFOS,11.0,0.9999287361397345,10-50
PFOS,260.0,0.9999354445607133,>50 ng/L
PFOS,100.0,0.9999474572027609,>50 ng/L
PFOS,17.0,0.998655719065269,10-50
PFOS,170.0,0.9989473834487894,>50 ng/L
PFOS,900.0,165.95129508079373,>50 ng/L
PFOS,92.0,2.5179973415457884,>50 ng/L
PFOS,820.0,165.95129508079373,>50 ng/L
PFOS,8.2,1226.1291800158574,MDL-10
PFOS,16.0,893.4628629326972,10-50
PFOS,79.0,893.4628629326972,>50 ng/L
PFOS,9.7,0.9998903317062299,MDL-10
PFOS,560.0,165.95129508079373,>50 ng/L
PFOS,7.1,0.9997147430858889,MDL-10
PFOS,6.7,0.9996688974562434,MDL-10
PFOS,11.0,0.999844059357729,10-50
PFOS,14.0,0.999844059357729,10-50
PFOS,7.5,0.9994614308727536,MDL-10
PFOA,4.6,98.81886510781557,MDL-10
PFOA,74.0,76.33436565688434,>50 ng/L
PFOA,74.0,1.344727839373156,>50 ng/L
PFOA,7.9,0.99796738145155,MDL-10
PFOA,7.0,3.1434703481128317,MDL-10
PFOA,3.8,275.03913395245996,<2xMDL(noise)
PFOA,7.0,275.03913395245996,MDL-10
PFOA,110.0,0.9978506345008545,>50 ng/L
PFOA,30.0,0.9988081038391454,10-50
PFOA,33.0,0.9959965234571733,10-50
PFOA,31.0,0.9985349765718424,10-50
PFOA,95.0,0.9914163402207191,>50 ng/L
PFOA,81.0,1.0085093200537831,>50 ng/L
PFOA,84.0,0.7577033930061347,>50 ng/L
PFOA,10.0,49.6710497630349,MDL-10
PFOA,24.0,293.9206012790183,10-50
PFOA,19.0,293.16359478839036,10-50
PFOA,10.0,250.9084148994687,MDL-10
PFOA,12.0,0.9988836777012902,10-50
PFOA,28.0,0.999114716669842,10-50
PFOA,66.0,0.9991063991693276,>50 ng/L
PFOA,16.0,0.9913627100737128,10-50
PFOA,84.0,0.9931322643564673,>50 ng/L
PFOA,58.0,0.35675440605162567,>50 ng/L
PFOA,77.0,76.33436565688434,>50 ng/L
PFOA,21.0,5.318109951318587,10-50
PFOA,54.0,76.33436565688434,>50 ng/L
PFOA,44.0,151.07731313614295,10-50
PFOA,43.0,151.07731313614295,10-50
PFOA,7.3,0.9984090247229123,MDL-10
PFOA,25.0,76.33436565688434,10-50
PFOA,6.3,0.9963620644112933,MDL-10
PFOA,5.1,0.9976641451016761,MDL-10
PFOA,5.7,0.9976641451016761,MDL-10
PFOA,7.3,0.9947639791558375,MDL-10
PFHxS,42.0,6.910071808321474,10-50
PFHxS,56.0,0.9987127261227883,>50 ng/L
PFHxS,5.8,27.742224737426614,MDL-10
PFHxS,17.0,0.997597084722844,10-50
PFHxS,11.0,0.9986467889449074,10-50
PFHxS,11.0,0.9955441411172335,10-50
PFHxS,16.0,0.9983727116966378,10-50
PFHxS,22.0,0.990699584232074,10-50
PFHxS,14.0,0.9970779501792407,10-50
PFHxS,21.0,0.9744987134822086,10-50
PFHxS,12.0,29.643366628002187,10-50
PFHxS,12.0,29.551833224904605,10-50
PFHxS,9.9,25.38525065833703,MDL-10
PFHxS,9.2,0.9990067730006197,MDL-10
PFHxS,19.0,0.9989841873762314,10-50
PFHxS,7.6,0.9905140398499891,MDL-10
PFHxS,18.0,0.9925777833217833,10-50
PFHxS,13.0,0.9153749171920065,10-50
PFHxS,28.0,6.910071808321474,10-50
PFHxS,19.0,1.0711329783678418,10-50
PFHxS,25.0,6.910071808321474,10-50
PFHxS,18.0,13.191864774886941,10-50
PFHxS,11.0,13.191864774886941,10-50
PFHxS,20.0,6.910071808321474,10-50
PFHxS,6.8,0.9959469407834628,MDL-10
PFHxS,6.4,0.9973800027162063,MDL-10
PFHxS,7.7,0.9973800027162063,MDL-10
PFBS,8.7,22.854599712724657,MDL-10
PFBS,11.0,11.59951976927363,10-50
PFBS,50.0,0.9978001439801278,10-50
PFBS,9.5,36.07521914354708,MDL-10
PFBS,13.0,0.9938652240793293,10-50
PFBS,16.0,0.9961001576409114,10-50
PFBS,15.0,0.9892584105059541,10-50
PFBS,15.0,0.9960168044278646,10-50
PFBS,22.0,0.9790867145896336,10-50
PFBS,17.0,0.9935467068779209,10-50
PFBS,22.0,0.9210944302443136,10-50
PFBS,4.5,7.239134655443668,MDL-10
PFBS,15.0,38.52512751105496,10-50
PFBS,17.0,38.403039724265895,10-50
PFBS,9.8,32.969348870261506,MDL-10
PFBS,4.6,0.9964833375036886,MDL-10
PFBS,5.1,0.9974642942912885,MDL-10
PFBS,10.0,0.997162951022781,MDL-10
PFBS,12.0,0.9789989766575427,10-50
PFBS,21.0,0.9837211742193919,10-50
PFBS,17.0,0.7876433315251824,10-50
PFBS,32.0,1.80144957014462,10-50
PFBS,31.0,14.530308500334135,10-50
PFBS,11.0,14.530308500334135,10-50
PFBS,4.5,0.9952492977890804,MDL-10
PFBS,7.5,11.59951976927363,MDL-10
PFBS,3.9,0.992179731427913,<2xMDL(noise)
PFBS,7.3,0.9900543479498235,MDL-10
PFBS,8.1,0.9933398815460409,MDL-10
PFBS,9.9,0.9933398815460409,MDL-10
PFHxA,45.0,17.310046280472868,10-50
PFHxA,27.0,1.684497627933343,10-50
PFHxA,13.0,0.9692401814869193,10-50
PFHxA,6.9,0.9784978513311318,MDL-10
PFHxA,9.0,0.9129331092773136,MDL-10
PFHxA,8.7,0.9645345844418995,MDL-10
PFHxA,11.0,0.7768976889150437,10-50
PFHxA,6.8,0.9848084160031604,MDL-10
PFHxA,11.0,0.9319723077879826,10-50
PFHxA,7.4,0.47460802434910904,MDL-10
PFHxA,41.0,17.310046280472868,10-50
PFHxA,12.0,3.6660470263100686,10-50
PFHxA,33.0,17.310046280472868,10-50
PFHxA,6.8,22.291945182512332,MDL-10
PFHxA,4.1,22.291945182512332,MDL-10
PFHxA,15.0,17.310046280472868,10-50
