reach,row,col,Channel,d
-1,35,34,535,36.392499402057005
0,31,41,85,116.72226670538141
1,100,57,128,117.06716405001825
2,67,80,136,74.9025454406043
3,121,52,413,40.29540514865177
4,139,96,145,58.069234935928115
5,35,31,399,69.61992423277677
6,107,49,194,109.62922666265011
7,23,48,183,114.71431802115363
8,77,93,245,32.77499392237507
9,70,57,450,18.066693867413598
10,42,49,206,116.71992833014673
11,54,26,257,24.114348105969512
12,146,89,272,51.640876650612356
13,39,39,364,31.323780796513976
14,57,53,330,47.95056175067575
15,74,13,282,19.020752012385827
16,88,14,591,15.592259064831671
17,72,80,428,7.664423278569785
18,59,85,393,82.2657420575068
19,109,51,304,81.65666566825155
20,131,29,494,17.750140634678623
20,131,29,410,17.750140634678623
20,131,29,306,17.750140634678623
21,142,77,555,48.902096984093546
22,107,31,310,110.02798054847871
23,107,94,550,41.37999842627888
24,76,87,201,24.566851485813892
25,28,37,317,59.738569843624816
26,98,30,237,21.035427924206104
27,27,55,322,34.39343987527423
28,91,29,487,22.284390090198208
29,63,33,522,81.51246735873795
30,40,25,503,48.81516656066095
31,129,47,22,3.840713231828613
32,132,18,404,16.395615491837393
33,49,44,346,7.918043939840812
34,74,59,475,22.008864562656
35,53,28,486,79.7418626489997
36,44,50,436,17.70721674380887
37,65,30,532,31.24945824079621
38,48,44,346,5.431879436216916
39,33,38,585,7.972744278608566
40,75,14,458,41.991791414930454
41,119,98,447,56.77608621225781
42,110,21,358,62.12703924531098
43,129,93,360,26.938762776520807
44,35,26,455,67.41249214520987
45,64,50,366,22.050707597248195
46,50,48,384,18.99660716127266
47,128,8,445,19.526390125759647
48,136,92,372,18.67386483276824
49,77,73,373,35.56505371728326
50,136,41,391,35.1739218188086
51,94,97,472,26.696864191504126
52,135,69,382,47.97665594213569
53,35,33,70,77.88957774180382
54,31,42,89,120.24147585035456
55,101,57,112,85.95672272069935
56,67,81,121,22.63184281362198
57,121,53,279,1.266485468025848
58,139,95,145,65.40099576701259
59,35,32,399,70.595942816668
60,107,48,194,84.102806255926
61,22,48,205,70.40632296048514
62,77,92,211,62.67817682886308
63,70,56,217,3.2141726717497257
64,42,50,340,60.16864317434256
64,42,50,441,60.16864317434256
65,54,27,257,97.71285419973067
66,146,88,272,18.621170429180665
67,39,38,276,121.9465404147731
68,56,53,280,19.504867954974653
69,73,13,282,116.4840885074627
70,88,15,298,20.265013613583985
71,71,81,301,107.7274326420429
72,59,86,444,87.62500673869499
73,110,51,592,5.286062066793328
74,131,30,306,4.2238229250412545
75,142,78,308,116.44521273224277
76,107,30,310,134.33290562141565
77,107,93,312,85.14481337935887
78,76,88,314,104.7672475623156
79,28,36,402,41.23044950905653
80,98,31,237,123.45187041472968
81,27,54,322,35.46249233686986
82,92,29,323,93.46421272605716
83,63,34,461,122.28985838940811
84,40,26,328,26.574915059609975
85,129,47,22,3.840713231828613
86,132,19,333,78.14621088236757
87,75,59,255,48.52649162471853
88,54,28,339,4.371713944756105
89,45,50,341,137.50423732942048
90,64,30,485,27.85897848470294
91,49,44,346,7.918043939840812
92,33,37,351,9.274693941598382
93,74,14,219,104.13833523831642
94,118,98,447,122.51431983943257
94,118,98,355,122.51431983943257
94,118,98,270,122.51431983943257
95,110,20,358,108.29718370090002
96,128,93,360,164.58861522875677
97,36,26,289,103.79413852530176
98,64,49,495,76.0498632980501
99,49,48,368,5.10888670437591
100,128,9,371,59.697326163184385
101,137,92,145,26.82584172739758
102,77,73,373,35.56505371728326
103,135,41,375,139.34080429426805
104,94,98,376,23.481757942910775
105,135,68,382,24.95309351647621
106,31,41,85,116.72226670538141
107,101,56,112,39.204899268374845
108,67,81,121,22.63184281362198
109,121,52,413,40.29540514865177
110,138,95,145,95.43944395328636
111,35,33,70,77.88957774180382
112,106,48,194,112.77191491719559
113,21,48,406,4.012165420663634
114,77,91,211,87.76117640775226
115,70,55,217,16.734947591823435
116,42,49,206,116.71992833014673
117,55,27,257,120.74070904136836
118,146,87,272,149.873914399498
119,39,37,69,166.08891447227097
119,39,37,276,166.08891447227097
120,56,52,280,26.37543409443152
121,73,12,369,56.443095921228476
122,89,15,298,110.05488879525272
123,72,81,301,111.70477478737874
124,60,86,303,41.01392636613658
125,110,51,592,5.286062066793328
126,131,30,306,4.2238229250412545
127,143,78,261,35.1934041584598
127,143,78,308,35.1934041584598
128,108,30,310,84.46353123093132
129,107,92,312,46.424181702215456
130,75,88,314,7.620188005605848
131,28,36,402,41.23044950905653
132,99,31,193,125.72404213921955
133,27,53,322,49.974629748173534
134,92,28,323,59.809341598926395
135,64,34,324,84.95512973681998
136,41,26,328,76.40282082389933
137,132,20,333,119.17362466970411
138,75,59,255,48.52649162471853
139,55,28,452,3.5320593850443753
140,45,49,341,46.05964294940588
141,64,30,485,27.85897848470294
142,49,44,346,7.918043939840812
143,33,36,351,10.572424409748603
144,74,13,282,19.020752012385827
145,118,99,355,80.02471732108812
146,111,20,358,42.17495967226632
147,128,92,360,3.423415248147964
148,38,26,590,15.894051455100547
149,65,49,366,97.99936769668103
150,48,48,368,51.382885172844375
151,128,9,371,59.697326163184385
152,137,91,132,70.93934392069629
153,77,73,373,35.56505371728326
154,135,42,375,74.85475513361476
155,94,99,376,20.4144820427651
156,134,68,382,142.25460387939157
157,31,40,85,113.69035932174032
158,101,55,112,138.74381463097876
159,68,81,111,61.89705023371023
160,122,52,117,12.891893395148246
161,138,94,145,48.456191799540015
162,106,47,194,35.05908649326111
163,23,48,183,114.71431802115363
164,77,90,211,128.27920077342029
165,70,54,217,30.362665972182945
166,43,49,206,65.00917698312716
167,55,28,452,3.5320593850443753
168,145,87,272,18.92469029487986
169,42,38,127,70.8976485809695
170,56,51,280,109.56498665294555
171,89,16,298,44.96840318226625
172,72,82,101,5.075453657653718
173,60,87,303,153.35438809380489
174,130,30,291,134.17410476848445
175,143,78,261,35.1934041584598
175,143,78,308,35.1934041584598
176,109,30,310,101.26745304696166
177,108,92,312,131.49457227029686
178,74,88,314,159.24023662068254
179,29,36,262,47.181215159764704
180,27,52,322,48.18196063329141
181,93,28,323,21.90608249506897
182,64,35,260,97.03134961422346
183,41,26,328,76.40282082389933
184,131,20,333,126.87992981588569
185,76,59,255,117.25734692936675
186,45,48,283,24.259897507171246
187,64,31,284,21.43053168539191
188,50,44,286,60.246392408983425
189,73,14,415,34.009591062442695
190,118,100,355,17.359015161898622
191,112,20,358,39.81629324391515
192,128,91,360,29.788066364852384
193,37,26,289,99.60320173464136
194,65,49,366,97.99936769668103
195,47,49,577,40.511206149066254
196,127,9,258,15.859681326053884
197,77,72,593,14.712634128003168
198,134,42,375,30.19079181768576
199,93,99,376,37.409521137881846
200,134,67,382,87.6253922408551
201,31,39,85,110.72548459521663
202,102,55,112,30.072953147361282
203,69,81,111,1.787798450343498
204,122,52,117,12.891893395148246
205,138,93,145,42.61904777992052
206,106,46,194,20.886578732956146
207,23,49,183,133.68870232951588
208,78,90,211,115.06689270505673
209,70,53,217,115.23395769831775
210,43,48,206,33.800967759469835
211,55,28,452,3.5320593850443753
212,145,86,549,44.5027955632278
213,41,38,69,135.7358238889682
214,55,51,213,72.83108457474272
215,90,16,298,131.0807013448583
216,61,87,303,71.75462006380852
217,130,31,291,85.47077052412308
218,143,78,261,35.1934041584598
218,143,78,308,35.1934041584598
219,110,30,288,45.811069576581744
220,108,91,312,90.85051169500957
221,74,89,438,9.237293827721722
222,30,36,407,40.91601779901561
223,28,52,322,17.93086685504245
224,93,27,323,83.95164866812155
225,64,35,260,97.03134961422346
226,41,27,252,25.10524735512313
227,131,21,333,88.68456295752107
228,76,58,255,116.54436243860238
229,45,48,283,24.259897507171246
230,64,31,284,21.43053168539191
231,50,43,286,41.71579090317114
232,74,14,219,104.13833523831642
233,117,100,355,49.58775852657823
234,112,20,358,39.81629324391515
235,127,91,360,123.35673690087134
236,36,26,289,103.79413852530176
237,65,48,295,34.33429925630903
238,47,48,368,120.62298428305137
239,126,9,258,149.47434147780515
240,77,72,593,14.712634128003168
241,133,42,375,75.12751854027834
242,92,99,327,67.24083394490329
243,133,67,382,56.627402307589314
244,31,38,85,112.1813601986324
245,102,54,112,86.67486989566551
246,70,81,111,61.62775683948339
247,122,51,504,60.787881288562005
248,137,93,145,169.12271620047431
249,106,45,194,27.820764578096078
250,24,49,183,109.21803925223851
251,77,89,211,38.36160588086118
252,71,53,178,26.495407085357986
253,43,47,181,38.6865763339233
253,43,47,206,38.6865763339233
254,55,29,224,57.555400574468855
255,143,83,210,93.69609220401809
256,41,37,69,114.10146085570237
257,55,51,213,72.83108457474272
258,90,17,298,1.0533308212159396
259,62,87,303,52.52107984587092
260,129,31,291,23.909450298363037
261,143,79,225,85.39263440676535
262,110,30,288,45.811069576581744
263,109,91,312,110.03306168906381
264,30,36,407,40.91601779901561
265,29,52,463,3.9836190066931607
266,94,27,250,37.078582480494646
267,41,28,243,25.31500449239719
268,131,22,333,54.42430936561727
269,77,58,255,100.41472076137327
270,44,48,283,164.74096122885385
271,64,32,171,17.540514230586055
272,50,42,420,45.386993622127626
273,74,13,282,19.020752012385827
274,117,101,355,64.95894676663399
275,112,21,249,128.49030584348054
276,127,90,274,50.866389389370475
277,38,26,590,15.894051455100547
278,65,47,295,10.505695276690837
279,46,48,248,22.014902589938227
280,126,10,258,11.871853372233286
281,77,71,163,138.21740442424849
282,133,41,375,132.51563792303585
283,92,98,327,66.87607690125255
284,133,66,382,108.8332195863021
285,31,37,85,114.57707790682923
286,103,54,112,60.33475406153065
287,70,82,111,123.89449726601822
288,123,51,104,44.52623696932997
289,137,92,145,26.82584172739758
290,106,44,194,23.932728202113033
291,24,48,183,117.70010062353579
292,77,88,211,90.89263482800952
293,71,52,168,63.57044754405039
294,43,47,181,38.6865763339233
294,43,47,206,38.6865763339233
295,55,30,224,28.34106516529943
296,143,84,210,85.5216647317569
297,40,37,69,113.53966386891972
298,55,51,213,72.83108457474272
299,90,18,298,79.67694887752218
300,62,87,303,52.52107984587092
301,129,31,291,23.909450298363037
302,144,79,5,76.32382578706496
303,110,31,238,132.30638922183408
304,108,90,312,132.77551125524656
305,30,35,232,37.490262691685295
306,29,52,463,3.9836190066931607
307,41,28,243,25.31500449239719
308,130,22,333,32.51259624714894
309,77,59,255,118.61559037836064
310,44,47,241,89.45851816313852
311,64,33,171,89.61460525229091
312,51,42,286,53.40979093967213
313,73,14,415,34.009591062442695
314,117,102,355,154.02219436407486
315,113,21,249,92.50651757410635
316,127,90,274,50.866389389370475
317,39,26,242,89.32791093516964
318,65,46,401,1.364048790179835
319,44,47,241,89.45851816313852
320,126,11,258,145.20370071645507
321,78,71,163,17.928667732853043
322,132,42,375,61.670278018540635
323,92,97,327,66.51131985760316
324,134,66,382,115.2605646573007
