site_id,M,lat,lon,PFBS,PFHxA,PFHxS,PFOA,PFOS,ndet,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f,class
MI_EGLE:36-BLMT-0010,SW,43.081061,-85.601437,3.8,1.4,1.1,2.0,0.0,4,8.3,0.0,0.24096385542168672,0.13253012048192772,0.45783132530120474,0.1686746987951807,SW
MI_EGLE:36-BLMT-0020,SW,43.082707,-85.60457,3.9,1.4,1.0,1.7,0.0,4,8.0,0.0,0.2125,0.125,0.4875,0.175,SW
MI_EGLE:36-CDC-0010,SW,43.156197,-85.602867,2.6,0.0,0.0,1.2,1.3,3,5.1,0.25490196078431376,0.23529411764705882,0.0,0.5098039215686275,0.0,SW
MI_EGLE:36-CDC-0100,SW,43.182796,-85.611322,3.3,1.4,0.0,1.2,1.8,4,7.699999999999999,0.2337662337662338,0.15584415584415584,0.0,0.4285714285714286,0.18181818181818182,SW
MI_EGLE:36-CDC-0120,SW,43.205339,-85.58145,3.4,3.0,0.0,1.8,2.1,4,10.3,0.20388349514563106,0.17475728155339806,0.0,0.33009708737864074,0.2912621359223301,SW
MI_EGLE:36-CG-0010,SW,43.00112,-85.67655,25.0,14.0,10.0,26.0,37.0,5,112.0,0.33035714285714285,0.23214285714285715,0.08928571428571429,0.22321428571428573,0.125,SW
MI_EGLE:36-DKC-0140,SW,43.285623,-85.53244,24.0,13.0,5.0,8.3,0.8,5,51.1,0.015655577299412915,0.16242661448140902,0.09784735812133072,0.46966731898238745,0.25440313111545987,SW
MI_EGLE:36-DL-0010,SW,43.031283,-85.613944,3.2,2.7,1.4,3.9,0.0,4,11.2,0.0,0.34821428571428575,0.125,0.28571428571428575,0.2410714285714286,SW
MI_EGLE:36-DNR-010,SW,43.082408,-85.599832,6.7,2.7,3.5,3.5,1.5,5,17.9,0.08379888268156425,0.19553072625698326,0.19553072625698326,0.3743016759776537,0.15083798882681568,SW
MI_EGLE:36-DNR-020,SW,43.082962,-85.598714,7.5,4.3,3.9,4.9,1.3,5,21.900000000000002,0.0593607305936073,0.2237442922374429,0.1780821917808219,0.3424657534246575,0.19634703196347028,SW
MI_EGLE:36-DNR-030,SW,43.081574,-85.601296,3.8,1.6,1.0,1.2,0.0,4,7.6,0.0,0.15789473684210525,0.13157894736842105,0.5,0.2105263157894737,SW
MI_EGLE:36-FL-0010,SW,43.11220801,-85.63637764,4.7,2.0,3.0,2.6,1.6,5,13.9,0.11510791366906475,0.18705035971223022,0.2158273381294964,0.3381294964028777,0.14388489208633093,SW
MI_EGLE:36-GR-0140,SW,43.04737,-85.64583,1.1,4.5,0.6,1.8,1.9,5,9.9,0.1919191919191919,0.18181818181818182,0.0606060606060606,0.11111111111111112,0.45454545454545453,SW
MI_EGLE:36-GR-0150,SW,43.06167,-85.60971,1.1,1.3,0.53,1.3,2.0,5,6.2299999999999995,0.32102728731942215,0.20866773675762443,0.08507223113964688,0.1765650080256822,0.20866773675762443,SW
MI_EGLE:36-GR-0160,SW,43.06351,-85.58037,1.0,1.4,0.84,1.3,1.5,5,6.039999999999999,0.2483443708609272,0.21523178807947024,0.13907284768211922,0.16556291390728478,0.2317880794701987,SW
MI_EGLE:36-LCDC-0060,SW,43.187532,-85.58121,1.7,0.0,0.9,3.6,0.0,3,6.2,0.0,0.5806451612903226,0.14516129032258066,0.27419354838709675,0.0,SW
MI_EGLE:36-MC-0150,SW,43.0901,-85.691,0.56,1.0,0.42,1.1,1.1,5,4.18,0.26315789473684215,0.26315789473684215,0.10047846889952153,0.13397129186602874,0.23923444976076558,SW
