param,factor,recharge_m,sfr_gain_m3,sfr_loss_m3,pfhxa_disch_kg,massbal_pct
base,1.0,52.015,29579000.0,-26348000.0,1.478,-0.0
Kh,0.5,52.015,17715000.0,-16544000.0,0.88532,0.0
Kh,2.0,nan,nan,nan,nan,0.0
Kv,0.5,nan,nan,nan,nan,0.0
Kv,2.0,52.015,29809000.0,-26581000.0,1.4895,0.0
recharge,0.5,26.007,29516000.0,-26343000.0,1.475,0.0
recharge,2.0,nan,nan,nan,nan,0.0
sfrk,0.5,nan,nan,nan,nan,0.0
sfrk,2.0,52.015,35588000.0,-32329000.0,1.7781,0.0
SY,0.5,52.015,29657000.0,-26359000.0,1.4819,-0.0
SY,2.0,52.015,29537000.0,-26346000.0,1.4759,0.0
disp,0.5,52.015,29579000.0,-26348000.0,1.478,-0.0
disp,2.0,52.015,29579000.0,-26348000.0,1.4781,-0.0
