instream_lower,instream_mid,gw_plume,baseflow
nan,nan,nan,nan
50.3398,8.39326,126382,9.89268
nan,nan,nan,nan
11.7264,7.74218,5540.43,9.89268
11.4116,7.04792,5297.9,4.05207
59.7533,8.74967,5354.49,4.28927
59.6546,8.66524,5354.49,4.28927
70.4241,17.4351,5354.49,4.28927
72.7293,19.2654,5354.49,4.28927
77.3332,18.978,5362.33,3.62677
81.4496,18.7798,5380.24,3.22026
82.4017,18.7793,5391.63,3.22026
84.1565,18.7117,5397.78,3.04765
24.7588,17.5446,5141.25,2.1074
23.058,17.5447,5127.98,2.1074
23.0579,17.5447,5127.98,2.1074
23.023,17.5386,5127.79,2.10657
19.8249,14.9997,5127.79,2.10657
21.8747,14.9984,5161.9,2.10657
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
686.412,25.3586,135842,10.6435
695.969,33.2226,135842,10.6435
651.026,26.1589,120888,10.6435
nan,nan,nan,nan
nan,nan,nan,nan
29.1814,19.3378,115816,4.9408
26.7403,17.4025,115816,4.9408
21.2666,17.2576,113094,4.9408
21.2655,17.2571,113097,4.9391
21.0311,16.9581,109744,1.89909
21.1397,16.9453,109755,1.89909
20.9231,16.7438,109739,1.89909
20.4645,16.7429,5098.21,1.89909
20.4609,16.7362,5098.75,1.70589
nan,nan,nan,nan
26.8045,8.88906,23864,1.99383
26.6696,8.88728,23863.6,1.99374
11.8367,8.56634,23779.3,1.80643
21.4478,8.80243,24587,2.99348
20.4787,8.03524,24587,2.99348
10.1712,8.02974,1127.43,2.99348
10.1712,8.02974,1127.43,2.99348
10.1853,8.0635,1127.15,3.30393
9.9553,8.0634,1121.34,3.30393
8.20344,6.67096,1121.34,3.30393
18.831,15.3545,1121.34,3.30393
18.7972,15.3245,1120.38,3.00431
18.7923,15.3245,1116.97,3.00431
19.5414,16.0352,1116.19,9.56154
20.3958,16.7705,1116.19,9.56154
19.5225,15.9524,1107.19,9.56154
19.5068,15.9457,1102.73,9.56154
19.5175,15.9551,1102.62,9.84959
38.3588,12.5814,5601.37,12.0126
35.4913,12.5283,5591.94,12.0116
53.9769,11.6832,5465.41,3.76442
56.6936,11.6754,5511.32,3.76442
57.6591,12.4812,5521.01,3.76442
937.727,12.349,119778,3.76442
936.258,11.1813,119778,3.76442
938.385,12.8733,119778,3.76442
704.547,13.5263,116909,6.40167
105.445,12.6866,114283,3.06302
110.696,12.66,114356,2.8554
110.302,12.3222,114356,2.8554
22.9151,11.689,116470,1.63902
24.5808,11.6144,115744,1.63902
24.5808,11.6144,115744,1.63902
34.0198,19.3434,115744,1.63902
24.2452,19.1817,110296,1.63902
24.1973,19.1741,110316,1.61192
34.3503,19.3403,119834,1.61192
264.872,20.5716,25943.3,3.29612
249.609,8.19803,25943.3,3.29612
21.2284,8.19802,1203.84,3.29612
19.1411,8.24142,1144.55,3.29612
18.3785,7.63665,1144.55,3.29612
16.624,6.24134,1144.55,3.29612
16.624,6.24134,1144.55,3.29612
15.6441,6.27708,1140.85,4.09978
15.8101,6.28112,1142.08,4.09978
15.8262,6.28506,1142.12,4.20238
17.2333,6.28052,1183.79,4.20238
nan,nan,nan,nan
14.6874,6.23209,1180.63,4.1946
12.1036,6.6057,1214.89,11.3371
12.1921,6.68153,1214.89,11.3371
7.88236,6.0252,1215.96,2.71894
7.45378,6.00819,1241.41,2.26757
7.64534,6.18425,1252.21,2.26757
7.91187,6.4216,1254.84,4.43411
30.8922,21.1038,5180.85,10.1082
24.0371,19.1147,5212.91,3.79725
24.0342,19.1167,5211.28,3.81399
23.2552,18.8887,5216.8,2.27222
23.2565,18.8894,5217.38,2.28337
23.0701,18.7192,5208.7,2.28337
23.0001,18.6615,5101.61,1.37949
9.17122,7.40408,5101.61,1.37949
9.04923,7.30002,5101.61,1.37949
9.15468,7.30158,5306.03,1.37949
9.17569,7.30241,5894.54,1.37949
9.18898,7.36494,5426.84,2.20541
9.26562,7.36875,5495.52,2.20541
9.26777,7.36357,5370.04,2.20541
9.26779,7.36358,5370.04,2.20541
9.26759,7.3639,5370.84,2.20633
