param,mu_star,mu_star_conf,sigma,n_ee
t_cap,2.00629,0.00533934,0.0115484,17
t_n,0.0380119,0.013566,0.029048,17
t_kf,0.0255878,0.00833438,0.0181777,18
rch,0.0243468,0.00999477,0.0220853,18
kh,0.0219535,0.00714473,0.0200411,15
ghb,0.0046042,0.00319484,0.00816329,16
drn,0.00438944,0.00671555,0.0139912,15
sfrk,0.00379448,0.00223464,0.00560193,16
t_alh,0.00315875,0.00121809,0.00234088,13
t_ath,0.00293118,0.00184989,0.00502786,18
t_bg,0.00260662,0.00108651,0.00291749,17
pump,0.00131107,0.000849526,0.00222841,16
kv,0.000252462,0.000147214,0.00037042,18
soil_scale,0,0,0,18
koc_scale,0,0,0,17
kl,0,0,0,17
lm,0,0,0,18
percop,0,0,0,17
