param,mu_star,mu_star_conf,sigma,n_ee
t_cap,0.572131,0.281604,0.604563,17
kh,0.393465,0.223475,0.454528,15
soil_scale,0.341835,0.087893,0.192958,18
sfrk,0.309158,0.150241,0.326099,16
t_kf,0.112048,0.074656,0.163941,18
kl,0.0977742,0.017457,0.0379243,17
rch,0.0603718,0.0396817,0.095166,18
t_n,0.0582786,0.0353569,0.0788229,17
lm,0.0489265,0.0115808,0.025472,18
ghb,0.0207361,0.0218631,0.0473098,16
t_alh,0.017477,0.0176879,0.033425,13
t_bg,0.0167369,0.00480509,0.0106046,17
percop,0.0153517,0.00636271,0.0136216,17
drn,0.010383,0.00702447,0.01757,15
kv,0.008273,0.0101608,0.0225414,18
t_ath,0.00658068,0.00499753,0.012533,18
pump,0.00267356,0.00388669,0.00856748,16
koc_scale,7.09678e-07,5.22524e-07,1.13759e-06,17
