param,mu_star,mu_star_conf,sigma,n_ee
soil_scale,0.454264,0.0590715,0.133008,18
kl,0.114236,0.0116939,0.026066,17
lm,0.0687607,0.00552749,0.0121089,18
sfrk,0.0530884,0.0188762,0.0387729,16
rch,0.0389554,0.0264621,0.0591627,18
t_bg,0.0347818,0.010421,0.0229286,17
percop,0.0200843,0.00616484,0.0132499,17
kh,0.0146284,0.00685868,0.0137733,15
t_n,0.0100949,0.0171249,0.0375953,17
t_kf,0.00913476,0.0125445,0.0285984,18
t_ath,0.00867091,0.00909755,0.0212307,18
drn,0.00853099,0.00671286,0.0138711,15
t_cap,0.00797929,0.00831328,0.0183432,17
t_alh,0.00601687,0.00764041,0.0150098,13
ghb,0.00349814,0.00372582,0.00825496,16
pump,0.000898706,0.000812041,0.00167716,16
kv,0.000413956,0.000413891,0.000908392,18
koc_scale,2.22803e-07,1.90809e-07,4.15307e-07,17
