island,lake,cap,relax,dvclose,islands_dropped,converged,mass_balance,nse,rmse,error
keep_all,drn,1000.0,dbd,0.01,0,False,-0.02,,,
keep_all,drn,1000.0,dbd,0.05,0,False,-0.02,,,
keep_all,drn,1000.0,none,0.01,0,False,-0.02,,,
keep_all,drn,1000.0,none,0.05,0,False,-0.02,,,
keep_all,drn,10000.0,dbd,0.01,0,False,-0.02,,,
keep_all,drn,10000.0,dbd,0.05,0,False,-0.02,,,
keep_all,drn,10000.0,none,0.01,0,False,-0.01,,,
keep_all,drn,10000.0,none,0.05,0,False,-0.02,,,
keep_all,drn,100000.0,dbd,0.01,0,False,-0.02,,,
keep_all,drn,100000.0,dbd,0.05,0,False,-0.02,,,
keep_all,drn,100000.0,none,0.01,0,False,-0.02,,,
keep_all,drn,100000.0,none,0.05,0,False,-0.02,,,
keep_all,drn,1000000.0,dbd,0.01,0,False,-0.02,,,
keep_all,drn,1000000.0,dbd,0.05,0,False,-0.02,,,
keep_all,drn,1000000.0,none,0.01,0,False,-0.02,,,
keep_all,drn,1000000.0,none,0.05,0,False,-0.02,,,
keep_all,drn,1e+30,dbd,0.01,0,False,-0.02,,,
keep_all,drn,1e+30,dbd,0.05,0,False,-0.02,,,
keep_all,drn,1e+30,none,0.01,0,False,-0.02,,,
keep_all,drn,1e+30,none,0.05,0,False,-0.02,,,
keep_all,ghb,1000.0,dbd,0.01,0,True,0.0,0.132,12.55,
keep_all,ghb,1000.0,dbd,0.05,0,True,0.0,0.132,12.55,
keep_all,ghb,1000.0,none,0.01,0,True,-0.0,0.132,12.55,
keep_all,ghb,1000.0,none,0.05,0,True,-0.0,0.132,12.55,
keep_all,ghb,10000.0,dbd,0.01,0,True,0.0,0.14,12.49,
keep_all,ghb,10000.0,dbd,0.05,0,True,0.0,0.14,12.49,
keep_all,ghb,10000.0,none,0.01,0,True,0.0,0.14,12.49,
keep_all,ghb,10000.0,none,0.05,0,True,0.0,0.14,12.49,
keep_all,ghb,100000.0,dbd,0.01,0,True,0.0,0.141,12.49,
keep_all,ghb,100000.0,dbd,0.05,0,True,0.0,0.141,12.49,
keep_all,ghb,100000.0,none,0.01,0,True,-0.0,0.141,12.49,
keep_all,ghb,100000.0,none,0.05,0,True,0.0,0.141,12.49,
keep_all,ghb,1000000.0,dbd,0.01,0,True,0.0,0.141,12.49,
keep_all,ghb,1000000.0,dbd,0.05,0,True,0.0,0.141,12.49,
keep_all,ghb,1000000.0,none,0.01,0,True,-0.0,0.141,12.49,
keep_all,ghb,1000000.0,none,0.05,0,True,0.0,0.141,12.49,
keep_all,ghb,1e+30,dbd,0.01,0,True,0.0,0.141,12.49,
keep_all,ghb,1e+30,dbd,0.05,0,True,0.0,0.141,12.49,
keep_all,ghb,1e+30,none,0.01,0,True,-0.0,0.141,12.49,
keep_all,ghb,1e+30,none,0.05,0,True,0.0,0.141,12.49,
largest_component,drn,1000.0,dbd,0.01,12,True,-0.0,0.308,11.21,
largest_component,drn,1000.0,dbd,0.05,12,True,-0.0,0.308,11.21,
largest_component,drn,1000.0,none,0.01,12,True,-0.0,0.309,11.21,
largest_component,drn,1000.0,none,0.05,12,True,-0.0,0.309,11.21,
largest_component,drn,10000.0,dbd,0.01,12,True,-0.0,0.334,11.0,
largest_component,drn,10000.0,dbd,0.05,12,True,-0.0,0.334,11.0,
largest_component,drn,10000.0,none,0.01,12,True,-0.0,0.334,11.0,
largest_component,drn,10000.0,none,0.05,12,True,-0.0,0.334,11.0,
largest_component,drn,100000.0,dbd,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,100000.0,dbd,0.05,12,True,-0.0,0.338,10.97,
largest_component,drn,100000.0,none,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,100000.0,none,0.05,12,True,-0.0,0.338,10.97,
largest_component,drn,1000000.0,dbd,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,1000000.0,dbd,0.05,12,True,-0.0,0.338,10.97,
largest_component,drn,1000000.0,none,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,1000000.0,none,0.05,12,True,-0.0,0.338,10.97,
largest_component,drn,1e+30,dbd,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,1e+30,dbd,0.05,12,True,-0.0,0.338,10.97,
largest_component,drn,1e+30,none,0.01,12,True,-0.0,0.338,10.97,
largest_component,drn,1e+30,none,0.05,12,True,-0.0,0.338,10.97,
largest_component,ghb,1000.0,dbd,0.01,12,True,0.0,0.132,12.56,
largest_component,ghb,1000.0,dbd,0.05,12,True,0.0,0.132,12.56,
largest_component,ghb,1000.0,none,0.01,12,True,-0.0,0.132,12.56,
largest_component,ghb,1000.0,none,0.05,12,True,-0.0,0.132,12.56,
largest_component,ghb,10000.0,dbd,0.01,12,True,0.0,0.14,12.5,
largest_component,ghb,10000.0,dbd,0.05,12,True,0.0,0.14,12.5,
largest_component,ghb,10000.0,none,0.01,12,True,0.0,0.14,12.5,
largest_component,ghb,10000.0,none,0.05,12,True,0.0,0.14,12.5,
largest_component,ghb,100000.0,dbd,0.01,12,True,0.0,0.141,12.49,
largest_component,ghb,100000.0,dbd,0.05,12,True,0.0,0.141,12.49,
largest_component,ghb,100000.0,none,0.01,12,True,-0.0,0.141,12.49,
largest_component,ghb,100000.0,none,0.05,12,True,0.0,0.141,12.49,
largest_component,ghb,1000000.0,dbd,0.01,12,True,0.0,0.141,12.49,
largest_component,ghb,1000000.0,dbd,0.05,12,True,0.0,0.141,12.49,
largest_component,ghb,1000000.0,none,0.01,12,True,-0.0,0.141,12.49,
largest_component,ghb,1000000.0,none,0.05,12,True,0.0,0.141,12.49,
largest_component,ghb,1e+30,dbd,0.01,12,True,0.0,0.141,12.49,
largest_component,ghb,1e+30,dbd,0.05,12,True,0.0,0.141,12.49,
largest_component,ghb,1e+30,none,0.01,12,True,-0.0,0.141,12.49,
largest_component,ghb,1e+30,none,0.05,12,True,0.0,0.141,12.49,
