--- full station eval ---
 chan site                    obs_ngL    mod_fw  mod_mean
    1 MI_EGLE:36-RR-0010        19.00     14.68     35.19
    2 MI_EGLE:36-DNR-010         6.70     15.36     43.34
    2 MI_EGLE:36-RR-0020        27.00     15.36     43.34
    2 MI_EGLE:36-BLMT-0010       3.80     15.36     43.34
    2 MI_EGLE:36-DNR-030         3.80     15.36     43.34
    2 MI_EGLE:36-BLMT-0020       3.90     15.36     43.34
    2 MI_EGLE:36-UTRR-0010      21.00     15.36     43.34
    2 MI_EGLE:36-DNR-020         7.50     15.36     43.34
    2 MI_EGLE:36-RR-0015        16.00     15.36     43.34
    2 MI_EGLE:36-RRPP-0010       3.50     15.36     43.34
   10 MI_EGLE:36-RR-0050         9.60     12.42     33.36
   11 MI_EGLE:36-RR-0060         6.70     11.22     29.72
   15 MI_EGLE:36-RR-0200         7.20      9.20     23.41
   18 MI_EGLE:36-RR-0300         6.80      7.71     22.63
   26 MI_EGLE:36-RR-0600         6.30      6.24     14.60
   81 MI_EGLE:36-NC-0020         1.50     21.95     91.38
   96 MI_EGLE:36-CDC-0010        2.60     13.87     27.41
  112 MI_EGLE:36-UIL-0060        2.50     32.83     83.86
  157 MI_EGLE:36-CDC-0100        3.30      1.19      1.83
  195 MI_EGLE:36-CDC-0120        3.40     20.70     37.62
  195 MI_EGLE:36-CDC-0160        2.80     20.70     37.62
  224 MI_EGLE:36-VBD-0005        3.80     25.30     31.92
  235 MI_EGLE:36-LCDC-0030       1.90     14.80     36.23
  290 MI_EGLE:36-DKC-0140       24.00      5.43     24.13
  321 MI_EGLE:36-LCDC-0060       3.60      7.56     12.96
  348 MI_EGLE:36-FL-0010         4.70     50.85    383.00
  449 MI_EGLE:36-SLI-0010        6.00      0.79      2.00
  488 MI_EGLE:36-USD-0010        4.60      0.08      0.23
  519 MI_EGLE:36-URMC-0020      14.00      9.67     30.77

n_paired=29  log-NSE=-3.345  log-RMSE=0.683 dex  PBIAS=+87.0%
OBJECTIVE(logRMSE)=0.6834
