Channel,pfos_ngL
1,14.682
2,15.3552
3,14.2161
4,14.2211
5,14.1548
6,14.0613
7,14.0633
8,13.8646
9,13.0568
10,12.419
11,11.2237
12,10.507
13,10.2572
14,9.547
15,9.2008
16,7.7012
17,7.6952
18,7.708
19,7.675
20,7.6353
21,7.3728
22,7.2134
23,6.5943
24,6.5875
25,6.2281
26,6.2367
27,3.6466
28,3.6736
29,3.4539
30,3.4622
31,3.4661
32,1.0998
33,1.3279
34,1.3312
35,1.302
36,1.3217
37,1.3226
38,1.3285
39,1.1885
40,1.189
41,1.1196
42,1.0398
43,0.685
44,0.6994
45,0.6347
46,0.6361
47,1.8094
48,1.8316
49,1.8579
50,1.9551
51,2.0249
52,2.1364
53,2.2228
54,2.0401
55,2.0358
56,1.865
57,3.2125
58,10.2768
59,7.7147
60,3.1681
61,10.2802
62,3.1753
63,10.4824
64,1.8457
65,7.7159
66,9.1383
67,5.1278
68,10.6764
69,0.1294
70,0.1114
71,11.2852
72,0.7724
73,6.0769
74,13.5267
75,0.1149
76,12.2389
77,6.1198
78,13.6173
79,21.9424
80,0.7746
81,21.9475
82,6.1496
83,11.9694
84,12.7728
85,0.7502
86,8.2471
87,13.8645
88,2.1754
89,0.7578
90,21.1621
91,6.2828
92,12.9156
93,0.6398
94,14.9504
95,0.8585
96,13.8654
97,2.5593
98,6.5386
99,10.0814
100,19.2671
101,6.2188
102,13.6028
103,6.9829
104,0.286
105,11.2047
106,32.7988
107,2.7056
108,20.9435
109,19.2413
110,5.0113
111,20.7014
112,32.8316
113,1.0128
114,12.4435
115,27.7003
116,7.9815
117,0.4009
118,3.1869
119,20.8236
120,7.4688
121,16.6162
122,2.6511
123,7.2659
124,45.7482
125,27.7073
126,3.5192
127,26.2962
128,7.3059
129,20.8338
130,14.9456
131,33.0837
132,0.5117
133,45.7637
134,16.4646
135,9.1198
136,3.1988
137,11.1812
138,2.139
139,8.9289
140,2.7263
141,1.0254
142,48.0805
143,9.2338
144,32.8677
145,31.6898
146,2.2109
