HRU,sol_pfas_ugha,kf,nf
1,15360000.0,450.2,0.43
2,15360000.0,450.2,0.43
3,10640000.0,450.2,0.43
4,10640000.0,450.2,0.43
5,13340000.0,450.2,0.43
6,13340000.0,450.2,0.43
7,13340000.0,450.2,0.43
8,14720000.0,450.2,0.43
9,14720000.0,450.2,0.43
10,16128000.0,216.4,0.48
11,16128000.0,216.4,0.48
12,12880000.0,216.4,0.48
13,12880000.0,216.4,0.48
14,13800000.0,450.2,0.43
15,13800000.0,450.2,0.43
16,14784000.0,216.4,0.48
17,14784000.0,216.4,0.48
18,10872000.0,216.4,0.48
19,10872000.0,216.4,0.48
20,10872000.0,216.4,0.48
21,13340000.0,450.2,0.43
22,13340000.0,450.2,0.43
23,13892000.0,216.4,0.48
24,13892000.0,216.4,0.48
25,13892000.0,216.4,0.48
26,16576000.0,450.2,0.43
27,16576000.0,450.2,0.43
28,15272000.0,450.2,0.43
29,15272000.0,450.2,0.43
30,13248000.0,450.2,0.43
31,13248000.0,450.2,0.43
32,13248000.0,450.2,0.43
33,15960000.0,216.4,0.48
34,15960000.0,216.4,0.48
35,13616000.0,216.4,0.48
36,13616000.0,216.4,0.48
37,14720000.0,216.4,0.48
38,14720000.0,216.4,0.48
39,38400.0,450.2,0.43
40,38400.0,450.2,0.43
41,25740.0,450.2,0.43
42,25740.0,450.2,0.43
43,25740.0,450.2,0.43
44,33350.0,450.2,0.43
45,33350.0,450.2,0.43
46,36800.0,216.4,0.48
47,48300000.0,216.4,0.48
48,55440000.0,216.4,0.48
49,55440000.0,216.4,0.48
50,55440000.0,216.4,0.48
51,32175000.0,216.4,0.48
52,32175000.0,216.4,0.48
53,50025000.0,450.2,0.43
54,50025000.0,450.2,0.43
55,22500.0,216.4,0.48
56,13800000.0,450.2,0.43
57,13800000.0,450.2,0.43
58,13340000.0,450.2,0.43
59,13340000.0,450.2,0.43
60,13340000.0,450.2,0.43
61,14784000.0,216.4,0.48
62,16128000.0,216.4,0.48
63,16128000.0,216.4,0.48
64,12880000.0,216.4,0.48
65,12880000.0,216.4,0.48
66,14720000.0,216.4,0.48
67,14720000.0,216.4,0.48
68,14720000.0,216.4,0.48
69,13800000.0,450.2,0.43
70,13800000.0,450.2,0.43
71,13800000.0,450.2,0.43
72,13800000.0,450.2,0.43
73,13800000.0,450.2,0.43
74,13800000.0,450.2,0.43
75,8580000.0,216.4,0.48
76,8580000.0,216.4,0.48
77,8580000.0,216.4,0.48
78,11600000.0,450.2,0.43
79,11600000.0,450.2,0.43
80,11600000.0,450.2,0.43
81,14720000.0,450.2,0.43
82,14720000.0,450.2,0.43
83,13616000.0,216.4,0.48
84,13616000.0,216.4,0.48
85,13616000.0,216.4,0.48
86,12800000.0,450.2,0.43
87,12800000.0,450.2,0.43
88,12800000.0,450.2,0.43
89,60480000.0,216.4,0.48
90,60480000.0,216.4,0.48
91,60480000.0,216.4,0.48
92,55200000.0,450.2,0.43
93,52785000.0,216.4,0.48
94,52785000.0,216.4,0.48
95,52785000.0,216.4,0.48
96,22500.0,216.4,0.48
97,21450.0,216.4,0.48
98,21450.0,216.4,0.48
99,21450.0,216.4,0.48
100,25740.0,450.2,0.43
101,25740.0,450.2,0.43
102,25740.0,450.2,0.43
103,27180.0,216.4,0.48
104,27180.0,216.4,0.48
105,27180.0,216.4,0.48
