member,soil_scale,koc_scale,kl,lm,percop
0,0.205021,0.889532,0.179738,1555.917669,0.200999
1,0.098809,1.527456,0.216427,3132.171018,0.115189
2,0.079700,1.184536,0.096476,3027.206310,0.188954
3,0.200089,0.858534,0.185394,3065.043672,0.384716
4,0.196907,0.699883,0.122380,2391.781426,0.305464
5,0.052041,1.831715,0.126823,3245.760683,0.363326
6,0.187484,1.692458,0.244170,1568.250583,0.169691
7,0.101027,0.569865,0.195972,2089.296314,0.157369
8,0.190304,0.798869,0.078677,3434.130779,0.274645
9,0.063085,1.195948,0.169464,1977.586323,0.104405
10,0.111749,1.798313,0.149590,2713.154022,0.218838
11,0.212209,0.999362,0.093969,2549.945431,0.185588
12,0.151690,1.174122,0.217075,3428.187707,0.105580
13,0.067490,0.956654,0.115044,2964.395561,0.142164
14,0.181354,0.603214,0.240055,2187.481402,0.368180
15,0.095686,0.924251,0.177735,2441.264885,0.173991
16,0.115371,1.119189,0.076637,2573.074130,0.153528
17,0.052844,1.841528,0.081707,2262.335617,0.302764
18,0.159253,1.571633,0.151927,2028.608957,0.165037
19,0.158284,0.683332,0.267158,2760.376357,0.281657
20,0.167097,0.936877,0.167238,2660.062106,0.254733
21,0.132103,1.079081,0.194858,2944.799504,0.239789
22,0.200260,0.559496,0.170689,2070.995791,0.322339
23,0.182874,0.597802,0.213206,1869.432512,0.380350
24,0.141823,0.866639,0.174924,2473.130638,0.300812
25,0.161251,0.939249,0.118634,2115.896051,0.180221
26,0.117911,1.967608,0.238006,2243.015096,0.396207
27,0.156513,0.833164,0.255802,2202.794740,0.276583
28,0.071460,1.296113,0.102171,2909.472447,0.271798
29,0.184684,1.515153,0.100396,1501.311756,0.326472
30,0.105454,1.725109,0.085115,3009.764330,0.378858
31,0.091997,0.731441,0.111774,3489.649789,0.365238
32,0.134765,0.504245,0.099638,3198.145163,0.230505
33,0.069300,0.818805,0.166535,3479.185954,0.145500
34,0.129552,1.351002,0.228454,1923.723120,0.240501
35,0.083243,1.479643,0.129234,2676.938054,0.339371
36,0.175953,1.014553,0.145732,3252.763294,0.299864
37,0.169489,1.466958,0.081530,3280.393071,0.284221
38,0.168491,0.738362,0.220070,2059.499545,0.143020
39,0.112566,1.225886,0.171670,2627.491934,0.250145
40,0.153154,1.107022,0.254019,2992.799782,0.101266
41,0.136964,0.847637,0.232281,1585.487534,0.119029
42,0.206119,1.990918,0.269076,1961.683493,0.315728
43,0.142758,1.043813,0.070057,1628.424521,0.347637
44,0.132386,0.540844,0.210945,2886.158394,0.331395
45,0.093181,0.529013,0.118074,3397.643470,0.279533
46,0.056997,0.581853,0.134780,2163.469862,0.215254
47,0.183799,1.557755,0.150444,3106.200405,0.129984
48,0.138329,0.759495,0.245575,2772.743370,0.222184
49,0.084852,1.715427,0.097300,2331.788004,0.341111
50,0.064210,1.304747,0.120245,1853.199648,0.350078
51,0.094420,0.516678,0.236263,2498.046454,0.371784
52,0.120772,1.549876,0.147404,2882.622997,0.160019
53,0.144609,1.589156,0.106608,1527.461830,0.210357
54,0.090455,1.059668,0.222319,2615.614502,0.310266
55,0.201948,0.717932,0.248791,3070.617426,0.206368
56,0.219578,1.408461,0.200960,1683.860141,0.392216
57,0.055541,1.923887,0.225297,2861.882093,0.333879
58,0.085543,0.766315,0.137385,2226.724302,0.212743
59,0.103136,1.220051,0.084007,2587.880357,0.323757
60,0.125475,0.976819,0.124213,2967.703605,0.293779
61,0.211340,0.637967,0.143443,3414.584977,0.222731
62,0.217896,1.741409,0.224930,3175.920808,0.335117
63,0.173473,1.507993,0.088438,2559.351529,0.126060
64,0.145584,0.625355,0.154383,2920.015100,0.138314
65,0.177719,1.420635,0.214087,2363.009762,0.229651
66,0.070706,1.620641,0.184694,2147.833887,0.133641
67,0.203103,1.762317,0.111099,2838.030160,0.243323
68,0.122683,1.782499,0.187939,3047.607215,0.177919
69,0.123723,1.003041,0.205781,2813.727387,0.176018
70,0.164021,1.240349,0.257846,1635.432177,0.203459
71,0.098072,1.611377,0.189024,1989.655874,0.296226
72,0.176465,0.802745,0.093044,2461.299838,0.287496
73,0.195822,1.386616,0.156625,2267.642598,0.377314
74,0.207812,1.764006,0.242114,3321.006772,0.319636
75,0.153836,1.956794,0.233618,2403.287985,0.148181
76,0.107337,1.325656,0.164204,2039.759679,0.199093
77,0.127643,0.970248,0.157124,2314.443011,0.263946
78,0.214845,1.132490,0.239188,2176.944075,0.268630
79,0.209665,1.031330,0.231310,1790.589894,0.373986
80,0.100334,0.614214,0.183129,1943.750261,0.111648
81,0.119092,0.882052,0.140465,1676.144770,0.172177
82,0.216966,0.906243,0.190828,1539.212968,0.234112
83,0.186560,1.625619,0.264150,2687.615980,0.344442
84,0.121033,1.389349,0.192219,1726.897110,0.355997
85,0.128168,1.366165,0.088141,3337.945212,0.190567
86,0.057908,0.662383,0.091361,3218.731115,0.227226
87,0.088632,1.874083,0.130560,1758.385653,0.352725
88,0.192385,1.260038,0.202867,1782.471902,0.313526
89,0.066701,1.905711,0.142192,1806.001202,0.256360
90,0.165908,0.706446,0.263087,3088.407788,0.387395
91,0.214076,1.433663,0.162002,1743.304252,0.288216
92,0.172981,1.143079,0.265103,3214.856696,0.249806
93,0.171412,1.883902,0.161638,2788.274596,0.132452
94,0.051369,1.581273,0.074242,1848.576124,0.246470
95,0.193208,1.648925,0.176470,1705.662063,0.207971
96,0.108618,0.674673,0.199311,2343.958367,0.388409
97,0.180107,1.489676,0.260304,2521.370950,0.124650
98,0.062419,1.096353,0.253189,3148.627748,0.260561
99,0.148999,1.949589,0.258814,3287.515231,0.120832
100,0.075521,1.977397,0.250863,2732.800134,0.347369
101,0.079841,1.655851,0.077714,2011.103957,0.258609
102,0.163092,1.211079,0.219032,1607.519421,0.192738
103,0.059451,1.318660,0.109087,2511.317157,0.151634
104,0.072926,1.819920,0.114679,3153.722595,0.360916
