row_id,model_id,site_no,state,run_label,workflow_stage,scored_period,time_step,station_id,nse,kge,pbias_pct,rmse,rmse_units,mpe_pct,status,notes
HM-01,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,initialization_pool_best,2013-01-01 to 2018-12-31,Daily,2,0.795,0.680,28.127,79.989,cfs,103.906,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-02,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,initialization_pool_best,2013-01-01 to 2018-12-31,Monthly,2,0.843,0.713,28.127,1566.927,cfs,75.263,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-03,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,calibration_global_best,2013-01-01 to 2018-12-31,Daily,2,0.837,0.816,9.791,71.445,cfs,62.743,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-04,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,calibration_global_best,2013-01-01 to 2018-12-31,Monthly,2,0.897,0.886,9.791,1269.113,cfs,44.037,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-05,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,verification_global_best,2019-01-01 to 2024-12-31,Daily,2,0.729,0.747,7.480,64.813,cfs,69.784,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-06,0310/usgs_station/02297600,02297600,FL,controlled_eval_02297600_split20260601,verification_global_best,2019-01-01 to 2024-12-31,Monthly,2,0.798,0.817,7.480,1306.850,cfs,56.319,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_02297600_split20260601
HM-07,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,initialization_pool_best,2020-01-01 to 2024-12-31,Daily,25,0.202,0.605,2.856,12.093,cfs,580.906,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
HM-08,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,initialization_pool_best,2020-01-01 to 2024-12-31,Monthly,25,0.405,0.610,2.856,154.894,cfs,51.674,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
HM-09,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,calibration_global_best,2020-01-01 to 2024-12-31,Daily,25,0.371,0.548,-7.201,10.737,cfs,829.705,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
HM-10,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,calibration_global_best,2020-01-01 to 2024-12-31,Monthly,25,0.600,0.792,-7.201,126.904,cfs,50.307,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
HM-11,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,verification_global_best,2012-01-01 to 2015-12-31,Daily,25,0.223,0.442,-21.581,12.499,cfs,311.362,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
HM-12,0712/usgs_station/05536265,05536265,IL,controlled_eval_05536265_split20260601,verification_global_best,2012-01-01 to 2015-12-31,Monthly,25,0.416,0.659,-21.581,147.032,cfs,61.500,frozen_from_central_performance,CentralPerformance.txt; scenario Default_calval_split202606; controlled_eval_05536265_split20260601
