rank,model_id,site_no,run_label,parameter,mu,mu_star,sigma,mu_star_conf,status
1,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,surq_lag,-0.6434687534345587,0.6434687534345587,0.4685128792201288,0.189462972582408,frozen_from_morris_si_csv
2,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,perco,0.23225106678391697,0.28800681735630096,0.41131571696389374,0.14277456392308838,frozen_from_morris_si_csv
3,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,cn3_swf,0.05975717773495036,0.1412830374558973,0.16992827357916265,0.04330569450543838,frozen_from_morris_si_csv
4,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,alpha_bf,-0.0921326702035976,0.0921326702035976,0.09870871337124416,0.039577360885929176,frozen_from_morris_si_csv
5,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,dep_wt,0.06092569167012245,0.088178639195308,0.15650417009080464,0.041685408270751415,frozen_from_morris_si_csv
6,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,spec_yld,0.05230809113173028,0.05445229546904819,0.09445221174216838,0.03472098329010196,frozen_from_morris_si_csv
7,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,flo_min,-0.014195329217317603,0.05194802927142936,0.07743313956691458,0.02166034629827586,frozen_from_morris_si_csv
8,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,dp_es,0.05000519951800647,0.05000519951800647,0.028226998511065526,0.011112285074438689,frozen_from_morris_si_csv
9,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,mann,-0.03011252931476135,0.03161731038600614,0.024661318328464063,0.007595284063854027,frozen_from_morris_si_csv
10,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,vol_dp_b,0.02294340582986642,0.0266565353028205,0.022210112527554456,0.005615426851206503,frozen_from_morris_si_csv
11,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,dp_ps,-0.013028335672217142,0.013686132603106872,0.009184495475115403,0.0032482496982518838,frozen_from_morris_si_csv
12,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,k,-0.006299239340097468,0.012846493013199666,0.022791209445923482,0.006979936030954097,frozen_from_morris_si_csv
13,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,vol_area_co,-0.007478621702904741,0.009169495142262944,0.009332540660330783,0.002911530334764911,frozen_from_morris_si_csv
14,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,revap_min,0.001305497737812263,0.007085563904676986,0.01732314418752922,0.006333064323308975,frozen_from_morris_si_csv
15,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,esco,-0.0019320379452548659,0.006488989738625667,0.008448961162382746,0.0020970382401156603,frozen_from_morris_si_csv
16,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,dep_bot,-0.001005741938515597,0.006460188043522207,0.016579953919611867,0.005760501434071825,frozen_from_morris_si_csv
17,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,vol_dp_a,0.0021281640601083875,0.00630683281649762,0.007884602333597687,0.0017462708691702714,frozen_from_morris_si_csv
18,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,epco,0.0003307296862153302,0.0037887254156861636,0.0063177052105646125,0.0018346497263428674,frozen_from_morris_si_csv
19,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,urban_cn_a,-0.0010894837187814255,0.0012060410943705703,0.0012193134220667959,0.00037557555204586053,frozen_from_morris_si_csv
